,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,HONG KONG - PREMIER LEAGUE,03/09/2023,04:00,Tai Po,Hong Kong Rangers,5.8,4.25,1.47
2,HONG KONG - PREMIER LEAGUE,03/09/2023,04:00,Sham Shui Po,North District,,,
3,ROMANIA - LIGA 2,03/09/2023,05:00,Metaloglobus Bucharest,FC Arges,2.8,3.1,2.5
4,ROMANIA - LIGA 2,03/09/2023,05:00,Tunari,Ceahlaul,2.75,3.3,2.42
5,AUSTRIA - 2. LIGA,03/09/2023,05:30,Kapfenberg,Leoben,2.95,3.5,2.18
6,HONG KONG - PREMIER LEAGUE,03/09/2023,07:00,Resources Capital,HK U23,1.45,4.55,5.4
7,PORTUGAL - LIGA PORTUGAL 2,03/09/2023,07:00,Torreense,Oliveirense,1.91,3.3,3.8
8,ESTONIA - MEISTRILIIGA,03/09/2023,08:30,Paide,Kalju,2.15,3.2,3.0
9,FINLAND - VEIKKAUSLIIGA,03/09/2023,10:00,KTP,Honka,3.8,3.6,1.8
10,ICELAND - BESTA DEILD KARLA,03/09/2023,11:00,Valur,Kopavogur,1.36,5.3,6.4
11,ENGLAND - FA CUP,03/09/2023,11:00,Whickham,Macclesfield,,,
12,ENGLAND - FA CUP,03/09/2023,11:00,Erith & Belvedere,Hastings,,,
13,ENGLAND - FA CUP,03/09/2023,11:00,Biggleswade FC,Maldon & Tiptree,1.62,4.05,4.4
14,SCOTLAND - PREMIERSHIP,03/09/2023,11:00,Aberdeen,Hibernian,2.3,3.4,3.1
15,ENGLAND - FA CUP,03/09/2023,11:00,Uxbridge,Cray Valley,4.0,3.85,1.72
16,ENGLAND - FA CUP,03/09/2023,11:00,Kingstonian,Lydd Town,1.57,4.92,5.76
17,SERBIA - PRVA LIGA,03/09/2023,12:00,Radnicki Beograd,Tekstilac Odzaci,1.87,2.85,4.5
18,MONTENEGRO - PRVA CRNOGORSKA LIGA,03/09/2023,12:00,Rudar,Mornar Bar,3.1,2.95,2.32
19,BULGARIA - PARVA LIGA,03/09/2023,13:00,Lok. Plovdiv,Krumovgrad,1.57,4.0,6.0
20,SPAIN - LALIGA2,03/09/2023,13:30,Zaragoza,Eldense,1.8,3.4,5.0
21,SERBIA - PRVA LIGA,03/09/2023,14:00,Dubocica,OFK Beograd,2.5,3.2,2.5
22,BULGARIA - PARVA LIGA,03/09/2023,15:15,Levski Sofia,Hebar,1.36,5.25,8.0
23,ROMANIA - LIGA 1,03/09/2023,15:30,U Craiova 1948,Farul Constanta,2.88,3.4,2.2
24,BRAZIL - SERIE B,03/09/2023,15:45,Vila Nova FC,CRB,1.78,3.05,5.3
25,CANADA - CANADIAN PREMIER LEAGUE,03/09/2023,18:00,Vancouver FC,Forge,6.4,4.6,1.44
26,PANAMA - LPF,03/09/2023,20:15,UMECIT,Miguelito,2.85,2.95,2.47
27,USA - MLS,03/09/2023,20:30,Philadelphia Union,New York Red Bulls,1.95,3.4,4.0
