Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SPAIN - COPA DEL REY,06/12/2023,08:00,Antequera,Huesca,2.75,2.8,2.9
2,SPAIN - COPA DEL REY,06/12/2023,08:00,Alcorcon,FC Cartagena SAD,2.2,3.1,3.5
3,NORTH MACEDONIA - 1. MFL,06/12/2023,09:00,Struga,Voska Sport,1.36,4.5,7.7
4,NORTH MACEDONIA - 1. MFL,06/12/2023,09:00,Sileks,Vardar,1.7,3.5,4.7
5,CAMEROON - ELITE ONE,06/12/2023,11:00,UMS de Loum,Avion Academy,2.22,2.87,3.2
6,NIGERIA - NPFL,06/12/2023,12:00,Lobi Stars,Gombe,1.55,4.0,5.02
7,NIGERIA - NPFL,06/12/2023,12:00,Heartland,Bendel,2.27,3.0,3.07
8,NIGERIA - NPFL,06/12/2023,12:00,Abia Warriors,Sporting Lagos,1.7,3.2,5.4
9,NIGERIA - NPFL,06/12/2023,12:00,Sunshine Stars,Shooting,1.85,3.2,4.3
10,MOROCCO - BOTOLA PRO,06/12/2023,14:00,Wydad,Mouloudia Oujda,1.29,5.25,8.5
11,BOLIVIA - DIVISION PROFESIONAL,06/12/2023,21:00,Tomayapo,Palmaflor,1.18,6.5,13.0
