,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
1,SPAIN - PRIMERA RFEF,08/10/2023,07:00,Baleares,Murcia,3.8,3.1,1.95,2.38,1.53,2.2,1.05,1.62,1.5,1.4,1.5,1.0,0.263,0.323,0.513,0.42,0.952,0.291,0.0,0.4,1,0.5084
2,SPAIN - PRIMERA RFEF,08/10/2023,07:00,Linares,Ceuta,2.9,3.1,2.38,2.35,1.57,2.0,1.06,1.73,1.4,0.9,1.7,0.9,0.345,0.323,0.42,0.426,0.943,0.114,-0.3,0.0,1,0.5036
3,SPAIN - PRIMERA RFEF,08/10/2023,07:00,Melilla,CF Intercity,2.38,3.1,2.88,2.38,1.53,2.0,1.05,1.73,1.3,0.6,0.9,1.6,0.42,0.323,0.347,0.42,0.952,0.114,0.4,-1.0,1,0.5111
4,SPAIN - PRIMERA RFEF,08/10/2023,07:00,R. Union,Tarazona,1.65,3.5,5.0,2.2,1.65,2.2,1.07,1.62,1.5,0.9,0.9,1.3,0.606,0.286,0.2,0.455,0.935,0.48,0.6,-0.4,1,0.501
5,SWEDEN - SUPERETTAN,08/10/2023,08:00,AFC Eskilstuna,Landskrona,2.55,3.5,2.6,1.73,2.08,1.62,1.14,2.2,1.2,0.9,1.2,1.7,0.392,0.286,0.385,0.578,0.877,0.137,0.0,-0.8,1,0.6238
6,SCOTLAND - PREMIERSHIP,08/10/2023,08:00,St. Mirren,Rangers,6.5,4.5,1.5,1.65,2.2,1.8,1.2,1.95,1.2,1.6,1.5,1.4,0.154,0.222,0.667,0.606,0.833,0.654,-0.3,0.2,1,0.5519
7,BELGIUM - JUPILER PRO LEAGUE,08/10/2023,08:30,St. Liege,Club Brugge KV,4.5,4.0,1.7,1.57,2.35,1.57,1.2,2.25,1.3,1.4,1.7,1.1,0.222,0.25,0.588,0.637,0.833,0.471,-0.4,0.3,1,0.5684
8,SWITZERLAND - SUPER LEAGUE,08/10/2023,09:15,Lugano,Servette,2.3,3.6,3.0,1.6,2.3,1.5,1.2,2.5,2.2,0.5,1.4,1.9,0.435,0.278,0.333,0.625,0.833,0.187,0.8,-1.4,1,0.8857
9,AUSTRIA - BUNDESLIGA,08/10/2023,09:30,Wolfsberger AC,Sturm Graz,4.75,3.6,1.75,1.73,2.08,1.67,1.14,2.1,1.2,1.3,1.7,1.0,0.211,0.278,0.571,0.578,0.877,0.442,-0.5,0.3,1,0.894
10,SWEDEN - SUPERETTAN,08/10/2023,10:00,Orgryte,Utsikten,2.25,3.5,3.0,1.8,2.0,1.67,1.14,2.1,1.3,1.6,1.1,0.8,0.444,0.286,0.333,0.556,0.877,0.187,0.2,0.8,1,0.5305
