,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_Under,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
1,SLOVAKIA - NIKE LIGA,25/11/2023,11:00,Skalica,Banska Bystrica,2.62,3.4,2.52,1.95,1.85,1.75,1.12,1.98,1.4,0.8,1.8,1.3,0.3816794,0.29411766,0.3968254,0.51282054,0.5405405,0.893,0.1266183,-0.4,-0.5,0,0.6194
2,BELGIUM - JUPILER PRO LEAGUE,25/11/2023,12:00,Cercle Brugge KSV,Eupen,1.4,4.75,6.5,1.57,2.35,1.75,1.22,2.0,1.4,1.1,0.8,2.4,0.71428573,0.21052632,0.15384616,0.6369427,0.42553192,0.82,0.7005903,0.6,-1.3,0,0.5069
3,SPAIN - PRIMERA RFEF,25/11/2023,12:00,Sanluqueno,Ceuta,2.4,3.2,2.7,2.35,1.57,2.1,1.06,1.67,2.3,1.1,1.3,0.9,0.41666666,0.3125,0.37037036,0.42553192,0.6369427,0.943,0.11626696,1.0,0.2,0,0.6562
4,SPAIN - PRIMERA RFEF,25/11/2023,12:00,Teruel,Sabadell,2.25,3.1,3.1,2.5,1.5,2.25,1.04,1.57,0.8,0.9,1.0,1.7,0.44444445,0.32258064,0.32258064,0.4,0.6666667,0.962,0.15816863,-0.2,-0.8,0,0.5088
5,SPAIN - LALIGA2,25/11/2023,12:15,Burgos CF,Andorra,2.2,3.1,3.5,2.25,1.62,1.91,1.07,1.8,1.3,0.8,0.9,1.9,0.45454547,0.32258064,0.2857143,0.44444445,0.61728394,0.935,0.20457879,0.4,-1.1,0,0.6457
6,SPAIN - LALIGA2,25/11/2023,12:15,Racing Santander,Villarreal B,1.75,3.8,4.2,1.75,2.05,1.73,1.14,2.0,1.9,0.7,1.1,1.8,0.5714286,0.2631579,0.23809524,0.5714286,0.4878049,0.877,0.4239093,0.8,-1.1,0,0.5656
7,AUSTRIA - BUNDESLIGA,25/11/2023,13:00,LASK,Tirol,1.36,4.75,8.0,1.57,2.35,1.8,1.2,1.95,1.5,0.7,0.9,2.1,0.7352941,0.21052632,0.125,0.6369427,0.42553192,0.833,0.75588435,0.6,-1.4,0,0.7585
8,SPAIN - PRIMERA RFEF,25/11/2023,14:00,Alcoyano,Real Madrid B,2.3,3.1,2.9,2.5,1.5,2.2,1.05,1.62,1.0,0.9,1.8,1.7,0.4347826,0.32258064,0.3448276,0.4,0.6666667,0.952,0.13202809,-0.8,-0.8,0,0.6598
9,SWITZERLAND - SUPER LEAGUE,25/11/2023,14:00,Zurich,Young Boys,2.3,3.75,2.75,1.75,2.05,1.67,1.14,2.1,1.9,1.1,1.5,1.1,0.4347826,0.26666668,0.36363637,0.5714286,0.4878049,0.877,0.19407569,0.4,0.0,0,0.7714
10,BELGIUM - JUPILER PRO LEAGUE,25/11/2023,14:15,Charleroi,Westerlo,1.8,3.75,4.0,1.7,2.1,1.67,1.17,2.1,1.5,1.1,1.2,1.8,0.5555556,0.26666668,0.25,0.5882353,0.47619048,0.855,0.3924849,0.3,-0.7,0,0.5164
11,SPAIN - PRIMERA RFEF,25/11/2023,15:00,Lugo,Arenteiro,1.85,3.4,4.0,2.5,1.5,2.25,1.05,1.57,0.9,1.2,1.0,0.9,0.5405405,0.29411766,0.25,0.4,0.6666667,0.952,0.35358223,-0.1,0.3,0,0.5751
12,SPAIN - PRIMERA RFEF,25/11/2023,16:00,Cordoba,Antequera,1.85,3.2,4.0,2.35,1.57,2.1,1.06,1.67,1.5,1.1,1.3,0.8,0.5405405,0.3125,0.25,0.42553192,0.6369427,0.943,0.33960357,0.2,0.3,0,0.5223
13,SPAIN - LALIGA2,25/11/2023,17:00,Eibar,Levante,1.73,3.6,5.0,2.08,1.73,2.0,1.08,1.73,1.7,0.9,1.2,0.4,0.5780347,0.2777778,0.2,0.48076922,0.5780347,0.926,0.46314347,0.5,0.5,0,0.8083
14,ARGENTINA - COPA DE LA LIGA PROFESIONAL,25/11/2023,18:00,Banfield,Gimnasia L.P.,1.91,3.1,4.5,2.4,1.53,2.1,1.05,1.67,1.1,0.6,0.7,1.4,0.5235602,0.32258064,0.22222222,0.41666666,0.6535948,0.952,0.3518073,0.4,-0.8,0,0.6203
15,ARGENTINA - COPA DE LA LIGA PROFESIONAL,25/11/2023,18:00,Union de Santa Fe,Tigre,1.7,3.5,5.25,2.3,1.6,2.2,1.06,1.62,0.9,0.3,0.6,1.1,0.5882353,0.2857143,0.1904762,0.4347826,0.625,0.943,0.47793415,0.3,-0.8,0,0.6393
16,BOLIVIA - DIVISION PROFESIONAL,25/11/2023,20:30,Palmaflor,Bolivar,4.2,3.6,1.7,1.5,2.5,1.5,1.25,2.5,0.8,1.1,0.7,1.4,0.23809524,0.2777778,0.5882353,0.6666667,0.4,0.8,0.42535192,0.1,-0.3,0,0.5747
