,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,BANGLADESH - PREMIER LEAGUE,19/04/2024,06:45,Bangladesh Police,Sheikh Russel,1.95,3.35,3.35
2,BANGLADESH - PREMIER LEAGUE,19/04/2024,06:45,Abahani Limited,Sheikh Jamal,1.78,3.2,4.3
3,NIGERIA - NPFL,19/04/2024,12:00,Heartland,Shooting,2.4,3.15,2.8
4,POLAND - DIVISION 1,19/04/2024,13:00,S. Rzeszow,Podbeskidzie,2.25,3.3,2.88
5,ECUADOR - LIGA PRO,19/04/2024,16:00,Delfin,Macara,2.15,3.2,3.3
6,MOROCCO - BOTOLA PRO,19/04/2024,16:00,Youssoufia Berrechid,Olympique de Safi,2.38,3.0,2.75
7,BRAZIL - SERIE B,19/04/2024,19:00,Novorizontino,CRB,1.75,3.45,4.7
8,BRAZIL - BRASILEIRO WOMEN,19/04/2024,20:00,Palmeiras W,America Mineiro W,1.33,5.0,6.4
9,ARGENTINA - PRIMERA NACIONAL,19/04/2024,20:10,San Martin T.,Guillermo Brown,1.57,3.75,6.5
10,BRAZIL - SERIE B,19/04/2024,21:00,Operario,Avai,2.27,3.2,3.15
