Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,CHINA - SUPER LEAGUE,15/09/2023,08:35,Shandong Taishan,Qingdao Hainiu,1.25,5.75,11.0
2,INDONESIA - LIGA 1,15/09/2023,09:00,Bali United,RANS Nusantara,1.78,3.55,4.0
3,ARMENIA - PREMIER LEAGUE,15/09/2023,11:00,Ararat-Armenia,Noah,1.75,3.55,3.85
4,SLOVAKIA - NIKE LIGA,15/09/2023,12:30,Podbrezova,Skalica,1.7,3.9,4.5
5,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,15/09/2023,13:30,Zeljeznicar,GOSK Gabela,1.5,4.05,5.7
6,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,15/09/2023,15:00,Al Hilal,Al Riyadh,1.07,10.0,23.0
7,ITALY - SERIE C,15/09/2023,15:45,Ancona,Pineto,1.7,3.55,4.85
8,ENGLAND - FA CUP,15/09/2023,15:45,Darlington,Workington,1.65,3.75,4.25
9,PERU - LIGA 1,15/09/2023,17:00,Carlos Mannucci,AD Cantolao,1.5,3.8,6.5
10,COLOMBIA - PRIMERA A,15/09/2023,20:15,Once Caldas,Envigado,1.53,3.75,8.0
11,BRAZIL - SERIE A,15/09/2023,21:30,Palmeiras,Goias,1.3,5.25,9.0
12,ARGENTINA - PRIMERA NACIONAL,15/09/2023,21:30,San Martin S.J.,Agropecuario,2.1,3.0,4.0
