,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,PHILIPPINES - PFL,20/04/2024,04:00,Don Bosco Garelli,Mendiola FC 1991,,,
2,HONG KONG - PREMIER LEAGUE,20/04/2024,04:00,Southern District,Sham Shui Po,1.39,4.7,6.3
3,HONG KONG - PREMIER LEAGUE,20/04/2024,04:00,Tai Po,Kitchee,3.75,3.8,1.78
4,ROMANIA - LIGA 2,20/04/2024,05:00,CSM Slatina,Viitorul Tg. Jiu,1.85,3.15,4.3
5,ROMANIA - LIGA 2,20/04/2024,05:00,Ceahlaul,Alexandria,1.55,3.75,5.5
6,MONGOLIA - PREMIER LEAGUE,20/04/2024,05:15,Brera Ilch,Khaan Khuns-Erchim,,,
7,BANGLADESH - PREMIER LEAGUE,20/04/2024,06:00,Fortis,Bashundara Kings,8.5,5.3,1.25
8,PHILIPPINES - PFL,20/04/2024,06:45,Tuloy,Cebu FC,,,
9,PORTUGAL - LIGA PORTUGAL 2,20/04/2024,07:00,Penafiel,Pacos Ferreira,2.7,3.0,2.55
10,MALTA - PREMIER LEAGUE,20/04/2024,09:00,Gzira,Birkirkara,2.62,2.72,2.9
11,PHILIPPINES - PFL,20/04/2024,09:30,Philippine Army,Taguig,,,
12,AUSTRIA - 2. LIGA,20/04/2024,09:30,Stripfing,Dornbirn,2.4,3.3,2.8
13,MOLDOVA - SUPER LIGA,20/04/2024,10:00,Univer-Oguzsport,Saxan Gagauz Yeri,,,
14,MOLDOVA - SUPER LIGA,20/04/2024,10:00,Drochia,Floresti,,,
15,FINLAND - YKKONEN,20/04/2024,10:00,EPS,VIFK,2.4,3.8,2.3
16,FINLAND - YKKONEN,20/04/2024,10:00,KPV Kokkola,Vaajakoski,1.33,4.75,7.0
17,BELARUS - VYSSHAYA LIGA,20/04/2024,10:00,Arsenal Dzyarzhynsk,Shakhtyor Soligorsk,2.5,3.26,2.88
18,URUGUAY - PRIMERA DIVISION,20/04/2024,10:00,Danubio,Cerro Largo,2.3,3.0,3.4
19,REPUBLIC OF THE CONGO - LIGUE 1,20/04/2024,11:00,Etoile du Congo,Nathalys,,,
20,NORWAY - OBOS-LIGAEN,20/04/2024,11:00,Levanger,Kongsvinger,2.2,3.6,2.63
21,ESTONIA - MEISTRILIIGA,20/04/2024,11:00,Levadia,Parnu JK Vaprus,1.08,7.7,17.5
22,ENGLAND - LEAGUE TWO,20/04/2024,11:00,Walsall,Bradford City,2.2,3.6,3.1
23,MALTA - PREMIER LEAGUE,20/04/2024,11:15,Sliema,Naxxar,,,
24,GHANA - PREMIER LEAGUE,20/04/2024,12:00,Legon Cities,Hearts of Oak,2.42,2.77,3.0
25,ITALY - SERIE C,20/04/2024,13:30,Atalanta U23,Pro Sesto,2.1,2.87,3.5
26,ITALY - SERIE C,20/04/2024,13:30,L.R. Vicenza,Trento,1.7,2.87,5.7
27,GEORGIA - CRYSTALBET EROVNULI LIGA,20/04/2024,14:00,Kolkheti 1913,Dinamo Batumi,4.4,3.75,1.62
28,BRAZIL - BRASILEIRO WOMEN,20/04/2024,15:00,Real Brasilia W,Sao Paulo W,5.2,3.5,1.57
29,BRAZIL - BRASILEIRO WOMEN,20/04/2024,15:00,Fluminense W,Botafogo RJ W,2.3,3.3,2.67
30,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,20/04/2024,15:00,Al Ettifaq,Al Wehda,1.85,3.6,3.8
31,USA - USL CHAMPIONSHIP,20/04/2024,21:00,Colorado Springs,Indy Eleven,2.22,3.5,2.9
