Nº,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,25/10/2024,09:00,THAILAND - THAI LEAGUE 1,Nong Bua Pitchaya,Ratchaburi,3.65,3.3,2.0,1.78,1.62,2.15
2,25/10/2024,14:00,MOROCCO - BOTOLA PRO,Maghreb Fez,Raja Casablanca,4.5,3.0,1.8,2.5,2.25,1.57
3,25/10/2024,15:00,BELGIUM - CHALLENGER PRO LEAGUE,Genk U23,Lommel SK,3.7,3.5,1.95,1.75,1.67,2.1
4,25/10/2024,15:00,BELGIUM - CHALLENGER PRO LEAGUE,Seraing,Patro Eisden,4.75,3.7,1.7,1.9,1.83,1.83
5,25/10/2024,17:00,ECUADOR - LIGA PRO,Dep. Cuenca,Ind. del Valle,5.0,3.6,1.67,2.0,1.91,1.8
