,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_Under,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
1,AUSTRALIA - A-LEAGUE,26/11/2023,01:00,Brisbane Roar,Perth Glory,1.7,4.33,4.2,1.53,2.4,1.57,1.25,2.25,1.2,0.9,0.8,2.1,0.5882353,0.23094688,0.23809524,0.6535948,0.41666666,0.8,0.47320038,0.4,-1.2,0,0.6366
2,AUSTRALIA - A-LEAGUE,26/11/2023,03:00,Western United,Adelaide United,2.5,3.75,2.5,1.5,2.5,1.44,1.25,2.63,1.0,1.5,2.0,2.4,0.4,0.26666668,0.4,0.6666667,0.4,0.8,0.17677669,-1.0,-0.9,0,0.519
3,SOUTH KOREA - K LEAGUE 2,26/11/2023,03:00,Anyang,Cheonan City,1.44,4.2,6.0,1.8,2.0,2.0,1.13,1.73,1.5,1.2,1.1,1.3,0.6944444,0.23809524,0.16666667,0.5555556,0.5,0.885,0.63806045,0.4,-0.1,0,0.8521
4,SOUTH KOREA - K LEAGUE 2,26/11/2023,03:00,Busan,Cheongju,1.44,4.2,6.5,1.9,1.9,2.1,1.11,1.67,1.4,0.5,1.1,0.7,0.6944444,0.23809524,0.15384616,0.5263158,0.5263158,0.901,0.6558074,0.3,-0.2,0,0.8448
5,SPAIN - PRIMERA RFEF,26/11/2023,08:00,R. Union,SD Logrones,1.53,3.8,5.5,2.0,1.8,2.1,1.1,1.67,2.1,1.0,0.8,1.5,0.6535948,0.2631579,0.18181819,0.5,0.5555556,0.909,0.5623327,1.3,-0.5,0,0.6539
6,SPAIN - PRIMERA RFEF,26/11/2023,08:00,San Fernando,Melilla,1.75,3.3,4.75,2.38,1.53,2.25,1.05,1.57,1.8,1.0,0.8,0.9,0.5714286,0.3030303,0.21052632,0.42016807,0.6535948,0.952,0.42321193,1.0,0.1,0,0.5405
7,SPAIN - PRIMERA RFEF,26/11/2023,08:00,Fuenlabrada,Unionistas,2.0,3.3,3.4,2.38,1.53,2.2,1.05,1.62,1.2,0.6,0.9,1.3,0.5,0.3030303,0.29411766,0.42016807,0.6535948,0.952,0.25982684,0.3,-0.7,0,0.5273
8,SCOTLAND - PREMIERSHIP,26/11/2023,09:00,Aberdeen,Rangers,6.5,4.2,1.5,1.62,2.25,1.7,1.2,2.05,1.6,0.6,1.7,1.1,0.15384616,0.23809524,0.6666667,0.61728394,0.44444445,0.833,0.63632077,-0.1,-0.5,0,0.6254
9,SPAIN - LALIGA2,26/11/2023,10:00,Leganes,Ferrol,2.0,3.1,4.5,2.7,1.44,2.38,1.03,1.53,1.7,0.4,1.0,1.3,0.5,0.32258064,0.22222222,0.37037036,0.6944444,0.971,0.3297685,0.7,-0.9,0,0.6099
10,SPAIN - PRIMERA RFEF,26/11/2023,11:30,Celta Vigo B,R. Sociedad B,2.15,3.1,3.2,2.25,1.62,2.0,1.07,1.73,1.9,1.2,1.0,0.6,0.4651163,0.32258064,0.3125,0.44444445,0.61728394,0.935,0.1900285,0.9,0.6,0,0.5997
11,SPAIN - PRIMERA RFEF,26/11/2023,12:00,Rayo Majadahonda,Sestao,2.1,3.1,3.4,2.5,1.5,2.25,1.05,1.57,1.2,1.1,0.9,1.5,0.47619048,0.32258064,0.29411766,0.4,0.6666667,0.952,0.21951881,0.3,-0.4,0,0.5351
12,SPAIN - LALIGA2,26/11/2023,12:15,Elche,Amorebieta,1.5,3.8,7.5,2.03,1.83,2.1,1.1,1.67,1.0,0.6,0.6,2.1,0.6666667,0.2631579,0.13333334,0.49261084,0.5464481,0.909,0.6407912,0.4,-1.5,0,0.7756
13,SPAIN - PRIMERA RFEF,26/11/2023,14:00,Murcia,Malaga,3.0,3.0,2.38,2.63,1.44,2.25,1.04,1.57,1.1,1.1,1.3,0.9,0.33333334,0.33333334,0.42016807,0.38022813,0.6944444,0.962,0.11299129,-0.2,0.2,0,0.603
14,BELGIUM - JUPILER PRO LEAGUE,26/11/2023,14:30,Anderlecht,RWDM,1.4,4.75,6.5,1.6,2.3,1.8,1.2,1.95,1.6,0.8,1.7,1.5,0.71428573,0.21052632,0.15384616,0.625,0.4347826,0.833,0.7005903,-0.1,-0.7,0,0.6382
15,SPAIN - LALIGA2,26/11/2023,14:30,Tenerife,FC Cartagena SAD,1.91,3.2,4.5,2.5,1.5,2.2,1.05,1.62,1.2,0.3,0.9,1.4,0.5235602,0.3125,0.22222222,0.4,0.6666667,0.952,0.35795298,0.3,-1.1,0,0.5373
16,BELGIUM - JUPILER PRO LEAGUE,26/11/2023,15:15,Kortrijk,KV Mechelen,2.9,3.5,2.3,1.75,2.05,1.62,1.14,2.2,1.0,1.3,1.0,2.6,0.3448276,0.2857143,0.4347826,0.5714286,0.4878049,0.877,0.17259397,0.0,-1.3,0,0.6438
17,SPAIN - PRIMERA RFEF,26/11/2023,16:00,Algeciras,Atl. Madrid B,2.1,3.1,3.4,2.5,1.5,2.25,1.04,1.57,0.8,0.4,1.4,1.1,0.47619048,0.32258064,0.29411766,0.4,0.6666667,0.962,0.21951881,-0.6,-0.7,0,0.6014
18,SPAIN - PRIMERA RFEF,26/11/2023,16:00,Merida AD,Recreativo Huelva,2.4,3.0,2.9,2.5,1.5,2.2,1.05,1.62,1.1,0.8,0.7,0.9,0.41666666,0.33333334,0.3448276,0.4,0.6666667,0.952,0.10104135,0.4,-0.1,0,0.5397
19,BOLIVIA - DIVISION PROFESIONAL,26/11/2023,16:00,Royal Pari,Wilstermann,2.25,3.3,3.3,1.9,1.9,1.67,1.11,2.1,1.4,1.4,1.1,1.0,0.44444445,0.3030303,0.3030303,0.5263158,0.5263158,0.901,0.1903749,0.3,0.4,0,0.6206
20,ARGENTINA - PRIMERA NACIONAL,26/11/2023,17:00,Almirante Brown,Dep. Riestra,2.0,3.2,4.2,2.6,1.48,2.25,1.04,1.57,0.9,0.6,0.9,0.7,0.5,0.3125,0.23809524,0.3846154,0.6756757,0.962,0.31466445,0.0,-0.1,0,0.553
21,SPAIN - LALIGA2,26/11/2023,17:00,Espanyol,Alcorcon,1.45,4.33,7.5,1.9,1.95,2.1,1.11,1.67,2.3,1.8,1.1,1.3,0.6896552,0.23094688,0.13333334,0.5263158,0.51282054,0.901,0.690387,1.2,0.5,0,0.803
22,ARGENTINA - COPA DE LA LIGA PROFESIONAL,26/11/2023,18:00,Atl. Tucuman,Huracan,2.4,2.88,3.4,2.7,1.44,2.2,1.04,1.62,1.0,0.1,0.5,1.1,0.41666666,0.3472222,0.29411766,0.37037036,0.6944444,0.962,0.14228205,0.5,-1.0,0,0.5658
