,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,MEXICO - LIGA MX,2024-03-31,00:05,U.N.A.M.- Pumas,Cruz Azul,3.0,3.6,2.25,1.83,1.7,2.05
2,SOUTH KOREA - K LEAGUE 2,2024-03-31,02:00,Jeonnam,Cheonan City,1.8,3.6,3.5,1.95,1.8,1.91
3,SOUTH KOREA - K LEAGUE 1,2024-03-31,04:30,Gwangju FC,Daegu,2.15,3.2,3.0,2.2,1.91,1.8
4,SOUTH KOREA - K LEAGUE 2,2024-03-31,04:30,Suwon Bluewings,Busan,2.05,3.1,3.25,2.03,1.8,1.91
5,HONG KONG - PREMIER LEAGUE,2024-03-31,07:00,Hong Kong Rangers,Eastern AA,3.2,4.05,1.88,1.42,1.42,2.45
6,SPAIN - PRIMERA RFEF,2024-03-31,07:00,Ponferradina,Gimnastic,2.25,2.9,3.1,2.75,2.5,1.5
7,SPAIN - PRIMERA RFEF,2024-03-31,07:00,Atl. Madrid B,CF Intercity,1.85,3.1,4.0,2.2,2.0,1.73
8,SPAIN - PRIMERA RFEF,2024-03-31,07:00,Melilla,Sanluqueno,2.45,3.0,2.63,2.63,2.25,1.57
9,THAILAND - THAI LEAGUE 1,2024-03-31,08:00,Muang Thong Utd,Police Tero,1.42,4.65,6.2,1.47,1.65,2.12
10,ROMANIA - LIGA 1,2024-03-31,08:00,U Craiova 1948,Otelul,2.3,3.2,3.2,2.35,2.0,1.73
11,RUSSIA - PREMIER LEAGUE,2024-03-31,08:00,Fakel Voronezh,Orenburg,2.3,3.45,3.43,2.27,1.9,1.86
12,CHINA - SUPER LEAGUE,2024-03-31,08:35,Shandong Taishan,Shanghai Shenhua,2.38,3.4,3.0,1.88,1.67,2.1
13,THAILAND - THAI LEAGUE 1,2024-03-31,09:00,Khonkaen Utd.,Nakhon Pathom,2.57,3.4,2.52,1.72,1.57,2.25
14,SPAIN - LALIGA2,2024-03-31,09:00,Alcorcon,Amorebieta,2.15,3.0,4.0,2.88,2.25,1.57
15,AUSTRIA - BUNDESLIGA,2024-03-31,09:30,LASK,A. Klagenfurt,1.62,4.0,5.5,1.98,1.95,1.8
16,NORTH MACEDONIA - 1. MFL,2024-03-31,10:00,KF Gostivar,Makedonija GP,1.5,3.95,5.9,1.93,2.02,1.62
17,NORTH MACEDONIA - 1. MFL,2024-03-31,10:00,Brera Strumica,Rabotnicki,1.87,3.3,4.0,2.15,2.0,1.65
18,RUSSIA - PREMIER LEAGUE,2024-03-31,10:30,Rubin Kazan,Akhmat Grozny,2.28,3.43,3.51,2.36,1.95,1.81
19,INDIA - ISL,2024-03-31,11:00,Mohun Bagan,Chennaiyin,1.53,4.0,5.5,1.7,1.8,1.91
20,SPAIN - PRIMERA RFEF,2024-03-31,11:00,Cultural Leonesa,Lugo,1.85,3.1,4.0,2.5,2.38,1.53
21,SPAIN - LALIGA2,2024-03-31,11:15,Zaragoza,Tenerife,2.45,2.6,3.75,3.5,2.63,1.44
22,ARMENIA - PREMIER LEAGUE,2024-03-31,12:00,Noah,Pyunik Yerevan,2.18,3.2,2.95,1.91,1.75,2.03
23,ENGLAND - PREMIER LEAGUE,2024-03-31,12:30,Manchester City,Arsenal,1.91,3.75,3.8,1.85,1.7,2.05
24,SLOVAKIA - NIKE LIGA,2024-03-31,12:30,Trnava,Zilina,1.6,3.9,5.4,1.95,1.95,1.75
25,BELGIUM - JUPILER PRO LEAGUE,2024-03-31,13:30,St. Truiden,Westerlo,2.2,3.5,3.25,1.88,1.7,2.05
26,RUSSIA - PREMIER LEAGUE,2024-03-31,13:30,Lokomotiv Moscow,Krasnodar,2.67,3.53,2.79,2.07,1.78,1.99
27,PORTUGAL - LIGA PORTUGAL,2024-03-31,14:00,Vizela,Casa Pia,2.38,3.1,3.3,2.3,1.95,1.8
28,SPAIN - PRIMERA RFEF,2024-03-31,14:00,Arenteiro,R. Sociedad B,2.3,3.0,3.1,2.63,2.2,1.62
29,URUGUAY - PRIMERA DIVISION,2024-03-31,15:00,Progreso,Maldonado,2.05,3.4,3.5,1.93,1.73,2.0
30,SPAIN - PRIMERA RFEF,2024-03-31,15:00,Murcia,Granada CF B,1.57,3.3,6.0,2.38,2.38,1.53
31,IRAQ - SUPER LEAGUE,2024-03-31,15:30,Al Zawraa,Al Najaf,1.95,2.92,3.9,2.54,2.23,1.62
32,ARGENTINA - PRIMERA NACIONAL,2024-03-31,15:30,Nueva Chicago,Almirante Brown,2.0,3.2,4.2,2.7,2.38,1.53
33,ARGENTINA - PRIMERA NACIONAL,2024-03-31,16:00,Alvarado,Club A. Guemes,1.95,3.1,4.5,2.7,2.38,1.53
34,ARGENTINA - COPA DE LA LIGA PROFESIONAL,2024-03-31,16:00,Gimnasia L.P.,Dep. Riestra,1.8,3.4,5.0,2.35,2.2,1.62
35,COLOMBIA - PRIMERA A,2024-03-31,16:00,Santa Fe,Patriotas,1.6,3.8,6.0,2.25,2.25,1.57
36,USA - MLS,2024-03-31,16:30,Atlanta Utd,Chicago Fire,1.7,4.0,4.75,1.53,1.57,2.25
37,ARGENTINA - PRIMERA NACIONAL,2024-03-31,16:30,Racing Cordoba,Gimnasia Jujuy,2.0,3.1,4.33,2.5,2.2,1.62
38,ARGENTINA - PRIMERA NACIONAL,2024-03-31,17:00,Patronato,Deportivo Maipu,2.05,3.0,4.33,2.5,2.1,1.67
39,URUGUAY - PRIMERA DIVISION,2024-03-31,17:30,Miramar,CA Cerro,2.5,3.0,2.9,2.2,1.83,1.83
40,ECUADOR - LIGA PRO,2024-03-31,17:30,Dep. Cuenca,Delfin,1.8,3.4,4.2,2.15,2.0,1.73
41,ARGENTINA - PRIMERA NACIONAL,2024-03-31,17:45,All Boys,San Miguel,2.2,3.0,3.8,2.88,2.38,1.53
42,COLOMBIA - PRIMERA A,2024-03-31,18:10,Pereira,Bucaramanga,1.73,3.4,5.75,2.35,2.25,1.57
43,ARGENTINA - COPA DE LA LIGA PROFESIONAL,2024-03-31,18:30,Independiente,Atl. Tucuman,1.8,3.4,5.25,2.6,2.38,1.53
44,COSTA RICA - PRIMERA DIVISION,2024-03-31,19:00,Saprissa,Herediano,1.75,3.6,4.0,1.95,1.83,1.83
45,ARGENTINA - PRIMERA NACIONAL,2024-03-31,19:00,San Martin S.J.,CA Estudiantes,1.8,3.25,5.25,2.5,2.25,1.57
46,ARGENTINA - PRIMERA NACIONAL,2024-03-31,19:00,Brown Adrogue,Deportivo Madryn,2.6,2.9,3.1,3.1,2.38,1.53
47,VENEZUELA - LIGA FUTVE,2024-03-31,20:00,Puerto Cabello,Monagas,1.98,3.0,3.95,2.37,2.07,1.6
48,ARGENTINA - PRIMERA NACIONAL,2024-03-31,20:00,Deportivo Moron,Atletico Atlanta,2.25,2.75,4.0,3.1,2.38,1.53
49,MEXICO - LIGA MX,2024-03-31,20:00,Atlas,Queretaro,1.8,3.6,4.5,2.05,1.95,1.8
50,ECUADOR - LIGA PRO,2024-03-31,20:00,Emelec,Ind. del Valle,2.3,3.3,2.8,1.83,1.67,2.1
51,COLOMBIA - PRIMERA A,2024-03-31,20:20,Ind. Medellin,America De Cali,2.45,3.25,3.0,2.1,1.83,1.83
52,COSTA RICA - PRIMERA DIVISION,2024-03-31,20:30,Sporting San Jose,Guanacasteca,2.0,3.2,3.4,2.1,1.83,1.83
53,MEXICO - LIGA MX,2024-03-31,22:00,Necaxa,Club Leon,2.75,3.5,2.5,1.83,1.67,2.1
54,COSTA RICA - PRIMERA DIVISION,2024-03-31,22:00,Alajuelense,San Carlos,1.57,3.8,5.0,1.73,1.8,1.91
55,COLOMBIA - PRIMERA A,2024-03-31,22:30,Dep. Cali,Aguilas,2.15,3.25,3.6,2.35,2.0,1.73
56,MEXICO - LIGA MX,2024-03-31,22:36,Juarez,Santos Laguna,2.38,3.5,2.9,1.75,1.62,2.2
