,Entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,N1,N2,N3
1,BTTS Sim,20/04/2024,10:00,SWEDEN - ALLSVENSKAN,Sirius,Varnamo,1.73,3.75,4.5,1.65,2.2,1.62,2.2,H,D,H
2,OVER2_5,20/04/2024,11:00,NORWAY - OBOS-LIGAEN,Sogndal,Moss,1.75,3.8,4.0,1.73,2.08,1.73,2.0,D,H,H
3,OVER2_5,20/04/2024,11:00,NORWAY - OBOS-LIGAEN,Ranheim IL,Asane,1.7,4.0,4.0,1.5,2.5,1.5,2.5,D,H,H
4,OVER2_5,20/04/2024,11:00,ENGLAND - LEAGUE TWO,Grimsby,Swindon,1.95,3.6,3.8,1.67,2.15,1.53,2.38,H,A,A
5,OVER2_5,20/04/2024,11:00,SCOTLAND - CHAMPIONSHIP,Partick Thistle,Airdrieonians,2.1,3.4,3.1,1.83,2.03,1.67,2.1,H,D,D
6,OVER2_5,20/04/2024,11:00,SCOTLAND - CHAMPIONSHIP,Dunfermline,Queen's Park,2.05,3.5,3.1,1.73,2.08,1.67,2.1,H,D,D
7,BTTS Sim,20/04/2024,11:00,ENGLAND - LEAGUE TWO,Doncaster,Barrow,2.05,3.5,3.6,1.93,1.93,1.73,2.0,H,A,A
8,BTTS Sim,20/04/2024,11:00,ENGLAND - LEAGUE TWO,Walsall,Bradford City,2.2,3.6,3.1,1.85,2.0,1.73,2.0,H,A,A
9,BTTS Sim,20/04/2024,11:00,ENGLAND - CHAMPIONSHIP,Huddersfield,Swansea,2.1,3.6,3.4,1.93,1.93,1.73,2.0,H,H,A
10,BTTS Sim,20/04/2024,11:15,SPAIN - LALIGA2,Racing Santander,Levante,2.2,3.4,3.2,1.93,1.93,1.73,2.0,H,A,D
11,OVER2_5,20/04/2024,12:30,FINLAND - VEIKKAUSLIIGA,VPS,Gnistan,1.95,3.5,3.75,1.73,2.08,1.62,2.2,A,H,A
12,OVER2_5,20/04/2024,13:00,SWITZERLAND - SUPER LEAGUE,Yverdon,Lausanne Ouchy,2.0,3.75,3.4,1.62,2.25,1.57,2.25,H,D,H
13,BTTS Sim,20/04/2024,13:15,ENGLAND - FA CUP,Man City,Chelsea,1.65,4.0,5.0,1.53,2.4,1.57,2.25,H,D,A
14,BTTS Sim,20/04/2024,15:00,BELGIUM - JUPILER PRO LEAGUE,Gent,KV Mechelen,1.57,4.0,5.75,1.65,2.2,1.7,2.05,D,H,D
15,OVER2_5,20/04/2024,20:30,USA - MLS,Columbus,Portland Timbers,1.57,4.0,6.0,1.57,2.35,1.62,2.2,D,A,H
16,BTTS Sim,20/04/2024,20:30,USA - MLS,Atlanta Utd,FC Cincinnati,1.95,3.75,3.5,1.7,2.1,1.62,2.2,D,A,H
17,OVER2_5,20/04/2024,21:30,USA - MLS,Kansas City,St Louis City SC,1.91,3.6,3.8,1.65,2.2,1.62,2.2,D,A,H
18,OVER2_5,20/04/2024,23:30,USA - MLS,Los Angeles FC,New York Red Bulls,1.7,3.75,5.0,1.93,1.93,1.8,1.95,D,A,H
