,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,AUSTRALIA - A-LEAGUE,25/11/2023,03:30,Central Coast Mariners,Newcastle Jets,1.75,4.2,4.0
2,INDIA - I-LEAGUE,25/11/2023,05:30,Lajong,TRAU FC,1.22,5.7,10.25
3,ROMANIA - LIGA 2,25/11/2023,06:00,Csikszereda M. Ciuc,CSM Slatina,1.91,3.2,4.1
4,ROMANIA - LIGA 2,25/11/2023,06:00,CSM Resita,Alexandria,1.75,3.5,4.55
5,THAILAND - THAI LEAGUE 1,25/11/2023,09:00,Sukhothai,Prachuap,2.3,3.5,2.8
6,POLAND - DIVISION 1,25/11/2023,11:00,S. Rzeszow,Leczna,2.0,3.3,3.1
7,BELARUS - VYSSHAYA LIGA,25/11/2023,11:00,Zhodino,FC Minsk,1.46,4.15,7.1
8,CAMEROON - ELITE ONE,25/11/2023,11:30,Avion Academy,Fauve Azur Elite,1.85,3.0,4.15
9,ENGLAND - LEAGUE TWO,25/11/2023,12:00,Wrexham,Morecambe,1.4,4.75,8.0
10,NIGERIA - NPFL,25/11/2023,12:00,Remo Stars,Doma United,1.87,3.05,4.35
11,NIGERIA - NPFL,25/11/2023,12:00,Heartland,Enyimba,1.85,2.95,4.8
12,BULGARIA - PARVA LIGA,25/11/2023,12:30,CSKA Sofia,Etar,1.14,7.0,21.0
13,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,25/11/2023,15:00,Al Ahli SC,Al Shabab,1.53,4.0,5.25
14,POLAND - DIVISION 1,25/11/2023,15:15,Motor Lublin,R. Rzeszow,1.67,3.5,4.5
15,SPAIN - PRIMERA RFEF,25/11/2023,16:00,Gimnastic,Cultural Leonesa,2.5,3.0,2.75
16,ECUADOR - LIGA PRO,25/11/2023,20:00,Ind. del Valle,Orense,1.33,4.75,8.5
17,COSTA RICA - PRIMERA DIVISION,25/11/2023,23:00,Herediano,Sporting San Jose,1.4,4.5,7.5
