Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SOUTH KOREA - K LEAGUE 1,25/08/2023,07:30,Jeonbuk,Daejeon,1.67,3.8,5.0
2,INDONESIA - LIGA 1,25/08/2023,09:00,Borneo,Persita,1.64,3.94,4.68
3,UZBEKISTAN - SUPER LEAGUE,25/08/2023,11:00,Olympic,Turon,1.73,3.51,4.88
4,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,25/08/2023,12:00,Al Feiha,Al Hazem,1.62,3.75,4.5
5,GEORGIA - CRYSTALBET EROVNULI LIGA,25/08/2023,13:00,Dila Gori,Shukura,1.18,7.6,10.1
6,NETHERLANDS - EERSTE DIVISIE,25/08/2023,15:00,Roda,Oss,1.62,3.8,5.25
7,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,25/08/2023,15:00,Al Shabab,Damac,1.57,4.0,4.75
8,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,25/08/2023,15:00,Al Taawon,Abha,1.53,4.0,5.5
9,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,25/08/2023,15:00,Borac Banja Luka,Sloga Doboj,1.22,5.8,11.5
10,IRELAND - PREMIER DIVISION,25/08/2023,15:45,Shamrock Rovers,Dundalk,1.6,3.75,5.0
11,CHILE - PRIMERA DIVISION,25/08/2023,16:30,A. Italiano,Coquimbo,2.0,3.4,3.8
12,MOROCCO - BOTOLA PRO,25/08/2023,17:30,Maghreb Fez,Moghreb Tetouan,2.2,3.0,3.1
13,URUGUAY - PRIMERA DIVISION,25/08/2023,18:00,Defensor Sp.,Wanderers,1.73,3.6,4.2
14,ARGENTINA - PRIMERA NACIONAL,25/08/2023,20:00,Temperley,San Martin S.J.,2.25,3.2,3.3
15,BOLIVIA - DIVISION PROFESIONAL,25/08/2023,21:00,Oriente Petrolero,Guabira,1.65,3.5,5.0
16,BRAZIL - SERIE B,25/08/2023,21:30,Sport Recife,Ituano,1.59,3.72,6.4
