Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,30/03/2024,06:00,ROMANIA - LIGA 2,Tunari,Chindia Targoviste,3.75,3.25,1.95,2.05,1.87,1.75,1.05,1.47,1.36,8.2,1.04
20,30/03/2024,06:00,ROMANIA - LIGA 2,Viitorul Tg. Jiu,Steaua Bucuresti,3.8,3.35,1.9,1.85,1.7,1.93,1.02,1.39,1.27,5.8,1.1
19,30/03/2024,06:15,BANGLADESH - PREMIER LEAGUE,Rahmatgonj MFS,Abahani Limited,4.1,3.0,1.88,2.12,1.97,1.79,1.07,1.47,1.38,8.5,1.05
18,30/03/2024,07:30,ESTONIA - MEISTRILIIGA,Parnu JK Vaprus,Kalju,4.3,3.5,1.7,1.75,1.72,2.07,1.01,1.36,1.22,5.1,1.11
17,30/03/2024,08:00,RUSSIA - PREMIER LEAGUE,Krylya Sovetov,Zenit,4.26,3.88,1.91,1.93,1.77,2.0,1.01,1.38,1.26,5.55,1.1
16,30/03/2024,08:00,BELARUS - VYSSHAYA LIGA,Naftan,BATE,5.4,4.15,1.6,1.81,1.84,1.92,1.01,1.35,1.22,5.25,1.11
15,30/03/2024,08:30,THAILAND - THAI LEAGUE 1,Lamphun Warrior,Port MTI FC,3.6,3.6,1.91,1.57,1.52,2.37,1.04,1.32,1.19,3.85,1.22
14,30/03/2024,10:00,ITALY - SERIE C,Monterosi,Benevento,5.1,3.6,1.65,2.07,2.05,1.7,1.07,1.47,1.36,6.1,1.09
13,30/03/2024,10:30,NETHERLANDS - TWEEDE DIVISIE,Excelsior Maassluis,De Treffers,3.55,3.95,1.8,1.5,1.52,2.22,1.01,1.24,1.14,3.5,1.22
12,30/03/2024,11:00,SWEDEN - ALLSVENSKAN,Norrkoping,Malmo FF,6.0,4.33,1.53,1.67,1.8,1.95,1.03,1.3,1.2,5.0,1.17
11,30/03/2024,12:00,ENGLAND - PREMIER LEAGUE,Sheffield Utd,Fulham,4.5,4.0,1.73,1.67,1.67,2.1,1.04,1.3,1.22,5.0,1.17
10,30/03/2024,12:00,SCOTLAND - CHAMPIONSHIP,Arbroath,Dunfermline,4.0,3.6,1.8,1.93,1.83,1.83,1.05,1.4,1.29,6.0,1.11
9,30/03/2024,13:30,POLAND - DIVISION 1,Chrobry Glogow,Wisla,5.25,4.0,1.53,1.7,1.8,1.91,1.04,1.33,1.22,5.0,1.17
8,30/03/2024,14:00,SWITZERLAND - SUPER LEAGUE,Winterthur,Servette,3.6,3.5,2.0,1.73,1.62,2.2,1.04,1.33,1.22,5.5,1.14
7,30/03/2024,14:00,SWITZERLAND - CHALLENGE LEAGUE,Baden,Wil,3.7,3.7,1.85,1.7,1.65,2.1,1.04,1.35,1.23,4.5,1.17
6,30/03/2024,16:00,SPAIN - PRIMERA RFEF,Merida AD,Cordoba,4.5,3.25,1.7,2.3,2.2,1.62,1.07,1.5,1.4,8.0,1.06
5,30/03/2024,16:00,BELGIUM - CHALLENGER PRO LEAGUE,St. Liege U23,Lierse K.,3.5,3.75,1.95,1.57,1.5,2.5,1.03,1.29,1.17,4.0,1.22
4,30/03/2024,16:45,ITALY - SERIE C,Brindisi,Virtus Francavilla,5.3,3.35,1.7,2.3,2.2,1.6,1.1,1.55,1.44,7.1,1.07
3,30/03/2024,19:00,ARGENTINA - COPA DE LA LIGA PROFESIONAL,Central Cordoba,Racing Club,4.5,3.25,1.91,2.25,2.0,1.73,1.08,1.5,1.4,10.0,1.06
2,30/03/2024,20:00,USA - USL CHAMPIONSHIP,Miami FC,Charleston,3.9,3.45,1.88,1.93,1.78,1.93,1.06,1.42,1.31,5.5,1.11
21,30/03/2024,20:00,ECUADOR - LIGA PRO,Cumbaya,EL Nacional,4.5,3.6,1.67,1.88,1.83,1.83,1.05,1.36,1.25,6.0,1.13
22,30/03/2024,22:00,PERU - LIGA 1,Cesar Vallejo,U. de Deportes,3.8,3.4,1.91,2.2,1.91,1.8,1.07,1.44,1.36,9.0,1.07
