,Entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,N1,N2,N3
1,BTTS Sim,06/04/2024,02:00,SOUTH KOREA - K LEAGUE 2,FC Anyang,Ansan Greeners FC,1.5,4.2,6.0,1.67,2.15,1.8,1.91,H,H,H
2,OVER2_5,06/04/2024,11:00,BELGIUM - JUPILER PRO LEAGUE,Charleroi,RWDM,1.67,3.75,5.0,1.83,2.03,1.8,1.95,D,D,H
3,OVER2_5,06/04/2024,11:00,SCOTLAND - LEAGUE TWO,Clyde,Stranraer,2.1,3.4,3.1,1.8,2.0,1.67,2.1,H,D,D
4,OVER2_5,06/04/2024,11:00,ENGLAND - PREMIER LEAGUE,Aston Villa,Brentford,1.7,4.0,4.75,1.53,2.5,1.53,2.38,D,H,A
5,OVER2_5,06/04/2024,11:00,FINLAND - VEIKKAUSLIIGA,SJK,AC Oulu,1.8,3.6,3.8,1.75,2.05,1.7,2.05,H,H,D
6,BTTS Sim,06/04/2024,11:00,SCOTLAND - LEAGUE TWO,Stenhousemuir,East Fife,1.8,3.5,4.0,1.88,1.98,1.8,1.91,H,D,D
7,OVER2_5,06/04/2024,11:00,BELGIUM - CHALLENGER PRO LEAGUE,Lierse K.,Club Brugge KV U23,1.95,3.6,3.6,1.57,2.35,1.5,2.5,H,H,A
8,OVER2_5,06/04/2024,11:30,NETHERLANDS - EREDIVISIE,Sparta Rotterdam,Heracles,1.62,4.0,5.25,1.62,2.25,1.67,2.1,D,H,A
9,BTTS Sim,06/04/2024,13:00,SPAIN - PRIMERA RFEF,Celta Vigo B,Osasuna B,1.6,3.75,4.75,1.98,1.83,2.0,1.73,D,H,H
10,BTTS Sim,06/04/2024,15:00,BELGIUM - CHALLENGER PRO LEAGUE,Dender,Deinze,1.85,3.75,3.8,1.67,2.15,1.62,2.2,H,H,A
11,OVER2_5,06/04/2024,15:30,SWITZERLAND - SUPER LEAGUE,Servette,Zurich,1.91,3.75,3.8,1.93,1.93,1.8,1.91,D,A,H
12,OVER2_5,06/04/2024,17:30,CHILE - PRIMERA DIVISION,Univ Catolica (Chile),Cobresal,1.65,4.0,5.0,1.75,2.05,1.8,1.91,H,A,A
13,OVER2_5,06/04/2024,20:00,MEXICO - LIGA MX,Leon,Queretaro,1.73,4.0,4.33,1.67,2.15,1.58,2.2,A,H,H
14,BTTS Sim,06/04/2024,20:30,USA - MLS,New York City,Atlanta Utd,2.0,3.5,3.75,1.88,1.98,1.7,2.05,H,D,H
15,BTTS Sim,06/04/2024,21:30,USA - MLS,Austin FC,San Jose Earthquakes,2.15,3.4,3.4,1.75,2.05,1.67,2.1,H,D,H
16,BTTS Sim,06/04/2024,21:30,USA - MLS,Minnesota Utd,Real Salt Lake,2.15,3.5,3.3,1.67,2.15,1.57,2.25,H,D,H
17,BTTS Sim,06/04/2024,22:00,MEXICO - LIGA MX,Tigres,Pachuca,2.0,3.6,3.6,1.73,2.08,1.58,2.2,A,H,H
18,OVER2_5,06/04/2024,22:05,MEXICO - LIGA MX,Guadalajara,Puebla,1.53,4.0,6.5,1.6,2.3,1.67,2.05,A,H,H
