,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SOUTH KOREA - K LEAGUE 1,30/03/2024,02:00,Jeonbuk,Ulsan HD,2.4,3.2,2.63
2,HONG KONG - PREMIER LEAGUE,30/03/2024,04:00,HK U23,Sham Shui Po,3.3,4.0,1.85
3,BANGLADESH - PREMIER LEAGUE,30/03/2024,05:45,Brothers U.,Bashundara Kings,18.0,8.3,1.09
4,ROMANIA - LIGA 2,30/03/2024,06:00,Ceahlaul,Metaloglobus Bucharest,2.07,3.25,3.35
5,MONGOLIA - PREMIER LEAGUE,30/03/2024,06:15,Brera Ilch,FC Ulaanbaatar,3.87,4.74,1.57
6,HONG KONG - PREMIER LEAGUE,30/03/2024,07:00,Resources Capital,Kitchee,37.0,11.5,1.03
7,CHINA - SUPER LEAGUE,30/03/2024,08:35,Qingdao West Coast,Qingdao Hainiu,2.7,3.4,2.6
8,BULGARIA - PARVA LIGA,30/03/2024,09:00,Botev Vratsa,Hebar,2.38,3.25,3.1
9,MONGOLIA - PREMIER LEAGUE,30/03/2024,09:15,Falcons,Tuv Azarganuud,1.38,4.5,6.0
10,VIETNAM - V.LEAGUE 1,30/03/2024,09:15,Viettel,Quang Nam,1.78,2.9,5.5
11,ITALY - SERIE C,30/03/2024,10:00,AlbinoLeffe,Trento,2.32,2.87,3.35
12,MOLDOVA - SUPER LIGA,30/03/2024,10:00,Univer-Oguzsport,Floresti,,,
13,MOLDOVA - SUPER LIGA,30/03/2024,10:00,Drochia,Bardar,,,
14,NORTH MACEDONIA - 1. MFL,30/03/2024,11:00,Shkupi,Vardar,,,
15,REPUBLIC OF THE CONGO - LIGUE 1,30/03/2024,11:00,JS Talangai,Vegas,,,
16,MOLDOVA - SUPER LIGA,30/03/2024,12:00,Zimbru Chisinau,Balti,2.05,3.1,3.35
17,ITALY - SERIE C,30/03/2024,12:15,Entella,Pontedera,1.8,3.2,4.7
18,SLOVENIA - PRVA LIGA,30/03/2024,13:30,Celje,Aluminij,1.22,5.9,10.75
19,BELGIUM - JUPILER PRO LEAGUE,30/03/2024,14:15,Leuven,KV Mechelen,2.75,3.2,2.63
20,QATAR - QSL,30/03/2024,15:30,Al Arabi,Al-Gharafa,2.77,3.7,2.22
21,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,30/03/2024,16:00,Al Shabab,Al Hilal,5.75,4.33,1.45
22,USA - USL CHAMPIONSHIP,30/03/2024,20:30,Tampa Bay,Rhode Island,1.7,3.75,4.5
23,VENEZUELA - LIGA FUTVE,30/03/2024,21:30,Portuguesa,Carabobo,2.72,3.0,2.57
24,USA - USL CHAMPIONSHIP,30/03/2024,23:00,Sacramento Republic,Memphis,1.72,3.8,4.2
