,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,4vhVn184,20/08/2023,07:00,PORTUGAL - LIGA PORTUGAL 2,Vilaverdense,Oliveirense,ROUND 2,2.15,3.3,3.1,1.4,2.75,1.05,11.0,1.29,3.5,2.0,1.85,3.4,1.3,7.0,1.1,1.73,2.0,2.15,1.68,1.35,3.1,10.0,10.0,17.0,34.0,8.0,6.5,12.0,26.0,11.0,9.0,15.0,34.0,21.0,17.0,29.0,51.0,201.0
2,nLdbew0s,20/08/2023,08:00,THAILAND - THAI LEAGUE 1,Buriram,Lamphun Warrior,ROUND 2,1.21,6.25,12.5,1.25,3.6,1.01,14.2,1.15,4.5,1.53,2.28,2.44,1.55,4.05,1.18,2.16,1.66,,,,,15.0,34.0,81.0,201.0,6.0,11.0,36.0,126.0,5.0,7.0,23.0,126.0,5.5,8.0,23.0,101.0,201.0
3,xGYJjFEC,20/08/2023,08:00,THAILAND - THAI LEAGUE 1,Sukhothai,Trat FC,ROUND 2,1.92,3.58,3.72,1.37,2.94,1.01,9.4,1.25,3.42,1.88,1.92,3.04,1.31,5.7,1.09,1.71,2.08,,,,,9.0,10.0,17.0,41.0,6.0,5.5,10.0,26.0,7.5,6.5,11.0,31.0,12.0,11.0,20.0,51.0,201.0
4,rN2eruja,20/08/2023,10:00,NORWAY - OBOS-LIGAEN,Fredrikstad,Kristiansund,ROUND 19,1.91,3.6,4.0,1.36,3.0,1.04,12.0,1.22,4.0,1.8,2.05,2.75,1.4,5.5,1.14,1.67,2.1,1.93,1.93,1.26,3.7,12.0,13.0,21.0,41.0,8.5,7.0,13.0,29.0,9.5,8.5,13.0,34.0,17.0,15.0,23.0,41.0,151.0
5,AHGFSh5i,20/08/2023,11:00,BELGIUM - CHALLENGER PRO LEAGUE,Francs Borains,Genk U23,ROUND 2,1.95,3.6,3.1,1.29,3.5,1.03,17.0,1.14,5.5,1.53,2.4,2.2,1.62,3.75,1.25,1.5,2.5,2.0,1.8,1.33,3.3,17.0,15.0,21.0,34.0,11.0,7.5,12.0,23.0,12.0,9.0,12.0,26.0,19.0,15.0,19.0,34.0,101.0
6,WWrk4Tnc,20/08/2023,11:00,AZERBAIJAN - PREMIER LEAGUE,Qarabag,Araz,ROUND 3,1.23,6.1,10.8,1.22,3.8,1.01,13.0,1.11,5.1,1.44,2.51,2.2,1.67,3.48,1.24,1.91,1.85,,,,,17.0,34.0,91.0,201.0,6.5,11.0,31.0,101.0,5.0,7.0,20.0,101.0,6.0,8.0,21.0,91.0,201.0
7,Y7D4mpMd,20/08/2023,14:00,ARGENTINA - PRIMERA NACIONAL,Agropecuario,Almagro,ROUND 30,1.91,3.2,4.75,1.67,2.1,1.13,6.0,1.62,2.2,2.88,1.4,6.0,1.13,15.0,1.03,2.63,1.44,1.93,1.93,1.21,4.25,5.5,8.5,21.0,51.0,4.75,6.5,17.0,51.0,7.0,10.0,23.0,67.0,15.0,21.0,41.0,101.0,201.0
8,QkSOvQXi,20/08/2023,14:30,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,Borac Banja Luka,Igman K.,ROUND 4,1.57,3.75,5.07,1.4,2.75,1.04,9.5,1.3,3.2,2.1,1.67,3.5,1.25,7.5,1.06,2.0,1.77,,,,,,,,,,,,,,,,,,,,,
9,fVJuyrXG,20/08/2023,15:00,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,Zrinjski,GOSK Gabela,ROUND 4,1.1,8.5,21.0,,,,,,,1.44,2.7,2.0,1.65,3.05,1.28,2.32,1.47,,,,,,,,,,,,,,,,,,,,,
10,S8RowYJt,20/08/2023,15:45,BRAZIL - SERIE B,Novorizontino,Chapecoense-SC,ROUND 24,1.58,3.74,6.48,1.53,2.41,1.06,6.75,1.44,2.53,2.46,1.56,4.55,1.15,8.9,1.02,2.45,1.52,,,,,7.5,13.0,34.0,151.0,4.5,7.5,23.0,91.0,6.0,8.5,23.0,101.0,10.0,14.0,36.0,176.0,201.0
