,Entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,N1,N2,N3
1,AI_LAY_AWAY_RETORNOS,26/12/2023,09:30,BELGIUM - JUPILER PRO LEAGUE,Genk,Antwerp,2.15,3.5,3.3,1.62,2.25,1.53,2.38,D,H,A
2,AI_LAY_AWAY_RETORNOS,26/12/2023,09:30,ENGLAND - PREMIER LEAGUE,Newcastle,Nottm Forest,1.45,4.75,6.0,1.75,2.05,1.95,1.8,H,H,A
3,AI_LAY_AWAY_RETORNOS,26/12/2023,10:00,ENGLAND - CHAMPIONSHIP,Millwall,QPR,2.15,3.2,3.6,2.35,1.57,2.0,1.73,H,H,A
4,AI_LAY_AWAY_RETORNOS,26/12/2023,10:00,ENGLAND - LEAGUE TWO,Gillingham,Crawley,2.0,3.6,3.6,1.85,2.0,1.73,2.0,A,H,D
5,AI_LAY_AWAY_RETORNOS,26/12/2023,12:00,BELGIUM - JUPILER PRO LEAGUE,Leuven,Eupen,1.85,3.8,3.6,1.62,2.25,1.57,2.25,D,H,A
6,AI_LAY_AWAY_RETORNOS,26/12/2023,12:00,ENGLAND - CHAMPIONSHIP,Cardiff,Plymouth,2.0,3.6,3.6,1.83,2.03,1.67,2.1,H,H,A
7,AI_LAY_AWAY_RETORNOS,26/12/2023,12:00,ENGLAND - CHAMPIONSHIP,Coventry,Sheff Wed,1.73,3.75,5.0,2.03,1.83,1.91,1.8,H,H,A
8,AI_LAY_AWAY_RETORNOS,26/12/2023,12:00,ENGLAND - CHAMPIONSHIP,Southampton,Swansea,1.5,4.75,5.75,1.57,2.35,1.73,2.0,H,H,A
9,AI_LAY_AWAY_RETORNOS,26/12/2023,12:00,ENGLAND - LEAGUE ONE,Oxford Utd,Cambridge Utd,1.73,3.8,4.75,2.03,1.83,1.95,1.8,D,A,H
10,AI_LAY_AWAY_RETORNOS,26/12/2023,12:00,ENGLAND - LEAGUE ONE,Stevenage,Northampton,1.7,3.6,5.5,2.05,1.75,1.95,1.8,D,A,H
11,AI_LAY_AWAY_RETORNOS,26/12/2023,12:00,ENGLAND - LEAGUE ONE,Fleetwood Town,Carlisle,2.05,3.5,3.5,2.05,1.75,1.91,1.91,D,A,H
12,AI_LAY_AWAY_RETORNOS,26/12/2023,12:00,ENGLAND - CHAMPIONSHIP,Watford,Bristol City,1.95,3.4,4.2,2.15,1.67,1.91,1.8,H,H,A
13,AI_LAY_AWAY_RETORNOS,26/12/2023,12:00,ENGLAND - LEAGUE TWO,Notts Co,Doncaster,1.6,4.2,5.25,1.57,2.35,1.62,2.2,A,H,D
14,AI_LAY_AWAY_RETORNOS,26/12/2023,12:00,ENGLAND - LEAGUE ONE,Cheltenham,Shrewsbury,2.2,3.5,3.25,2.3,1.6,2.0,1.75,D,A,H
15,AI_LAY_AWAY_RETORNOS,26/12/2023,12:00,ENGLAND - LEAGUE TWO,Newport,Forest Green,2.05,3.6,3.4,1.85,2.0,1.67,2.1,A,H,D
16,AI_LAY_AWAY_RETORNOS,26/12/2023,12:00,ENGLAND - LEAGUE TWO,MK Dons,Colchester,1.62,4.0,5.25,1.67,2.15,1.73,2.0,A,H,D
17,AI_LAY_AWAY_RETORNOS,26/12/2023,12:00,ENGLAND - LEAGUE TWO,Bradford City,Morecambe,1.75,3.75,4.75,1.98,1.88,1.83,1.83,A,H,D
18,AI_LAY_AWAY_RETORNOS,26/12/2023,12:00,ENGLAND - PREMIER LEAGUE,Bournemouth,Fulham,2.2,3.6,3.1,1.75,2.05,1.62,2.2,H,H,A
19,AI_LAY_AWAY_RETORNOS,26/12/2023,12:00,ENGLAND - LEAGUE TWO,Walsall,Crewe,2.15,3.5,3.3,1.73,2.08,1.62,2.2,A,H,D
20,AI_LAY_AWAY_RETORNOS,26/12/2023,14:30,BELGIUM - JUPILER PRO LEAGUE,Westerlo,RWDM,1.91,3.6,3.8,1.8,2.0,1.7,2.05,D,H,A
