,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,AUSTRALIA - A-LEAGUE,2024-01-04,01:00,Macarthur FC,WS Wanderers,2.8,3.75,2.38,1.44,1.4,2.75
2,POLAND - DIVISION 1,2024-01-04,07:40,Pruszkow,Polonia Warszawa,2.0,3.25,3.5,2.03,1.8,1.91
3,SWEDEN - SUPERETTAN,2024-01-04,08:00,Orebro,Skovde AIK,1.7,3.6,4.2,1.73,1.7,2.05
4,ENGLAND - CHAMPIONSHIP,2024-01-04,08:30,Leicester,Norwich,1.65,4.33,4.75,1.6,1.67,2.1
5,SWEDEN - SUPERETTAN,2024-01-04,10:00,Brage,Varberg,2.3,3.25,2.8,1.88,1.7,2.05
6,INDONESIA - LIGA 1,2024-01-04,10:30,Persebaya,Dewa United,1.78,3.65,4.0,1.65,1.62,2.02
7,ENGLAND - LEAGUE ONE,2024-01-04,11:00,Cheltenham,Exeter,2.15,3.3,3.5,2.08,1.8,1.95
8,ENGLAND - CHAMPIONSHIP,2024-01-04,11:00,Sunderland,Blackburn,2.1,3.4,3.6,1.95,1.73,2.0
9,ENGLAND - CHAMPIONSHIP,2024-01-04,11:00,Stoke,Huddersfield,2.05,3.4,3.75,2.05,1.8,1.91
10,ENGLAND - CHAMPIONSHIP,2024-01-04,11:00,Plymouth,Bristol City,2.6,3.3,2.75,2.03,1.73,2.0
11,ENGLAND - CHAMPIONSHIP,2024-01-04,11:00,Middlesbrough,Sheffield Wed,1.83,3.75,4.2,1.8,1.73,2.0
12,ENGLAND - CHAMPIONSHIP,2024-01-04,11:00,Birmingham,Preston,2.3,3.4,3.1,2.08,1.83,1.83
13,ENGLAND - LEAGUE ONE,2024-01-04,11:00,Bolton,Reading,1.53,4.5,5.75,1.67,1.8,1.95
14,ENGLAND - LEAGUE ONE,2024-01-04,11:00,Northampton,Port Vale,2.45,3.3,2.9,2.1,1.91,1.91
15,ENGLAND - LEAGUE ONE,2024-01-04,11:00,Oxford Utd,Fleetwood,1.75,3.8,4.5,1.85,1.75,2.0
16,ENGLAND - LEAGUE ONE,2024-01-04,11:00,Bristol Rovers,Shrewsbury,2.1,3.3,3.6,2.08,1.91,1.91
17,ENGLAND - LEAGUE ONE,2024-01-04,11:00,Cambridge Utd,Wigan,2.45,3.3,2.9,2.1,1.91,1.91
18,ENGLAND - CHAMPIONSHIP,2024-01-04,11:00,West Brom,Watford,1.85,3.5,4.33,2.08,1.83,1.83
19,ENGLAND - CHAMPIONSHIP,2024-01-04,11:00,Swansea,QPR,2.5,3.4,2.8,2.1,1.83,1.83
20,ENGLAND - LEAGUE ONE,2024-01-04,11:00,Blackpool,Wycombe,1.85,3.5,4.5,2.1,1.95,1.8
21,ROMANIA - LIGA 2,2024-01-04,11:30,Csikszereda M. Ciuc,Selimbar,2.32,3.1,3.1,2.3,1.93,1.78
22,SWITZERLAND - SUPER LEAGUE,2024-01-04,11:30,Grasshoppers,Lausanne,2.7,3.25,2.7,2.0,1.67,2.1
23,SWITZERLAND - SUPER LEAGUE,2024-01-04,11:30,St. Gallen,Luzern,2.05,3.6,3.5,1.57,1.5,2.5
24,POLAND - DIVISION 1,2024-01-04,12:30,Motor Lublin,Tychy,2.25,3.3,2.88,2.03,1.8,1.91
25,POLAND - EKSTRAKLASA,2024-01-04,12:30,Widzew Lodz,Korona Kielce,2.2,3.25,3.4,2.03,1.75,2.0
26,ENGLAND - CHAMPIONSHIP,2024-01-04,13:30,Ipswich,Southampton,2.55,3.6,2.63,1.57,1.44,2.63
27,BELGIUM - JUPILER PRO LEAGUE,2024-01-04,13:30,Genk,Royale Union SG,2.75,3.4,2.5,1.73,1.57,2.25
28,PORTUGAL - LIGA PORTUGAL 2,2024-01-04,14:00,Benfica B,Academico Viseu,2.38,3.2,3.0,2.05,1.8,1.91
29,ROMANIA - LIGA 1,2024-01-04,14:30,Din. Bucuresti,Petrolul,2.5,3.0,3.0,2.6,2.1,1.67
30,ARGENTINA - PRIMERA NACIONAL,2024-01-04,15:30,Def. de Belgrano,San Telmo,1.91,3.2,4.75,2.5,2.2,1.62
31,ARGENTINA - PRIMERA NACIONAL,2024-01-04,16:00,CA Mitre,Aldosivi,2.1,2.9,4.33,2.88,2.38,1.53
32,ARGENTINA - PRIMERA NACIONAL,2024-01-04,21:10,San Martin T.,Chaco For Ever,1.85,3.2,5.0,2.88,2.5,1.5
33,NICARAGUA - LIGA PRIMERA,2024-01-04,23:00,Ferretti,Managua FC,2.1,3.0,3.25,2.3,1.88,1.72
