Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,IRAQ - SUPER LEAGUE,05/03/2024,08:30,Baghdad,Al Minaa,2.52,3.0,2.65
2,EGYPT - PREMIER LEAGUE,05/03/2024,11:00,El Gaish,El Daklyeh,1.78,3.1,4.9
3,ROMANIA - LIGA 2,05/03/2024,14:00,Steaua Bucuresti,Viitorul Tg. Jiu,1.57,3.75,5.6
4,ITALY - SERIE C,05/03/2024,14:30,Entella,Perugia,2.62,2.87,2.85
5,ITALY - SERIE C,05/03/2024,14:30,Pineto,Vis Pesaro,2.05,2.95,4.0
6,SCOTLAND - CHAMPIONSHIP,05/03/2024,16:45,Dunfermline,Airdrieonians,2.4,3.1,2.8
7,ENGLAND - CHAMPIONSHIP,05/03/2024,16:45,Coventry,Rotherham,1.3,5.5,10.0
8,SOUTH AMERICA - COPA SUDAMERICANA,05/03/2024,19:00,U. Catolica (Chi),Coquimbo (Chi),1.95,3.3,3.3
9,SOUTH AMERICA - COPA SUDAMERICANA,05/03/2024,21:30,Carabobo (Ven),Metropolitanos (Ven),1.65,3.4,4.75
10,SOUTH AMERICA - COPA LIBERTADORES,05/03/2024,21:30,Nacional Asuncion (Par),Palestino (Chi),2.15,3.1,3.4
11,SOUTH AMERICA - COPA SUDAMERICANA,05/03/2024,21:30,Deportivo Garcilaso (Per),ADT Tarma (Per),2.1,3.2,3.1
12,ARGENTINA - COPA DE LA LIGA PROFESIONAL,05/03/2024,21:30,Velez Sarsfield,Rosario Central,1.91,3.3,4.33
13,MEXICO - LIGA DE EXPANSION MX,05/03/2024,22:05,Atlante,Tlaxcala,1.39,4.15,8.25
14,SOUTH AMERICA - COPA SUDAMERICANA,05/03/2024,23:00,Deportes Tolima (Col),Ind. Medellin (Col),2.0,3.2,3.4
