Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,ARMENIA - PREMIER LEAGUE,28/09/2023,08:00,Urartu,BKMA,1.47,4.05,5.5
2,GEORGIA - CRYSTALBET EROVNULI LIGA,28/09/2023,08:30,Samgurali,Samtredia,1.75,3.45,4.1
3,BULGARIA - PARVA LIGA,28/09/2023,09:30,Etar,Pirin Blagoevgrad,1.8,3.3,5.25
4,EGYPT - PREMIER LEAGUE,28/09/2023,10:00,Al Masry,Pharco,2.0,2.92,4.1
5,UZBEKISTAN - SUPER LEAGUE,28/09/2023,11:00,Navbahor Namangan,Turon,1.27,4.75,10.75
6,BAHRAIN - PREMIER LEAGUE,28/09/2023,13:00,Manama Club,Al-Hala,1.6,3.65,5.6
7,BAHRAIN - PREMIER LEAGUE,28/09/2023,13:00,Al-Najma,Al-Shabbab,2.42,2.92,3.05
8,SWEDEN - SUPERETTAN,28/09/2023,14:00,Orebro,Utsikten,2.15,3.3,3.4
9,BULGARIA - PARVA LIGA,28/09/2023,14:30,CSKA Sofia,Lok. Sofia,1.25,6.0,13.0
10,BRAZIL - SERIE B,28/09/2023,19:00,Mirassol,CRB,1.87,3.1,4.5
11,BRAZIL - SERIE B,28/09/2023,21:30,Londrina,Sampaio Correa,2.52,2.9,2.95
