Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,ROMANIA - LIGA 2,24/09/2023,05:30,Unirea Dej,Unirea Slobozia,3.55,3.45,1.98
2,CHINA - SUPER LEAGUE,24/09/2023,08:35,Shenzhen,Zhejiang Professional,21.0,8.0,1.14
3,UZBEKISTAN - SUPER LEAGUE,24/09/2023,10:00,Sogdiana,Pakhtakor,3.9,3.3,1.88
4,POLAND - EKSTRAKLASA,24/09/2023,10:00,Ruch Chorzow,Rakow,4.75,3.75,1.73
5,PORTUGAL - TAÇA DE PORTUGAL,24/09/2023,11:00,Mortagua,Amora,4.33,3.25,1.73
6,PORTUGAL - TAÇA DE PORTUGAL,24/09/2023,11:00,Tomar,Pero Pinheiro,4.2,3.4,1.72
7,CROATIA - HNL,24/09/2023,12:00,Slaven Belupo,Rijeka,5.0,4.0,1.65
8,MOLDOVA - SUPER LIGA,24/09/2023,13:00,Zimbru Chisinau,Sheriff Tiraspol,6.0,3.9,1.45
9,MALTA - PREMIER LEAGUE,24/09/2023,13:00,Sliema,Valletta,4.25,3.6,1.72
10,BAHRAIN - PREMIER LEAGUE,24/09/2023,13:00,Sitra,Al Khalidiyah,4.85,3.5,1.7
11,PORTUGAL - LIGA PORTUGAL,24/09/2023,14:00,Portimonense,Benfica,13.0,5.75,1.25
12,BULGARIA - PARVA LIGA,24/09/2023,14:30,Lok. Sofia,Ludogorets,8.0,5.25,1.33
13,MALTA - PREMIER LEAGUE,24/09/2023,15:00,Gudja,Marsaxlokk,3.2,3.1,2.2
14,COLOMBIA - PRIMERA A,24/09/2023,18:00,Envigado,Millonarios,3.75,3.2,2.1
15,VENEZUELA - LIGA FUTVE,24/09/2023,20:00,Monagas,Dep. Tachira,3.1,3.0,2.3
