Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,MEXICO - LIGA DE EXPANSION MX,14/09/2023,00:05,Atletico La Paz,Cancun,2.07,3.45,3.25
2,ALBANIA - SUPERLIGA,14/09/2023,10:00,KF Tirana,Skenderbeu,1.83,3.35,3.75
3,BULGARIA - PARVA LIGA,14/09/2023,14:30,Levski Sofia,Pirin Blagoevgrad,1.17,7.5,17.0
4,BRAZIL - SERIE A,14/09/2023,19:00,Santos,Cruzeiro,2.5,3.1,3.0
5,ARGENTINA - COPA DE LA LIGA PROFESIONAL,14/09/2023,19:00,Platense,Lanus,2.6,2.9,3.1
6,CHILE - PRIMERA DIVISION,14/09/2023,19:00,Colo Colo,Copiapo,1.36,5.0,8.0
7,COLOMBIA - PRIMERA A,14/09/2023,19:45,Aguilas,U. Magdalena,1.44,4.0,9.0
8,BRAZIL - SERIE A,14/09/2023,20:00,Coritiba,Bahia,2.38,3.25,3.1
9,COLOMBIA - PRIMERA A,14/09/2023,20:40,Dep. Cali,Huila,1.7,3.5,5.75
10,BRAZIL - SERIE A,14/09/2023,21:30,Bragantino,Gremio,1.91,3.5,4.2
11,NICARAGUA - LIGA PRIMERA,14/09/2023,22:00,Diriangen,Ferretti,1.32,4.85,8.0
12,COLOMBIA - PRIMERA A,14/09/2023,22:50,Petrolera,Junior,2.7,3.1,2.8
