Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,10/03/2024,07:45,BULGARIA - PARVA LIGA,Botev Vratsa,Arda,3.8,3.4,2.0,2.2,2.0,1.73,1.07,1.52,1.36,9.0,1.07
2,10/03/2024,09:30,BELGIUM - CHALLENGER PRO LEAGUE,Anderlecht U23,Waregem,4.5,3.8,1.7,1.5,1.53,2.38,1.03,1.29,1.14,3.75,1.25
3,10/03/2024,10:00,MALTA - PREMIER LEAGUE,Mosta,Hamrun,5.5,3.95,1.53,1.9,1.93,1.7,1.04,1.39,1.29,6.4,1.08
4,10/03/2024,11:00,SLOVENIA - PRVA LIGA,Mura,O. Ljubljana,5.4,4.0,1.55,1.78,1.85,1.85,1.05,1.37,1.26,4.9,1.14
5,10/03/2024,11:00,EGYPT - PREMIER LEAGUE,El Daklyeh,Pyramids,6.2,3.55,1.55,1.98,2.02,1.62,1.03,1.45,1.34,7.0,1.05
6,10/03/2024,12:00,INDIA - ISL,East Bengal,Mohun Bagan,3.75,3.5,1.85,2.05,1.83,1.83,1.06,1.45,1.33,8.0,1.08
7,10/03/2024,12:00,BELGIUM - CHALLENGER PRO LEAGUE,Francs Borains,Lommel SK,3.6,3.5,2.0,1.7,1.62,2.2,1.04,1.37,1.2,5.0,1.17
8,10/03/2024,12:15,ITALY - SERIE C,Giana Erminio,Padova,4.4,3.35,1.8,2.3,2.12,1.65,1.09,1.53,1.44,7.0,1.07
9,10/03/2024,12:30,SWITZERLAND - SUPER LEAGUE,Lausanne Ouchy,Luzern,3.75,3.6,2.0,1.7,1.57,2.25,1.04,1.34,1.2,5.0,1.17
10,10/03/2024,12:45,BULGARIA - PARVA LIGA,Botev Plovdiv,Ludogorets,5.0,4.2,1.62,1.85,1.83,1.83,1.04,1.39,1.25,6.0,1.13
11,10/03/2024,13:00,AUSTRIA - BUNDESLIGA,Hartberg,Sturm Graz,3.6,3.6,2.0,1.85,1.7,2.05,1.04,1.39,1.25,6.0,1.13
12,10/03/2024,13:30,POLAND - EKSTRAKLASA,Widzew Lodz,Legia,3.8,3.5,1.95,1.93,1.75,2.0,1.05,1.42,1.29,6.5,1.11
13,10/03/2024,14:00,SPAIN - PRIMERA RFEF,Alcoyano,Castellon,3.8,3.0,1.91,2.38,2.2,1.62,1.1,1.57,1.44,8.5,1.05
14,10/03/2024,15:45,ROMANIA - LIGA 1,U Craiova 1948,Univ. Craiova,3.75,3.5,1.91,1.8,1.67,2.1,1.04,1.42,1.22,5.5,1.14
15,10/03/2024,16:45,ITALY - SERIE C,Virtus Francavilla,Avellino,4.3,3.25,1.85,2.32,2.12,1.65,1.1,1.55,1.45,7.2,1.06
16,10/03/2024,18:00,COSTA RICA - PRIMERA DIVISION,Guanacasteca,Alajuelense,5.0,3.5,1.73,2.0,1.83,1.83,1.06,1.45,1.3,7.0,1.1
