Nº,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,30/09/2024,15:00,PERU - LIGA 1,Grau,Cajamarca,1.6,3.6,6.5,2.1,2.1,1.67
2,30/09/2024,21:00,BRAZIL - SERIE B,Novorizontino,Ponte Preta,1.6,3.6,6.0,2.4,2.5,1.5
3,30/09/2024,21:30,BRAZIL - SERIE B,Guarani,Avai,2.2,2.9,3.7,2.88,2.38,1.53
