,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_Under,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
1,SOUTH KOREA - K LEAGUE 2,02/09/2023,04:00,Bucheon FC 1995,Asan,2.5,3.0,2.7,2.5,1.5,2.1,1.04,1.67,1.4,1.2,1.2,1.2,0.4,0.33333334,0.37037036,0.4,0.6666667,0.962,0.07412994,0.2,0.0,0,0.6316
2,SOUTH KOREA - K LEAGUE 2,02/09/2023,06:30,Gimcheon Sangmu,Cheongju,1.5,3.5,6.5,1.75,2.05,1.8,1.14,1.91,2.2,0.9,1.1,1.3,0.6666667,0.2857143,0.15384616,0.5714286,0.4878049,0.877,0.58966434,1.1,-0.4,0,0.7354
3,SWEDEN - SUPERETTAN,02/09/2023,08:00,Landskrona,GAIS,3.6,3.5,1.91,1.7,2.1,1.67,1.17,2.1,1.4,1.1,1.0,0.7,0.2777778,0.2857143,0.5235602,0.5882353,0.47619048,0.855,0.31471807,0.4,0.4,0,0.6628
4,SOUTH KOREA - K LEAGUE 2,02/09/2023,08:00,Cheonan City,Ansan Greeners,2.25,3.25,2.75,1.93,1.88,1.73,1.11,2.0,0.9,2.0,0.8,2.1,0.44444445,0.30769232,0.36363637,0.5181347,0.5319149,0.901,0.15093279,0.1,-0.1,0,0.578
5,SWEDEN - SUPERETTAN,02/09/2023,08:00,Utsikten,Ostersund,1.8,3.3,4.33,2.08,1.73,1.95,1.08,1.8,2.6,1.1,1.0,0.8,0.5555556,0.3030303,0.23094688,0.48076922,0.5780347,0.926,0.38322428,1.6,0.3,0,0.5503
6,SWEDEN - ALLSVENSKAN,02/09/2023,10:00,Halmstad,Sirius,2.75,3.4,2.55,1.83,2.03,1.67,1.13,2.1,0.8,1.1,1.2,1.4,0.36363637,0.29411766,0.39215687,0.5464481,0.49261084,0.885,0.117651045,-0.4,-0.3,0,0.5518
7,SWEDEN - SUPERETTAN,02/09/2023,10:00,Skovde AIK,Oster,4.75,3.75,1.65,1.67,2.15,1.7,1.17,2.05,1.2,1.3,1.7,1.6,0.21052632,0.26666668,0.6060606,0.5988024,0.4651163,0.855,0.48391405,-0.5,-0.3,0,0.555
8,SCOTLAND - LEAGUE TWO,02/09/2023,11:00,Clyde,Forfar Athletic,2.8,3.4,2.3,1.98,1.88,1.73,1.11,2.0,1.0,1.4,0.7,1.1,0.35714287,0.29411766,0.4347826,0.5050505,0.5319149,0.901,0.15891482,0.3,0.3,0,0.7633
9,SCOTLAND - LEAGUE TWO,02/09/2023,11:00,Bonnyrigg Rose,Elgin City,1.75,3.5,4.2,1.8,2.05,1.73,1.14,2.0,0.9,1.4,0.4,2.2,0.5714286,0.2857143,0.23809524,0.5555556,0.4878049,0.877,0.4032008,0.5,-0.8,0,0.7273
10,SCOTLAND - PREMIERSHIP,02/09/2023,11:00,Kilmarnock,Ross County,1.85,3.6,4.2,2.0,1.8,1.95,1.1,1.8,1.3,1.2,1.0,1.9,0.5405405,0.2777778,0.23809524,0.5,0.5555556,0.909,0.38110706,0.3,-0.7,0,0.5625
11,AUSTRIA - BUNDESLIGA,02/09/2023,12:00,Tirol,BW Linz,2.6,3.5,2.6,1.62,2.25,1.5,1.2,2.5,1.3,1.6,1.9,0.9,0.3846154,0.2857143,0.3846154,0.61728394,0.44444445,0.833,0.13258252,-0.6,0.7,0,0.5054
