Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,25/11/2023,00:30,AUSTRALIA - A-LEAGUE,Wellington Phoenix,Melbourne City,3.5,4.0,1.95,1.65,1.62,2.2,1.03,1.3,1.2,4.5,1.2
21,25/11/2023,06:30,ROMANIA - LIGA 2,Tunari,Chindia Targoviste,4.5,3.2,1.83,2.15,1.91,1.8,1.08,1.5,1.38,6.3,1.09
20,25/11/2023,07:30,BULGARIA - PARVA LIGA,Botev Vratsa,Lok. Plovdiv,3.6,3.6,1.95,2.03,1.8,1.91,1.05,1.44,1.3,7.0,1.1
19,25/11/2023,09:00,MALTA - PREMIER LEAGUE,Sirens,Hibernians,5.4,3.75,1.57,2.0,2.05,1.6,1.05,1.44,1.34,7.0,1.07
18,25/11/2023,10:00,MALTA - PREMIER LEAGUE,Sliema,Floriana,4.7,3.5,1.7,2.0,1.98,1.65,1.04,1.44,1.34,7.0,1.07
17,25/11/2023,11:00,CROATIA - HNL,Varazdin,Rijeka,4.5,3.75,1.7,1.88,1.8,1.91,1.05,1.36,1.25,6.0,1.13
16,25/11/2023,11:00,NETHERLANDS - TWEEDE DIVISIE,Rijnsburgse Boys,Hardenberg,3.65,3.5,1.9,1.57,1.5,2.25,1.02,1.29,1.19,3.7,1.19
15,25/11/2023,11:30,MALTA - PREMIER LEAGUE,Gudja,Balzan,3.8,3.3,1.91,1.98,1.82,1.78,1.05,1.44,1.33,6.5,1.08
13,25/11/2023,12:00,ENGLAND - LEAGUE TWO,Swindon,Mansfield,3.25,4.0,2.0,1.6,1.57,2.25,1.03,1.3,1.18,4.33,1.2
12,25/11/2023,12:00,ENGLAND - CHAMPIONSHIP,Huddersfield,Southampton,4.75,3.8,1.7,1.83,1.73,2.0,1.05,1.33,1.25,5.5,1.14
14,25/11/2023,12:00,ENGLAND - LEAGUE TWO,Newport,Stockport County,5.5,3.75,1.62,1.75,1.73,2.0,1.04,1.33,1.22,5.5,1.14
10,25/11/2023,12:00,ENGLAND - LEAGUE ONE,Cheltenham,Oxford Utd,4.5,3.9,1.73,1.93,1.8,1.95,1.05,1.36,1.29,6.5,1.11
22,25/11/2023,12:00,ENGLAND - PREMIER LEAGUE,Burnley,West Ham,3.6,3.5,2.0,1.86,1.7,2.05,1.05,1.36,1.25,5.5,1.14
9,25/11/2023,12:15,MALTA - PREMIER LEAGUE,Marsaxlokk,Hamrun,5.0,3.65,1.62,1.91,1.88,1.72,1.04,1.4,1.3,6.6,1.08
8,25/11/2023,12:30,ROMANIA - LIGA 1,FC Voluntari,Farul Constanta,3.8,3.4,1.95,2.0,1.83,1.83,1.06,1.4,1.3,7.0,1.1
7,25/11/2023,12:30,PORTUGAL - TAÇA DE PORTUGAL,Portimonense,Braga,5.0,3.8,1.53,1.7,1.8,1.91,1.04,1.33,1.2,5.0,1.17
6,25/11/2023,13:30,SLOVENIA - PRVA LIGA,Radomlje,O. Ljubljana,4.15,3.95,1.7,1.65,1.65,2.1,1.04,1.33,1.22,4.3,1.18
5,25/11/2023,14:30,ENGLAND - PREMIER LEAGUE,Brentford,Arsenal,4.75,3.75,1.7,1.88,1.8,1.95,1.05,1.36,1.25,5.5,1.14
4,25/11/2023,16:00,BELGIUM - CHALLENGER PRO LEAGUE,Francs Borains,Deinze,4.33,3.6,1.73,1.8,1.73,2.0,1.04,1.36,1.25,5.5,1.14
3,25/11/2023,16:45,BELGIUM - JUPILER PRO LEAGUE,St. Liege,Genk,3.6,3.75,1.91,1.6,1.57,2.25,1.03,1.29,1.18,4.33,1.2
2,25/11/2023,20:00,ECUADOR - LIGA PRO,Mushuc Runa,U. Catolica,3.8,3.3,2.0,1.85,1.67,2.1,1.05,1.36,1.25,6.0,1.13
11,25/11/2023,20:30,BOLIVIA - DIVISION PROFESIONAL,Palmaflor,Bolivar,4.2,3.6,1.7,1.5,1.5,2.5,1.03,1.25,1.14,3.75,1.25
23,25/11/2023,23:00,COSTA RICA - PRIMERA DIVISION,Zeledon,Cartagines,3.3,3.5,1.91,1.67,1.57,2.25,1.03,1.3,1.2,5.0,1.17
