Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,01/09/2024,08:00,THAILAND - THAI LEAGUE 1,Ratchaburi,Port MTI FC,3.4,3.6,1.95,1.65,1.57,2.27,1.04,1.32,1.21,4.2,1.19
14,01/09/2024,09:15,SWITZERLAND - SUPER LEAGUE,Winterthur,Servette,3.9,3.9,1.8,1.57,1.57,2.25,1.03,1.29,1.17,4.0,1.22
13,01/09/2024,10:00,FINLAND - VEIKKAUSLIIGA,Gnistan,Ilves,3.3,3.5,1.91,1.6,1.5,2.5,1.03,1.29,1.17,4.33,1.2
12,01/09/2024,10:15,NORTHERN IRELAND - NIFL PREMIERSHIP,Coleraine,Larne,4.3,3.9,1.7,1.75,1.75,1.95,1.05,1.36,1.25,4.75,1.15
11,01/09/2024,11:30,BELARUS - VYSSHAYA LIGA,Dnepr Mogilev,BATE,5.5,4.15,1.59,1.86,1.88,1.88,1.01,1.36,1.24,5.5,1.1
10,01/09/2024,13:00,ITALY - SERIE C,Pergolettese,L.R. Vicenza,4.55,3.15,1.85,2.42,2.18,1.62,1.11,1.55,1.5,7.5,1.06
9,01/09/2024,13:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Gagra,Samgurali,4.7,3.4,1.65,1.98,1.94,1.82,1.04,1.37,1.33,7.4,1.06
15,01/09/2024,13:15,BULGARIA - PARVA LIGA,Hebar,Beroe,4.2,3.3,1.9,2.5,2.25,1.57,1.1,1.57,1.5,11.0,1.05
8,01/09/2024,13:45,AZERBAIJAN - PREMIER LEAGUE,Zira,Qarabag,4.9,3.7,1.62,1.8,1.75,1.85,1.01,1.4,1.25,5.4,1.1
7,01/09/2024,14:15,BELGIUM - CHALLENGER PRO LEAGUE,Seraing,Lommel SK,4.2,3.8,1.73,1.75,1.73,2.0,1.04,1.36,1.22,5.5,1.14
6,01/09/2024,15:45,CROATIA - HNL,Rijeka,D. Zagreb,4.5,3.7,1.67,1.93,1.83,1.83,1.05,1.36,1.29,6.5,1.11
5,01/09/2024,16:00,CHILE - PRIMERA DIVISION,Cobreloa,Colo Colo,5.5,3.9,1.6,1.84,1.83,1.83,1.05,1.36,1.29,6.0,1.13
4,01/09/2024,16:15,ICELAND - BESTA DEILD KARLA,Kopavogur,Fram,4.4,4.0,1.65,1.52,1.55,2.3,1.03,1.29,1.17,3.65,1.24
3,01/09/2024,16:30,PORTUGAL - LIGA PORTUGAL,Gil Vicente,Braga,4.5,3.8,1.7,1.73,1.75,2.0,1.04,1.33,1.22,5.5,1.14
2,01/09/2024,17:30,ECUADOR - LIGA PRO,Aucas,Ind. del Valle,4.5,3.6,1.75,1.95,1.83,1.83,1.06,1.4,1.29,6.5,1.11
16,31/08/2024,22:00,USA - USL CHAMPIONSHIP,San Antonio,Charleston,3.55,3.4,1.91,1.83,1.7,2.02,1.06,1.39,1.28,5.1,1.13
17,31/08/2024,23:00,COSTA RICA - PRIMERA DIVISION,AD Santos,Herediano,5.0,3.4,1.67,2.1,2.0,1.73,1.07,1.44,1.36,8.0,1.08
