,Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_D,Odd_CS_0x1_Lay,IDMercado_Correct_Score
1,2026-02-19,16:30:00,EGYPT - PREMIER LEAGUE,Al Ahly,El Gouna,1.31,16.0,5.3,40.0,1.2539752
2,2026-02-19,16:30:00,EGYPT - PREMIER LEAGUE,Arab Contractors,Al Masry,3.35,2.54,3.0,8.4,1.2539753
3,2026-02-19,18:30:00,PARAGUAY - PRIMERA DIVISION,Sportivo San Lorenzo,Sportivo Trinidense,3.1,2.5,3.15,9.0,1.2541182
4,2026-02-19,19:30:00,BRAZIL - SERIE A,Athletico-PR,Corinthians,2.58,3.3,3.1,10.5,1.2536561
5,2026-02-19,20:30:00,PARAGUAY - PRIMERA DIVISION,Nacional Asuncion,Ameliano,2.06,4.1,3.15,13.0,1.2541242
