,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
1,MEXICO - LIGA DE EXPANSION MX,23/08/2023,00:05,Venados,Correcaminos,2.24,3.24,3.17,2.01,1.8,1.74,2.04,1.9,1.1357816,0.66,0.7,1.1874342,1.352,0.44642857,0.30864197,0.3154574,0.49751243,0.5555556,0.17769144,1.2,2.323,1,0.6256
2,MEXICO - LIGA MX,23/08/2023,00:06,Juarez,U.N.A.M.- Pumas,2.5,3.3,2.88,1.95,1.9,1.7,2.05,1.3,1.1874342,0.902,0.8,1.1661904,1.035,0.4,0.3030303,0.3472222,0.51282054,0.5263158,0.11322821,0.5,2.354,1,0.667
3,NORTH MACEDONIA - 1. MFL,23/08/2023,11:30,Makedonija GP,Shkupi,4.26,3.25,1.82,2.1,1.65,1.91,1.8,1.8,1.2489996,0.731,1.4,1.356466,0.702,0.23474178,0.30769232,0.5494506,0.47619048,0.6060606,0.36954248,0.4,2.605,1,0.8705
4,ARMENIA - PREMIER LEAGUE,23/08/2023,12:00,Ararat-Armenia,Pyunik Yerevan,2.13,3.28,3.29,1.92,1.86,1.7,2.1,2.1,1.1357816,0.769,2.8,0.6,0.673,0.46948355,0.30487806,0.30395138,0.5208333,0.53763443,0.2164913,-0.7,1.736,1,0.5121
5,NORWAY - OBOS-LIGAEN,23/08/2023,13:00,Kongsvinger,Fredrikstad,2.45,3.3,2.88,1.98,1.88,1.73,2.0,2.1,1.3747727,0.852,2.2,0.9797959,0.402,0.40816328,0.3030303,0.3472222,0.5050505,0.5319149,0.12216804,-0.1,2.355,1,0.6695
6,NORWAY - OBOS-LIGAEN,23/08/2023,13:00,Start,Asane,1.53,4.33,5.75,1.44,2.7,1.53,2.38,2.2,1.2489996,0.621,0.7,0.9,0.823,0.6535948,0.23094688,0.17391305,0.6944444,0.37037036,0.60640824,1.5,2.149,1,0.5872
7,NORWAY - OBOS-LIGAEN,23/08/2023,13:00,Skeid,Ranheim,2.55,3.75,2.55,1.5,2.5,1.4,2.75,1.1,1.3,0.854,0.8,1.1661904,1.125,0.39215687,0.26666668,0.39215687,0.6666667,0.4,0.16886131,0.3,2.466,1,0.7062
8,NORWAY - OBOS-LIGAEN,23/08/2023,13:00,Mjondalen,Jerv,2.2,3.4,3.3,1.6,2.3,1.5,2.5,1.2,1.2489996,0.854,1.2,1.2489996,0.587,0.45454547,0.29411766,0.3030303,0.625,0.4347826,0.20999172,0.0,2.498,1,0.5114
9,NORWAY - OBOS-LIGAEN,23/08/2023,13:00,Bryne,Moss,2.15,3.5,3.25,1.8,2.0,1.62,2.2,1.5,1.2845232,1.104,0.875,0.9270248,0.323,0.4651163,0.2857143,0.30769232,0.5555556,0.5,0.22643645,0.625,2.212,1,0.5936
10,COLOMBIA - PRIMERA A,23/08/2023,18:45,Petrolera,La Equidad,2.3,3.3,3.2,2.1,1.7,1.83,1.83,2.5,1.024695,0.851,0.9,0.83066237,0.933,0.4347826,0.3030303,0.3125,0.47619048,0.5882353,0.17138115,1.6,1.855,1,0.645
11,BRAZIL - SERIE B,23/08/2023,21:30,Botafogo SP,Chapecoense-SC,2.07,3.13,3.99,2.68,1.4,2.31,1.58,1.6,1.4282857,1.087,0.6,0.9165151,1.085,0.4830918,0.31948882,0.25062656,0.37313432,0.71428573,0.27770978,1.0,2.345,1,0.7441
12,COLOMBIA - PRIMERA A,23/08/2023,22:30,Junior,America De Cali,2.2,3.2,3.5,2.5,1.5,2.1,1.67,1.6,1.2,0.535,0.9,1.1357816,0.836,0.45454547,0.3125,0.2857143,0.4,0.6666667,0.21111882,0.7,2.336,1,0.6214
