,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,06/08/2023,00:05,MEXICO - LIGA DE EXPANSION MX,Cimarrones de Sonora,Dorados de Sinaloa,1.45,4.4,6.52,1.78,1.88,1.88,10.2,1.34,1.22,5.15,1.11
2,06/08/2023,07:00,SOUTH KOREA - K LEAGUE 1,Jeonbuk,Incheon,1.91,3.4,4.0,1.9,1.73,2.0,1.05,1.36,1.25,6.0,1.13
3,06/08/2023,08:30,BELGIUM - JUPILER PRO LEAGUE,Anderlecht,Antwerp,2.55,3.4,2.7,1.8,1.67,2.1,1.05,1.36,1.25,6.0,1.13
4,06/08/2023,09:15,SWITZERLAND - SUPER LEAGUE,Lausanne,Yverdon,1.73,4.0,4.5,1.57,1.57,2.25,1.03,1.29,1.17,4.0,1.22
5,06/08/2023,09:15,SWITZERLAND - CHALLENGE LEAGUE,Vaduz,Stade Nyonnais,1.85,3.94,3.8,1.6,1.54,2.41,1.02,1.28,1.15,4.1,1.18
6,06/08/2023,10:30,GEORGIA - CRYSTALBET EROVNULI LIGA,Samtredia,Telavi,2.16,3.28,3.21,2.04,1.79,1.98,1.04,1.41,1.31,7.1,1.06
7,06/08/2023,11:00,LUXEMBOURG - NATIONAL DIVISION,Kaerjeng,Mondercange,2.79,3.5,2.3,1.72,1.56,2.36,1.01,1.31,1.19,5.0,1.14
8,06/08/2023,12:00,FINLAND - YKKONEN,Jaro,JaPS,1.95,3.6,3.25,1.57,1.53,2.38,1.03,1.3,1.17,4.33,1.2
9,06/08/2023,12:15,ROMANIA - LIGA 1,Petrolul,Farul Constanta,2.75,3.1,2.45,2.15,1.83,1.83,1.07,1.44,1.36,9.0,1.07
10,06/08/2023,12:30,SERBIA - PRVA LIGA,Radnicki Beograd,Dubocica,1.9,3.32,3.96,2.23,1.95,1.81,1.05,1.46,1.37,8.0,1.05
11,06/08/2023,12:30,SERBIA - PRVA LIGA,Mladost GAT,Radnicki S. Mitrovica,1.74,3.48,4.6,2.16,1.98,1.79,1.05,1.44,1.35,8.0,1.05
12,06/08/2023,13:00,RUSSIA - PREMIER LEAGUE,Zenit,Dynamo Moscow,1.6,4.59,5.83,1.69,1.7,2.1,1.01,1.29,1.16,4.3,1.17
13,06/08/2023,13:00,POLAND - DIVISION 1,Odra Opole,Tychy,2.0,3.4,3.4,1.93,1.73,2.0,1.05,1.36,1.29,6.5,1.11
14,06/08/2023,13:00,MOLDOVA - SUPER LIGA,Zimbru Chisinau,Milsami,2.37,3.02,3.07,2.35,1.93,1.83,1.06,1.51,1.41,9.0,1.03
15,06/08/2023,14:00,SENEGAL - LIGUE 1,Dakar SC,US Goree,2.4,2.74,3.38,3.2,2.51,1.5,1.13,1.72,1.78,13.0,1.02
16,06/08/2023,14:00,SENEGAL - LIGUE 1,Pikine,Excellence,1.44,4.25,6.68,1.88,2.0,1.77,1.06,1.36,1.26,6.3,1.08
17,06/08/2023,14:15,BELGIUM - JUPILER PRO LEAGUE,Kortrijk,St. Truiden,2.8,3.4,2.45,2.03,1.7,2.05,1.05,1.4,1.3,7.0,1.1
18,06/08/2023,15:00,MEXICO - LIGA DE EXPANSION MX,Atlante,Tepatitlan de Morelos,1.53,3.98,6.07,2.01,2.03,1.75,1.02,1.41,1.29,6.4,1.07
