,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_Under,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
1,SPAIN - PRIMERA RFEF,30/09/2023,11:00,Leonesa,SD Logrones,1.73,3.25,4.33,2.35,1.57,2.25,1.06,1.57,0.9,0.8,0.8,1.4,0.5780347,0.30769232,0.23094688,0.42553192,0.6369427,0.943,0.39993095,0.1,-0.6,0,0.518
2,SCOTLAND - PREMIERSHIP,30/09/2023,11:00,St Johnstone,Livingston,2.55,3.2,2.88,2.3,1.62,1.95,1.07,1.8,0.8,1.5,0.3,2.4,0.39215687,0.3125,0.3472222,0.4347826,0.61728394,0.935,0.093001395,0.5,-0.9,0,0.5342
3,SCOTLAND - PREMIERSHIP,30/09/2023,11:00,Kilmarnock,St. Mirren,2.3,3.25,3.1,2.3,1.62,1.95,1.07,1.8,1.2,1.0,1.4,1.9,0.4347826,0.30769232,0.32258064,0.4347826,0.61728394,0.935,0.15978965,-0.2,-0.9,0,0.5892
4,SCOTLAND - LEAGUE TWO,30/09/2023,11:00,Dumbarton,Stranraer,1.75,3.5,4.5,1.88,1.98,1.8,1.13,1.91,0.9,1.1,0.6,1.4,0.5714286,0.2857143,0.22222222,0.5319149,0.5050505,0.885,0.42213824,0.3,-0.3,0,0.5723
5,SCOTLAND - LEAGUE TWO,30/09/2023,11:00,Peterhead,Elgin City,1.7,3.8,4.75,1.8,2.0,1.8,1.14,1.91,0.6,1.3,0.6,2.4,0.5882353,0.2631579,0.21052632,0.5555556,0.5,0.877,0.4718891,0.0,-1.1,0,0.9415
6,SCOTLAND - LEAGUE TWO,30/09/2023,11:00,Stenhousemuir,Clyde,1.57,3.8,5.5,1.83,2.03,1.83,1.14,1.83,1.1,1.0,0.6,1.6,0.6369427,0.2631579,0.18181819,0.5464481,0.49261084,0.877,0.5495173,0.5,-0.6,0,0.7607
7,BELGIUM - JUPILER PRO LEAGUE,30/09/2023,11:00,Eupen,Anderlecht,4.2,4.0,1.73,1.67,2.15,1.67,1.17,2.1,1.6,2.3,1.0,1.4,0.23809524,0.25,0.5780347,0.5988024,0.4651163,0.855,0.44324243,0.6,0.9,0,0.7969
8,SPAIN - LALIGA2,30/09/2023,11:15,Eibar,Tenerife,2.05,3.2,4.0,2.5,1.5,2.2,1.04,1.62,1.0,0.8,0.5,0.7,0.4878049,0.3125,0.25,0.4,0.6666667,0.962,0.28751224,0.5,0.1,0,0.5355
9,ARGENTINA - PRIMERA NACIONAL,30/09/2023,12:10,Almirante Brown,Nueva Chicago,2.0,3.25,4.0,2.7,1.44,2.25,1.04,1.57,1.0,0.3,0.6,0.7,0.5,0.30769232,0.25,0.37037036,0.6944444,0.962,0.3031515,0.4,-0.4,0,0.5699
10,SWITZERLAND - SUPER LEAGUE,30/09/2023,13:00,Winterthur,Lugano,3.1,3.75,2.25,1.62,2.25,1.53,1.18,2.38,0.9,1.4,1.5,1.5,0.32258064,0.26666668,0.44444445,0.61728394,0.44444445,0.847,0.21541275,-0.6,-0.1,0,0.5582
11,SPAIN - PRIMERA RFEF,30/09/2023,13:00,Castellon,Merida AD,1.53,3.6,5.5,2.1,1.7,2.25,1.08,1.57,1.3,0.9,1.0,0.8,0.6535948,0.2777778,0.18181819,0.47619048,0.5882353,0.926,0.5486512,0.3,0.1,0,0.5955
12,ARGENTINA - PRIMERA NACIONAL,30/09/2023,13:30,Def. de Belgrano,All Boys,1.7,3.5,5.25,2.5,1.5,2.38,1.05,1.53,1.6,0.6,0.7,1.5,0.5882353,0.2857143,0.1904762,0.4,0.6666667,0.952,0.47793415,0.9,-0.9,0,0.6592
13,SPAIN - PRIMERA RFEF,30/09/2023,14:00,Lugo,Gimnastic,2.38,3.3,2.6,2.25,1.62,2.0,1.06,1.73,0.6,1.3,0.8,1.1,0.42016807,0.3030303,0.3846154,0.44444445,0.61728394,0.943,0.13279314,-0.2,0.2,0,0.6009
14,BELGIUM - CHALLENGER PRO LEAGUE,30/09/2023,15:00,Anderlecht U23,Lierse K.,2.6,3.4,2.3,1.65,2.2,1.53,1.18,2.38,1.1,2.5,1.5,1.7,0.3846154,0.29411766,0.4347826,0.6060606,0.45454547,0.847,0.1568214,-0.4,0.8,0,0.5933
15,BELGIUM - CHALLENGER PRO LEAGUE,30/09/2023,15:00,Francs Borains,Seraing,2.15,3.4,2.8,1.7,2.1,1.57,1.17,2.25,1.5,2.5,0.9,2.2,0.4651163,0.29411766,0.35714287,0.5882353,0.47619048,0.855,0.1897457,0.6,0.3,0,0.7756
16,SPAIN - PRIMERA RFEF,30/09/2023,15:00,Rayo Majadahonda,Teruel,2.2,3.1,3.0,2.25,1.62,2.0,1.07,1.73,1.2,0.9,0.6,0.7,0.45454547,0.32258064,0.33333334,0.44444445,0.61728394,0.935,0.16165097,0.6,0.2,0,0.5903
17,ARGENTINA - PRIMERA NACIONAL,30/09/2023,15:30,Club A. Guemes,Temperley,2.45,3.0,3.2,2.4,1.53,2.0,1.05,1.73,0.9,0.6,1.0,1.3,0.40816328,0.33333334,0.3125,0.41666666,0.6535948,0.952,0.11691447,-0.1,-0.7,0,0.5425
18,ARGENTINA - PRIMERA NACIONAL,30/09/2023,15:30,CA Estudiantes,CA Mitre,2.05,3.1,4.0,2.4,1.53,2.1,1.05,1.67,1.0,1.0,0.5,1.5,0.4878049,0.32258064,0.25,0.41666666,0.6535948,0.952,0.2815265,0.5,-0.5,0,0.5187
19,ARGENTINA - COPA DE LA LIGA PROFESIONAL,30/09/2023,16:00,San Lorenzo,Huracan,2.25,2.9,3.75,3.6,1.29,2.75,1.02,1.4,1.0,0.6,0.2,1.1,0.44444445,0.3448276,0.26666668,0.2777778,0.7751938,0.98,0.20669796,0.8,-0.5,0,0.8444
20,ARGENTINA - PRIMERA NACIONAL,30/09/2023,16:30,San Martin S.J.,Defensores Unidos,1.6,3.75,6.5,2.5,1.5,2.63,1.05,1.44,1.8,0.8,0.5,1.1,0.625,0.26666668,0.15384616,0.4,0.6666667,0.952,0.5763603,1.3,-0.3,0,0.6328
21,ARGENTINA - COPA DE LA LIGA PROFESIONAL,30/09/2023,16:30,Rosario Central,Newells Old Boys,2.88,3.0,2.7,2.6,1.48,2.1,1.04,1.67,1.8,0.8,0.8,1.0,0.3472222,0.33333334,0.37037036,0.3846154,0.6756757,0.962,0.04361011,1.0,-0.2,0,0.739
22,ARGENTINA - PRIMERA NACIONAL,30/09/2023,18:00,Patronato,San Telmo,1.73,3.6,4.75,1.98,1.88,1.83,1.11,1.83,1.6,0.9,1.1,1.5,0.5780347,0.2777778,0.21052632,0.5050505,0.5319149,0.901,0.44949257,0.5,-0.6,0,0.5259
23,ARGENTINA - PRIMERA NACIONAL,30/09/2023,19:00,Alvarado,Agropecuario,2.45,3.1,2.9,2.5,1.5,2.1,1.05,1.67,0.8,0.4,0.6,1.3,0.40816328,0.32258064,0.3448276,0.4,0.6666667,0.952,0.101126805,0.2,-0.9,0,0.6453
24,ARGENTINA - COPA DE LA LIGA PROFESIONAL,30/09/2023,19:00,Racing Club,Independiente,2.1,3.2,3.75,2.3,1.6,1.91,1.06,1.8,1.5,1.4,1.1,1.1,0.47619048,0.3125,0.26666668,0.4347826,0.625,0.943,0.25565413,0.4,0.3,0,0.6536
25,ARGENTINA - COPA DE LA LIGA PROFESIONAL,30/09/2023,21:30,Banfield,Lanus,2.55,3.0,3.0,2.7,1.44,2.1,1.04,1.67,1.1,0.7,1.2,1.5,0.39215687,0.33333334,0.33333334,0.37037036,0.6944444,0.962,0.07856742,-0.1,-0.8,0,0.664
