Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,14/04/2024,04:30,CHINA - SUPER LEAGUE,Changchun Yatai,Chengdu Rongcheng,5.0,4.0,1.67,1.73,1.75,2.0,1.04,1.33,1.22,5.5,1.14
16,14/04/2024,07:00,SPAIN - PRIMERA RFEF,Baleares,UD Ibiza,5.0,3.4,1.62,2.15,2.2,1.62,1.07,1.44,1.36,7.0,1.08
15,14/04/2024,09:00,ITALY - SERIE C,Olbia,Pescara,4.1,3.5,1.72,1.8,1.75,1.98,1.05,1.38,1.26,4.9,1.14
14,14/04/2024,09:00,MALTA - PREMIER LEAGUE,Balzan,Sliema,4.6,3.4,1.72,2.12,2.02,1.62,1.07,1.47,1.39,7.29,1.06
13,14/04/2024,09:30,AUSTRIA - BUNDESLIGA,Hartberg,Sturm Graz,5.25,3.6,1.7,1.93,1.8,1.95,1.05,1.36,1.25,6.5,1.11
12,14/04/2024,10:00,BELARUS - VYSSHAYA LIGA,Shakhtyor Soligorsk,Slavia Mozyr,3.92,3.62,1.92,1.95,1.81,1.95,1.02,1.39,1.27,6.05,1.08
11,14/04/2024,11:00,BULGARIA - PARVA LIGA,Etar,Krumovgrad,4.0,3.3,2.0,2.3,2.0,1.73,1.08,1.5,1.4,10.0,1.06
10,14/04/2024,11:00,BELGIUM - CHALLENGER PRO LEAGUE,St. Liege U23,Seraing,3.3,3.75,2.0,1.62,1.53,2.38,1.03,1.3,1.18,4.5,1.18
9,14/04/2024,11:45,NETHERLANDS - EERSTE DIVISIE,Venlo,Groningen,5.0,4.0,1.57,1.73,1.8,1.91,1.04,1.33,1.22,5.5,1.14
8,14/04/2024,12:00,AZERBAIJAN - PREMIER LEAGUE,Sabah Baku,Qarabag,3.55,3.8,1.83,1.62,1.6,2.07,1.03,1.3,1.2,4.65,1.16
7,14/04/2024,14:00,CROATIA - HNL,Istra 1961,Rijeka,5.75,3.75,1.57,2.1,2.1,1.67,1.06,1.44,1.36,8.0,1.08
6,14/04/2024,14:15,BELGIUM - JUPILER PRO LEAGUE,Leuven,Gent,4.2,3.75,1.8,1.57,1.57,2.25,1.03,1.29,1.17,4.33,1.2
5,14/04/2024,15:15,SLOVENIA - PRVA LIGA,Domzale,O. Ljubljana,4.45,3.8,1.7,1.72,1.72,2.02,1.04,1.36,1.24,4.55,1.16
4,14/04/2024,16:00,BRAZIL - SERIE A,Atletico GO,Flamengo RJ,5.0,3.6,1.75,2.0,1.8,1.95,1.06,1.4,1.3,6.5,1.11
3,14/04/2024,18:30,BRAZIL - SERIE A,Vitoria,Palmeiras,4.5,4.0,1.73,1.97,1.91,1.91,1.05,1.36,1.3,6.0,1.13
2,14/04/2024,18:30,PARAGUAY - PRIMERA DIVISION,Sp. Luqueno,Libertad Asuncion,3.6,3.5,1.91,2.1,1.87,1.77,1.07,1.44,1.36,8.0,1.08
17,14/04/2024,20:00,ECUADOR - LIGA PRO,Libertad,Barcelona SC,4.2,3.4,1.8,1.98,1.83,1.83,1.05,1.4,1.29,7.0,1.1
18,14/04/2024,20:20,COLOMBIA - PRIMERA A,Dep. Pasto,Millonarios,4.0,3.4,1.95,2.35,2.0,1.73,1.08,1.5,1.44,10.0,1.06
