,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,HONG KONG - PREMIER LEAGUE,16/09/2023,04:00,Lee Man Warriors,Kitchee,4.55,3.95,1.62
2,ROMANIA - LIGA 2,16/09/2023,05:00,CSM Slatina,Selimbar,2.22,3.0,3.35
3,ROMANIA - LIGA 2,16/09/2023,05:00,CSC Dumbravita,Tunari,2.25,3.35,3.0
4,PORTUGAL - LIGA PORTUGAL 2,16/09/2023,07:00,AVS,Vilaverdense,1.73,3.3,4.2
5,ENGLAND - FA CUP,16/09/2023,08:30,Tadcaster,Chester,7.1,4.8,1.35
6,NETHERLANDS - TWEEDE DIVISIE,16/09/2023,09:30,Hardenberg,Jong Almere City,1.4,4.85,5.9
7,FINLAND - YKKONEN,16/09/2023,10:00,JaPS,KaPa,2.1,3.6,2.9
8,NORTH MACEDONIA - 1. MFL,16/09/2023,10:00,Shkupi,Brera Strumica,1.7,3.4,4.9
9,POLAND - DIVISION 1,16/09/2023,10:00,Polonia Warszawa,Pruszkow,2.7,3.5,2.25
10,SCOTLAND - PREMIERSHIP,16/09/2023,11:00,Ross County,Livingston,2.38,3.2,3.1
11,ENGLAND - FA CUP,16/09/2023,11:00,Worcester,Leek,5.6,4.3,1.47
12,ENGLAND - FA CUP,16/09/2023,11:00,Witham,Hornchurch,5.6,4.45,1.45
13,ENGLAND - FA CUP,16/09/2023,11:00,Whitehawk,Redhill,,,
14,ENGLAND - FA CUP,16/09/2023,11:00,Whitby,Prescot,,,
15,ENGLAND - FA CUP,16/09/2023,11:00,Weston-super-Mare,Truro,2.12,3.45,3.05
16,ENGLAND - FA CUP,16/09/2023,11:00,Ware,Chelmsford,,,
17,ENGLAND - FA CUP,16/09/2023,11:00,Tamworth,Harborough,1.35,4.75,7.1
18,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,16/09/2023,11:00,Igman K.,Velez Mostar,2.55,3.1,2.67
19,MOLDOVA - SUPER LIGA,16/09/2023,11:00,Sheriff Tiraspol,Floresti,1.05,9.25,21.0
20,ENGLAND - FA CUP,16/09/2023,11:00,Spennymoor,Marine,1.44,4.45,5.9
21,ENGLAND - FA CUP,16/09/2023,11:00,Haringey,Tonbridge,,,
22,ENGLAND - FA CUP,16/09/2023,11:00,Halesowen,Alvechurch,,,
23,ENGLAND - FA CUP,16/09/2023,11:00,Gosport,Cribbs,,,
24,ENGLAND - FA CUP,16/09/2023,11:00,Gloucester,AFC Totton,,,
25,ENGLAND - FA CUP,16/09/2023,11:00,FC United,Warrington Rylands,2.07,3.45,3.15
26,ENGLAND - FA CUP,16/09/2023,11:00,Farsley,Scarborough,2.32,3.5,2.67
27,ENGLAND - FA CUP,16/09/2023,11:00,Farnham,Chesham,,,
28,ENGLAND - FA CUP,16/09/2023,11:00,Enfield Town,Felixstowe & Walton,2.07,3.5,3.15
29,ENGLAND - FA CUP,16/09/2023,11:00,Eastbourne Boro,Worthing,2.4,3.55,2.55
30,ENGLAND - FA CUP,16/09/2023,11:00,Eastbourne United,Berkhamsted,,,
31,ENGLAND - FA CUP,16/09/2023,11:00,Dover,Hastings,,,
32,ENGLAND - FA CUP,16/09/2023,11:00,Didcot,Bristol MF,,,
33,ENGLAND - FA CUP,16/09/2023,11:00,Dartford,Welling,2.05,3.6,3.1
34,ENGLAND - FA CUP,16/09/2023,11:00,Coalville,Stafford,1.62,4.15,4.25
35,ENGLAND - FA CUP,16/09/2023,11:00,Cleethorpes,Alfreton,7.2,4.5,1.37
36,ENGLAND - FA CUP,16/09/2023,11:00,Chippenham,Hungerford,1.8,3.95,3.6
37,ENGLAND - FA CUP,16/09/2023,11:00,Carshalton,Kingstonian,,,
38,ENGLAND - FA CUP,16/09/2023,11:00,Canvey,Braintree,4.1,3.95,1.7
39,ENGLAND - FA CUP,16/09/2023,11:00,Brightlingsea,Billericay,4.65,4.2,1.57
