,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,Media_Ptos_H,DP_Ptos_H,CV_Ptos_H,Media_VG_H,DP_VG_H,CV_VG_H,Media_CG_H,DP_CG_H,CV_CG_H,Media_GM_H,DP_GM_H,CV_GM_H,Media_GS_H,DP_GS_H,CV_GS_H,Media_SG_H,DP_SG_H,CV_SG_H,Media_p_H,DP_p_H,Media_CG_H_02,GM_H_XP,CV_GM_H_XP,GS_H_XP,CV_GS_H_XP,Media_Ptos_A,DP_Ptos_A,CV_Ptos_A,Media_VG_A,DP_VG_A,CV_VG_A,Media_CG_A,DP_CG_A,CV_CG_A,Media_GM_A,DP_GM_A,CV_GM_A,Media_GS_A,DP_GS_A,CV_GS_A,Media_SG_A,DP_SG_A,CV_SG_A,Media_p_A,DP_p_A,GM_A_XP,CV_GM_A_XP,GS_A_XP,CV_GS_A_XP,p_H,p_D,p_A,p_Over,p_Under,p_BTTS_Y,p_BTTS_N,p_H__p_D,p_H__p_A,p_D__p_H,p_D__p_A,p_A__p_H,p_A__p_D,p_D__p_Over,p_D__p_Under,CV_HDA,CV_HD,CV_HA,CV_DA,CV_DO,H_A,A_D,H_D,H_O,A_O,O_D,O_S,Odd_Sum,coeficiente_pontos,cv_pontos,HO_D,AO_D,ADJ_H,ADJ_A,CV_MO,DP_MO,CV_MO_OV,Euc_Dist_MO,Angle_MO,Euc_Dist_OV,Angle_OV,XPT_H,XPT_A,XPT_H/A,XPT_A/H,Distancia_E_Geral,DE,DE_Casa,prediction_label,prediction_score
1,SINGAPORE - PREMIER LEAGUE,2024-04-08,07:00,Albirex Niigata,Young Lions,1.67,4.5,3.4,1.17,5.0,1.2,4.33,2.0,1.1281521,0.56407607,0.46796998,0.34916604,0.74612916,0.3949552,0.13252273,0.33553866,2.4545455,2.0164611,0.8215212,0.90909094,0.8999541,0.98994946,1.5454545,1.9708622,1.2752638,0.54787266,0.20139508,1.501209,2.677686,1.8484228,0.8264463,0.98994946,0.0,0.0,3.1622777,0.59440374,0.60930413,1.0250677,0.5278532,0.06542595,0.12394724,0.8181818,0.83319557,1.0183501,3.4545455,1.304791,0.37770262,-2.6363637,1.5534552,-0.5892416,0.1590227,0.06761336,2.0082645,0.33945006,5.6528926,0.7973722,0.5988024,0.22222222,0.29411766,0.85470086,0.2,0.8333333,0.23094688,2.6946108,2.0359282,0.37111112,0.75555557,0.49117646,1.3235294,0.26,1.1111112,0.43914437,0.45867097,0.34122288,0.1392405,0.5873016,0.49117646,0.75555557,0.37111112,1.4273504,2.905983,0.26,0.975,9.57,2.0,1.128,-0.29571578,-0.11494253,0.17450365,0.3552769,0.44722238,1.4266394,0.5742054,3.4945385,54.750626,5.416438,-62.426743,2.090525,1.4811554,1.411415,0.70850885,3.4945385,1.1,2.83,1,0.9833
2,SWITZERLAND - CHALLENGE LEAGUE,2024-04-08,09:15,Vaduz,Wil,2.35,3.6,2.65,1.55,2.3,1.47,2.5,2.0,1.3483998,0.6741999,0.82500625,0.4872893,0.59064925,0.31598315,0.13290276,0.4206008,2.7272727,1.7627927,0.6463573,1.4545455,1.0756508,0.73951,1.2727273,2.339033,1.8378115,0.44520745,0.12001838,1.4726037,4.710744,1.0205642,1.8512397,0.8451542,0.72727275,0.86243933,1.1858541,0.55437666,0.42451102,0.76574475,0.41304615,0.1330407,0.32209647,1.3636364,1.06794,0.78315604,1.8181819,1.1922616,0.65574384,-0.45454547,1.8272501,-4.0199504,0.3573688,0.10139931,1.6115702,0.9036415,2.644628,0.8196798,0.42553192,0.2777778,0.3773585,0.6451613,0.4347826,0.6802721,0.4,1.531915,1.1276596,0.6527778,0.7361111,0.8867925,1.3584906,0.43055555,0.6388889,0.17079799,0.21008404,0.06,0.152,0.39805827,0.8867925,0.7361111,0.6527778,1.516129,1.7096775,0.43055555,1.0544218,8.6,1.273,2.211,-0.14534883,-0.11046512,0.27325583,0.30813953,0.22763689,0.65255904,0.3337658,1.5984367,32.005383,1.0606601,-20.556046,1.6539543,1.5576074,1.0618557,0.94174755,1.5984367,0.95,1.25,1,0.8287
3,SCOTLAND - PREMIERSHIP,2024-04-08,09:30,Dundee Utd,Dundee FC,2.38,3.25,3.0,1.93,1.93,1.67,2.1,1.8181819,1.3360853,0.73484695,0.26126873,0.20208283,0.77346736,0.54346424,0.20853779,0.3837194,1.8181819,1.465865,0.8062258,0.8181818,0.9359664,1.1439589,1.0,1.8586408,1.8586408,0.7159528,0.08205263,1.2670673,3.3057852,0.8062258,1.1157025,0.6863753,0.8181818,1.1134044,1.3608277,0.73808604,0.57434285,0.77815163,0.37208113,0.075981975,0.20420809,1.3636364,1.1499192,0.84327406,2.4545455,1.9241828,0.7839263,-1.0909091,2.2745447,-2.0849993,0.2339168,0.09934167,1.4876033,1.0540925,7.5867767,0.62252975,0.42016807,0.30769232,0.33333334,0.5181347,0.5181347,0.5988024,0.47619048,1.3655462,1.2605042,0.7323077,0.9230769,0.79333335,1.0833334,0.59384614,0.59384614,0.13606395,0.1545293,0.11524164,0.04,0.25482625,0.79333335,0.9230769,0.7323077,1.2331606,1.5544041,0.59384614,1.1556886,8.63,1.0,2.449,-0.100811124,-0.028968714,0.27578217,0.34762457,0.15570839,0.44792113,0.22657722,1.0971782,23.50904,0.0,0.0,1.5938375,1.420168,1.122288,0.8910369,1.0971782,0.25,0.87,1,0.7379
4,RUSSIA - PREMIER LEAGUE,2024-04-08,09:30,CSKA Moscow,Orenburg,1.6,4.44,6.09,1.84,2.12,1.85,1.91,1.9090909,1.2398347,0.64943725,0.36243263,0.21537903,0.5942595,0.4219625,0.18190162,0.43108478,1.7272727,1.0523489,0.6092546,1.0,1.0444659,1.0444659,0.72727275,1.2128786,1.667708,0.53327346,0.094446935,1.1302731,2.5123968,0.7234898,0.6363636,1.6413037,0.45454547,0.4979296,1.0954452,0.39375103,0.39400548,1.0006462,0.515625,0.0885638,0.1717601,0.8181818,0.83319557,1.0183501,1.5454545,0.8907235,0.5763505,-0.72727275,0.74965554,-1.0307764,0.253019,0.066010855,1.4876033,0.45825756,2.107438,0.6531973,0.625,0.22522523,0.16420361,0.54347825,0.4716981,0.5405405,0.5235602,2.775,3.80625,0.36036035,1.3716216,0.26272577,0.72906405,0.4144144,0.4774775,0.6043676,0.47019866,0.5838752,0.15669516,0.41401273,0.26272577,1.3716216,0.36036035,0.8695652,3.3097825,0.4144144,0.9945946,12.13,1.455,1.738,-0.23413025,0.13602638,0.13190436,0.502061,0.56169754,2.2711303,0.6175899,5.563111,54.84582,0.3959798,-7.96961,2.0392036,1.1176108,1.8246098,0.5480624,5.563111,1.65,2.84,1,0.9883
5,SWEDEN - SUPERETTAN,2024-04-08,10:00,Oster,Brage,1.65,3.5,4.33,1.8,2.05,1.8,1.95,2.2727273,0.9620914,0.4233202,0.39382684,0.28292403,0.718397,0.44447166,0.2174348,0.48919833,2.0,1.2792042,0.6396021,0.36363637,0.4810457,1.3228756,1.6363636,1.5534552,0.9493337,0.635376,0.095085874,1.317688,2.909091,0.87945294,0.3305785,0.52915025,1.0,1.2792042,1.2792042,0.25847664,0.25087392,0.9705865,0.63905597,0.08498253,0.13298135,0.72727275,0.74965554,1.0307764,1.1818181,0.5749596,0.48650426,-0.45454547,1.0756508,-2.366432,0.3755462,0.07611844,1.0578512,0.5153882,1.3966942,0.48650426,0.6060606,0.2857143,0.23094688,0.5555556,0.4878049,0.5555556,0.51282054,2.121212,2.6242423,0.47142857,1.2371428,0.38106236,0.8083141,0.51428574,0.5857143,0.44206676,0.3592233,0.44816053,0.106002554,0.3207547,0.38106236,1.2371428,0.47142857,0.9166667,2.4055555,0.51428574,1.0,9.48,1.273,2.241,-0.19514768,0.08755274,0.17405063,0.45675105,0.43416753,1.3719693,0.46469688,3.360625,42.768826,0.35355338,-7.125016,2.0491288,1.2989012,1.5775862,0.6338798,3.360625,0.83,1.85,1,0.9598
6,AZERBAIJAN - PREMIER LEAGUE,2024-04-08,10:30,Sabah Baku,Shamakhi,1.5,4.1,5.5,1.78,1.93,1.85,1.75,2.090909,1.2398347,0.5929644,0.53637695,0.46974346,0.87577116,0.39118823,0.121722355,0.31116056,1.8181819,1.1922616,0.65574384,0.8181818,0.83319557,1.0183501,1.0,1.4142135,1.4142135,0.49463242,0.14604533,1.1564071,1.8181819,1.1922616,0.892562,0.7637626,0.36363637,0.4810457,1.3228756,0.44984916,0.4493404,0.998869,0.53548,0.07517117,0.1403809,0.72727275,0.74965554,1.0307764,1.7272727,0.86243933,0.499307,-1.0,0.9534626,-0.9534626,0.19212945,0.08176458,0.92561984,0.58901507,1.5702479,0.9486833,0.6666667,0.24390244,0.18181819,0.56179774,0.5181347,0.5405405,0.5714286,2.7333333,3.6666667,0.36585367,1.3414634,0.27272728,0.74545455,0.43414634,0.4707317,0.59161055,0.4642857,0.5714286,0.14583333,0.39455783,0.27272728,1.3414634,0.36585367,0.8426966,3.0898876,0.43414634,0.96216214,11.1,1.727,1.721,-0.23423423,0.12612613,0.13513513,0.4954955,0.54858875,2.0297782,0.59480494,4.971921,52.431408,0.21213204,-4.289153,2.1818182,1.2121212,1.8,0.5555556,4.971921,1.4,2.6,1,0.9884
7,BELGIUM - JUPILER PRO LEAGUE,2024-04-08,11:00,Cercle Brugge KSV,Kortrijk,1.65,3.9,4.5,1.67,2.15,1.7,2.05,1.2727273,1.1354542,0.8921426,0.4966945,0.3670533,0.7389921,0.39285234,0.19005466,0.48378137,1.8181819,1.4024771,0.7713624,1.1818181,0.7158189,0.6056929,0.6363636,1.7200807,2.702984,0.4889121,0.16437112,1.1535469,1.8181819,1.4024771,1.9338843,0.4374449,1.2727273,1.354515,1.0642618,0.5220381,0.7222458,1.3835117,0.5187877,0.12841335,0.24752581,0.8181818,0.83319557,1.0183501,1.6363636,1.4937888,0.91287094,-0.8181818,1.7999082,-2.1998878,0.20934857,0.110355094,0.59504133,1.145644,2.9752066,0.8215838,0.6060606,0.25641027,0.22222222,0.5988024,0.4651163,0.5882353,0.4878049,2.3636363,2.7272727,0.42307693,1.1538461,0.36666667,0.8666667,0.42820513,0.55128205,0.47971383,0.4054054,0.46341464,0.071428575,0.40035906,0.36666667,1.1538461,0.42307693,0.98802394,2.6946108,0.42820513,0.9823529,10.05,0.0,2.49,-0.2238806,0.05970149,0.1641791,0.4477612,0.44850683,1.5024979,0.50744325,3.6803532,48.36646,0.6788225,-13.495733,2.040404,1.2727273,1.6031746,0.62376237,3.6803532,0.6,2.25,1,0.9347
8,ROMANIA - LIGA 2,2024-04-08,11:00,Csikszereda M. Ciuc,Ceahlaul,2.3,3.15,3.05,2.3,1.55,2.0,1.72,2.090909,1.2398347,0.5929644,0.33110678,0.22590795,0.68228126,0.49174434,0.15248385,0.31008765,1.1818181,0.7158189,0.6056929,0.54545456,0.6555548,1.2018504,0.6363636,0.97912085,1.5386186,0.4671881,0.112132914,0.8245031,1.8264463,0.46317694,0.3966942,0.9013878,1.0,1.2792042,1.2792042,0.53873646,0.23939067,0.44435582,0.32198423,0.08277742,0.2570853,1.2727273,0.6165755,0.48445213,1.8181819,1.1922616,0.65574384,-0.54545456,1.4373989,-2.6352315,0.32652614,0.07678223,1.1570247,0.678233,3.966942,0.54645324,0.4347826,0.31746033,0.32786885,0.4347826,0.6451613,0.5,0.5813953,1.3695652,1.326087,0.73015875,0.96825397,0.75409836,1.0327868,0.73015875,0.4920635,0.14727221,0.1559633,0.14018692,0.016129032,0.1559633,0.75409836,0.96825397,0.73015875,1.0,1.326087,0.73015875,1.15,8.5,1.091,2.519,-0.1,-0.011764706,0.27058825,0.35882354,0.16396894,0.46457866,0.17173368,1.1379807,23.025492,1.0606601,20.556046,1.6322167,1.4183892,1.1507537,0.8689956,1.1379807,0.1,0.85,1,0.6778
9,MOLDOVA - SUPER LIGA,2024-04-08,12:00,Sheriff Tiraspol,Dacia Buiucani,1.04,11.0,36.0,1.3,3.2,2.75,1.4,2.1818182,1.1134044,0.51031035,0.33175424,0.29485774,0.8887836,0.4070181,0.20663834,0.50768834,2.0,0.8528029,0.42640144,0.90909094,0.7925271,0.8717798,1.0909091,1.2398347,1.1365151,0.69875467,0.21072358,1.3493774,4.909091,0.34743822,1.2396694,0.58118653,0.72727275,0.86243933,1.1858541,0.5180478,0.6008564,1.1598475,0.5907398,0.0296291,0.050155923,0.72727275,0.86243933,1.1858541,2.2727273,1.7627927,0.7756288,-1.5454545,2.2305171,-1.4432758,0.12614755,0.054276403,0.3305785,1.8973666,3.5123968,1.1406306,0.96153843,0.09090909,0.027777778,0.7692308,0.3125,0.36363637,0.71428573,10.576923,34.615383,0.094545454,3.2727273,0.028888889,0.30555555,0.11818182,0.29090908,1.183306,0.82724255,0.9438445,0.5319149,0.7886179,0.028888889,3.2727273,0.094545454,0.8,27.692308,0.11818182,0.47272727,48.04,1.455,1.976,-0.20732723,0.5203997,0.021648627,0.7493755,1.1247579,18.011122,1.3330739,44.11806,78.64582,2.6870058,-43.5312,2.912393,1.0448718,2.787321,0.35876742,44.11806,25.0,9.96,1,1.0
10,SERBIA - SUPER LIGA,2024-04-08,12:30,TSC,Sp. Subotica,1.37,4.3,8.25,1.78,1.98,2.02,1.7,2.3636363,1.06794,0.45182076,0.44763717,0.30000722,0.6702018,0.3787464,0.22735813,0.60029125,2.4545455,1.6713433,0.6809176,0.90909094,1.1642044,1.2806249,1.5454545,1.9708622,1.2752638,0.62675446,0.1888523,1.54065,5.578512,0.7353911,0.8264463,1.2806249,1.2727273,1.1354542,0.8921426,0.42800322,0.40635988,0.94943184,0.5120009,0.0916748,0.17905201,0.8181818,0.7158189,0.8748898,0.8181818,1.0285189,1.2570788,0.0,1.0444659,1.0,0.26577494,0.08474211,1.4876033,0.3937004,0.29752067,2.828427,0.729927,0.23255815,0.121212125,0.56179774,0.5050505,0.4950495,0.5882353,3.1386862,6.021898,0.31860465,1.9186046,0.16606061,0.5212121,0.41395348,0.4604651,0.7326023,0.51675487,0.7151767,0.31474105,0.41447368,0.16606061,1.9186046,0.31860465,0.7696629,4.6348314,0.41395348,0.8811881,13.92,1.091,2.203,-0.21048851,0.28376436,0.09841954,0.5926724,0.74409026,3.4525788,0.8053441,8.457056,55.682796,0.28284273,-5.710593,2.3109932,1.0935633,2.1132686,0.47320062,8.457056,3.95,2.93,1,0.9992
