Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,CAMEROON - ELITE ONE,07/01/2024,09:30,Yong Sports Academy,Stade Renard,2.32,2.77,3.15
2,CAMEROON - ELITE ONE,07/01/2024,11:30,Bamboutos FC,Dynamo Douala,2.05,3.1,3.35
3,NIGERIA - NPFL,07/01/2024,12:00,Enyimba,Sporting Lagos,1.25,4.85,12.5
4,NIGERIA - NPFL,07/01/2024,12:00,Niger Tornadoes,Heartland,1.39,3.95,8.5
5,NIGERIA - NPFL,07/01/2024,12:00,Remo Stars,Sunshine Stars,1.26,4.75,12.0
6,ITALY - SERIE C,07/01/2024,12:15,Cesena,Olbia,1.24,5.3,12.5
7,SENEGAL - LIGUE 1,07/01/2024,13:30,Guediawaye,Diambars,2.02,2.77,3.9
8,SENEGAL - LIGUE 1,07/01/2024,13:30,Ouakam,Sonacos,2.25,2.7,3.4
9,MOROCCO - BOTOLA PRO,07/01/2024,16:00,Olympique de Safi,Maghreb Fez,2.2,2.8,3.25
10,JAMAICA - PREMIER LEAGUE,07/01/2024,17:00,Montego Bay,Lime Hall Academy,1.65,3.6,4.9
