Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,27/11/2023,05:30,INDIA - I-LEAGUE,Delhi FC,Neroca FC,1.45,4.55,5.6,1.5,1.65,1.98,1.01,1.25,1.2,3.45,1.22
2,27/11/2023,09:00,INDONESIA - LIGA 1,Borneo,Persis Solo,1.45,4.4,5.7,1.5,1.65,2.0,1.02,1.26,1.14,3.45,1.22
3,27/11/2023,11:30,CAMEROON - ELITE ONE,Canon Yaounde,Fortuna Mfou,1.62,3.4,5.0,2.2,2.21,1.63,1.06,1.47,1.42,9.0,1.03
4,27/11/2023,11:30,INDIA - ISL,Goa,Jamshedpur,1.44,4.5,5.75,1.6,1.73,2.0,1.03,1.29,1.18,4.33,1.2
5,27/11/2023,13:00,ALBANIA - SUPERLIGA,Partizani,Dinamo Tirana,1.45,4.4,5.1,1.52,1.59,2.29,1.01,1.24,1.15,3.48,1.24
6,27/11/2023,14:00,SERBIA - PRVA LIGA,Kolubara,Sloboda,1.73,3.32,4.71,2.31,2.12,1.69,1.06,1.49,1.41,9.0,1.03
7,27/11/2023,15:00,SWEDEN - ALLSVENSKAN,Brommapojkarna,Utsikten,1.36,5.0,6.0,1.53,1.8,1.95,1.02,1.25,1.17,4.0,1.22
8,27/11/2023,16:00,NETHERLANDS - EERSTE DIVISIE,FC Emmen,Jong PSV,1.33,5.5,8.0,1.44,1.73,2.0,1.02,1.22,1.13,3.4,1.3
9,27/11/2023,16:00,NETHERLANDS - EERSTE DIVISIE,Eindhoven FC,Oss,1.6,3.8,6.0,1.88,1.83,1.83,1.05,1.36,1.25,6.0,1.13
10,27/11/2023,16:00,NETHERLANDS - EERSTE DIVISIE,Den Haag,Jong Utrecht,1.36,5.25,8.0,1.53,1.8,1.91,1.03,1.25,1.17,4.0,1.22
11,27/11/2023,16:45,ITALY - SERIE C,Benevento,Monterosi,1.4,4.35,7.3,1.83,2.1,1.65,1.05,1.38,1.27,5.1,1.13
12,27/11/2023,17:00,SPAIN - LALIGA2,Gijon,Eldense,1.7,3.6,5.5,2.08,2.0,1.73,1.06,1.4,1.33,8.0,1.08
13,27/11/2023,21:00,BOLIVIA - DIVISION PROFESIONAL,Oriente Petrolero,Vaca Diez,1.5,4.33,6.5,1.67,1.83,1.83,1.03,1.33,1.2,5.0,1.17
14,27/11/2023,21:30,JAMAICA - PREMIER LEAGUE,Portmore,Tivoli,1.7,3.5,4.65,2.0,1.93,1.7,1.04,1.44,1.35,7.6,1.05
