,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
1,SOUTH KOREA - K LEAGUE 2,24/09/2023,01:30,Gimpo FC,Asan,2.3,3.2,3.2,2.5,1.5,2.2,1.62,1.2,1.2489996,0.885,0.8,1.1661904,1.025,0.4347826,0.3125,0.3125,0.4,0.6666667,0.16317849,0.4,2.415,1,0.5009
2,SOUTH KOREA - K LEAGUE 2,24/09/2023,04:00,Seoul E-Land,Ansan Greeners,1.85,3.6,4.0,1.95,1.85,1.8,1.91,1.3,1.4177446,0.631,0.7,0.9,0.912,0.5405405,0.2777778,0.25,0.51282054,0.5405405,0.3676066,0.6,2.318,1,0.5048
3,SOUTH KOREA - K LEAGUE 1,24/09/2023,04:30,Gangwon,Incheon,2.63,3.25,2.63,2.15,1.67,1.83,1.83,0.8,0.8717798,0.4,2.1,1.1357816,0.555,0.38022813,0.30769232,0.38022813,0.4651163,0.5988024,0.09603641,-1.3,2.008,1,0.508
4,SOUTH KOREA - K LEAGUE 2,24/09/2023,06:30,Bucheon FC 1995,Gyeongnam,2.7,3.2,2.6,2.05,1.75,1.8,1.91,2.1,1.1357816,1.144,1.9,1.1357816,0.931,0.37037036,0.3125,0.3846154,0.4878049,0.5714286,0.08764047,0.2,2.272,1,0.5088
5,SPAIN - PRIMERA RFEF,24/09/2023,07:00,Baleares,Ceuta,2.6,3.0,2.7,2.35,1.57,2.0,1.73,1.5,1.2845232,0.685,1.7,1.1,0.677,0.3846154,0.33333334,0.37037036,0.42553192,0.6369427,0.05958014,-0.2,2.385,1,0.6905
6,SPAIN - PRIMERA RFEF,24/09/2023,07:00,Melilla,Algeciras,2.7,3.0,2.6,2.4,1.53,2.1,1.67,1.9,1.1357816,0.752,1.1,1.3,1.055,0.37037036,0.33333334,0.3846154,0.41666666,0.6535948,0.05958014,0.8,2.436,1,0.7232
7,SPAIN - PRIMERA RFEF,24/09/2023,07:00,R. Union,Teruel,1.65,3.3,5.5,2.15,1.67,2.2,1.62,1.9,1.3747727,0.589,1.2,0.9797959,1.209,0.6060606,0.3030303,0.18181819,0.4651163,0.5988024,0.4906534,0.7,2.355,1,0.815
8,SPAIN - PRIMERA RFEF,24/09/2023,07:00,SD Logrones,Rayo Majadahonda,1.65,3.3,5.25,2.15,1.67,2.1,1.67,1.6,1.2,0.859,0.6,0.9165151,1.415,0.6060606,0.3030303,0.1904762,0.4651163,0.5988024,0.47882822,1.0,2.117,1,0.7938
9,POLAND - EKSTRAKLASA,24/09/2023,07:30,Zaglebie,Warta Poznan,2.1,3.25,3.5,2.1,1.7,1.91,1.91,1.7,1.3453624,0.901,0.5,0.92195445,1.144,0.47619048,0.30769232,0.2857143,0.47619048,0.5882353,0.23864728,1.2,2.267,1,0.6071
10,POLAND - DIVISION 1,24/09/2023,07:40,Wisla Plock,Tychy,1.91,3.5,3.5,1.73,2.08,1.67,2.1,1.3,1.1874342,0.668,1.5,1.5,0.802,0.5235602,0.2857143,0.2857143,0.5780347,0.48076922,0.30718574,-0.2,2.687,1,0.677
11,SWEDEN - SUPERETTAN,24/09/2023,08:00,Utsikten,Trelleborg,1.7,3.75,4.75,1.85,2.0,1.8,1.95,2.5,1.024695,0.552,1.0,1.0954452,0.723,0.5882353,0.26666668,0.21052632,0.5405405,0.5,0.46856424,1.5,2.12,1,0.513
12,BELGIUM - JUPILER PRO LEAGUE,24/09/2023,08:30,Genk,St. Truiden,1.55,4.33,5.25,1.67,2.15,1.8,1.95,1.6,1.2,0.861,0.9,1.1357816,0.687,0.6451613,0.23094688,0.1904762,0.5988024,0.4651163,0.5779204,0.7,2.336,1,0.801
13,CHINA - SUPER LEAGUE,24/09/2023,08:35,Qingdao Hainiu,Nantong Zhiyun,1.95,3.75,3.6,1.83,2.03,1.75,2.0,1.4,1.356466,0.928,0.8,0.8717798,0.797,0.51282054,0.26666668,0.2777778,0.5464481,0.49261084,0.3220852,0.6,2.228,1,0.8386
14,ITALY - SERIE C,24/09/2023,09:00,Pro Patria,Triestina,3.3,3.05,2.22,2.25,1.6,1.93,1.78,0.7,0.9,0.941,1.8,1.2489996,1.034,0.3030303,0.32786885,0.45045045,0.44444445,0.625,0.17878443,-1.1,2.149,1,0.6
15,ITALY - SERIE C,24/09/2023,09:00,Pro Patria,Triestina,3.3,3.05,2.22,2.25,1.6,1.93,1.78,0.7,0.9,0.941,1.8,1.2489996,1.034,0.3030303,0.32786885,0.45045045,0.44444445,0.625,0.17878443,-1.1,2.149,1,0.6
