Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SOUTH KOREA - K LEAGUE 1,23/09/2023,04:30,Jeju Utd,Seoul,2.63,3.4,2.55
2,ROMANIA - LIGA 2,23/09/2023,05:00,Tunari,Csikszereda M. Ciuc,2.8,3.35,2.35
3,CHINA - SUPER LEAGUE,23/09/2023,06:30,Dalian Pro,Shandong Taishan,7.0,4.33,1.44
4,GEORGIA - CRYSTALBET EROVNULI LIGA,23/09/2023,08:30,Shukura,Torpedo Kutaisi,5.9,4.6,1.38
5,NETHERLANDS - TWEEDE DIVISIE,23/09/2023,09:30,Noordwijk,Hardenberg,3.2,3.65,2.0
6,UZBEKISTAN - SUPER LEAGUE,23/09/2023,10:00,Andijan,Navbahor Namangan,4.35,2.92,1.93
7,NORWAY - OBOS-LIGAEN,23/09/2023,10:00,Ranheim,Fredrikstad,4.33,4.0,1.75
8,SWEDEN - SUPERETTAN,23/09/2023,10:00,Gefle,GAIS,5.5,4.2,1.5
9,SAN MARINO - CAMPIONATO SAMMARINESE,23/09/2023,10:00,Libertas,Murata,4.1,4.05,1.62
10,NORTHERN IRELAND - NIFL PREMIERSHIP,23/09/2023,11:00,Loughgall,Linfield,5.9,4.4,1.47
11,PORTUGAL - TAÇA DE PORTUGAL,23/09/2023,11:00,Louletano,AVS,9.0,6.0,1.2
12,MONTENEGRO - PRVA CRNOGORSKA LIGA,23/09/2023,11:00,Arsenal Tivat,Decic,3.65,2.95,2.1
13,AUSTRIA - BUNDESLIGA,23/09/2023,12:00,Tirol,Wolfsberger AC,3.0,3.4,2.4
14,SWITZERLAND - CHALLENGE LEAGUE,23/09/2023,13:00,Baden,Stade Nyonnais,3.15,3.75,2.02
15,MOLDOVA - SUPER LIGA,23/09/2023,13:00,Balti,Petrocub,3.65,3.0,2.0
16,QATAR - QSL,23/09/2023,14:00,Qatar SC,Al-Sadd,5.4,4.45,1.5
17,AUSTRIA - 2. LIGA,23/09/2023,15:00,Bregenz,Ried,3.85,3.6,1.85
18,MALTA - PREMIER LEAGUE,23/09/2023,15:15,Naxxar,Hamrun,19.0,7.5,1.11
19,CANADA - CANADIAN PREMIER LEAGUE,23/09/2023,17:00,Vancouver FC,HFX Wanderers,4.6,4.0,1.65
