,Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_D,Odd_Under25,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_CS_0x0_Lay,Odd_CS_0x1_Lay,Odd_CS_1x0_Lay,IDMercado_Correct_Score,VAR62,VAR63,VAR64,VAR65,VAR43,VAR44,VAR45,prediction_label,prediction_score
1,2024-04-06,21:30:00,ARGENTINA - COPA DE LA LIGA PROFESIONAL,Union de Santa Fe,Belgrano,1.88,5.7,3.3,1.56,2.74,2.32,1.69,8.6,14.5,6.0,1.2266784,1.2703291,0.8912793,1.4252874,0.7016129,1.7711833,1.0582306,1.6737213,1,1.0
2,2024-04-06,21:30:00,USA - MLS,Minnesota United,Real Salt Lake,2.64,2.88,3.5,1.94,2.02,1.77,2.16,13.5,12.0,11.5,1.2269623,1.8323708,1.5367162,1.1923938,0.83864915,1.4835858,1.4204545,1.0444444,1,1.0
3,2024-04-06,21:30:00,USA - MLS,Austin FC,San Jose Earthquakes,2.02,4.2,3.4,1.67,2.4,1.03,1.01,10.5,13.0,7.6,1.2269629,1.4880953,1.1309524,1.3157895,0.76,1.7232437,1.2093352,1.4249513,1,1.0
4,2024-04-06,21:30:00,USA - MLS,Nashville SC,Philadelphia Union,2.78,2.92,3.2,1.61,2.54,2.14,1.64,9.0,9.4,10.0,1.2269627,1.5235682,1.421098,1.0721062,0.9327434,1.4216025,1.3871095,1.0248668,1,1.0
5,2024-04-06,21:30:00,USA - MLS,St. Louis City,FC Dallas,1.7,5.6,4.0,1.88,2.06,2.04,1.78,13.0,18.0,8.0,1.2269624,1.6348821,1.0211512,1.6010187,0.6246023,1.9432774,1.1239495,1.728972,1,1.0
6,2024-04-06,21:30:00,VENEZUELA - LIGA FUTVE,La Guaira,Portuguesa,2.22,4.5,2.82,1.3,4.1,2.9,1.43,5.5,10.5,5.4,1.2271501,0.95392954,0.91056913,1.0476191,0.95454544,1.5735736,1.1171172,1.4086021,1,1.0
7,2024-04-06,21:30:00,PERU - LIGA 1,Cienciano,Cajamarca,1.47,7.0,4.1,1.71,1.99,1.61,1.62,14.0,27.0,7.6,1.2270042,1.6503948,0.931084,1.772552,0.5641583,2.1836734,1.1088436,1.9693252,1,1.0
8,2024-04-06,21:30:00,ARGENTINA - COPA DE LA LIGA PROFESIONAL,Talleres Cordoba,Ind. Rivadavia,1.59,6.6,4.2,2.0,1.96,2.02,1.91,15.5,24.0,8.2,1.2266773,1.6821274,0.9647495,1.7435898,0.5735294,2.0383077,1.0834763,1.8812665,1,1.0
9,2024-04-06,22:00:00,MEXICO - LIGA MX,U.A.N.L.- Tigres,Pachuca,2.66,2.7,3.75,2.34,1.72,1.63,2.5,18.5,14.5,14.5,1.2266381,2.1145563,1.6925064,1.2493639,0.80040735,1.4981899,1.487051,1.0074906,1,1.0
10,2024-04-06,22:05:00,MEXICO - LIGA MX,Guadalajara Chivas,Puebla,1.36,9.6,5.9,2.8,1.53,1.85,2.1,27.0,40.0,11.5,1.2266382,2.064951,0.9660948,2.1374207,0.4678536,2.310049,1.0477941,2.2046783,1,1.0
11,2024-04-06,22:20:00,COLOMBIA - PRIMERA A,America De Cali,Junior,1.52,7.4,4.6,1.92,2.02,2.18,1.83,15.5,21.0,7.8,1.2269605,1.6202836,0.90045494,1.7994057,0.55573905,2.1088192,1.0633001,1.9832776,1,1.0
12,2024-04-06,23:30:00,USA - MLS,Seattle Sounders,CF Montreal,1.67,5.9,4.1,2.08,1.88,1.9,2.02,15.0,21.0,8.8,1.2269628,1.7652363,1.0403894,1.6967071,0.5893769,1.9658988,1.1072769,1.7754353,1,1.0
