Nº,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,28/10/2024,10:15,UZBEKISTAN - SUPER LEAGUE,Din. Samarkand,Nasaf Qarshi,5.7,3.55,1.57,1.98,2.0,1.65
2,28/10/2024,12:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Telavi,Dila Gori,4.65,3.15,1.72,2.15,2.09,1.71
3,28/10/2024,12:30,RUSSIA - PREMIER LEAGUE,Krylya Sovetov,Krasnodar,4.35,3.89,1.89,1.95,1.78,1.99
4,28/10/2024,13:00,BAHRAIN - PREMIER LEAGUE,Manama Club,Al Riffa,5.3,3.65,1.62,1.9,1.88,1.83
5,28/10/2024,19:00,BRAZIL - SERIE B,Ituano,Santos,4.1,3.5,1.85,2.1,1.91,1.8
