,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,PHILIPPINES - PFL,05/05/2024,04:00,Kaya,Cebu FC,1.67,4.0,3.75
2,ANDORRA - PRIMERA DIVISIÓ,05/05/2024,06:00,Ordino,Atletic America,1.36,4.55,6.4
3,PHILIPPINES - PFL,05/05/2024,06:30,Stallion,Taguig,1.44,4.5,5.0
4,THAILAND - THAI LEAGUE 1,05/05/2024,09:00,Prachuap,Lamphun Warrior,2.07,3.3,3.4
5,PHILIPPINES - PFL,05/05/2024,09:00,Maharlika,Philippine Air Force,2.25,3.75,2.5
6,FINLAND - YKKONEN,05/05/2024,10:00,OLS Oulu,Jazz Pori,2.0,3.8,2.9
7,UZBEKISTAN - SUPER LEAGUE,05/05/2024,10:00,Navbahor Namangan,Lok. Tashkent,1.8,3.25,4.45
8,NIGERIA - NPFL,05/05/2024,11:00,Remo Stars,Rivers United,1.45,3.5,8.5
9,PORTUGAL - LIGA PORTUGAL,05/05/2024,11:30,SC Farense,Estoril,2.45,2.9,3.3
10,SPAIN - PRIMERA RFEF,05/05/2024,14:00,Arenteiro,Lugo,2.25,2.88,3.1
11,BRAZIL - BRASILEIRO WOMEN,05/05/2024,15:00,Sao Paulo W,Atletico-MG W,1.12,6.2,17.0
