,Entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,N1,N2,N3
1,OVER2_5,23/03/2024,12:00,SCOTLAND - CHAMPIONSHIP,Ayr,Queen's Park,2.1,3.4,2.88,1.8,2.0,1.67,2.1,A,A,H
2,OVER2_5,23/03/2024,12:00,SCOTLAND - LEAGUE TWO,East Fife,Stranraer,1.85,3.1,4.2,1.98,1.88,1.8,1.91,A,H,A
3,OVER2_5,23/03/2024,12:00,SCOTLAND - LEAGUE ONE,Alloa,Queen of South,1.85,3.4,3.6,1.7,2.1,1.62,2.2,D,H,H
4,OVER2_5,23/03/2024,12:00,SCOTLAND - LEAGUE ONE,Annan,Kelty Hearts,2.15,3.5,2.8,1.6,2.3,1.53,2.38,D,H,H
5,BTTS Sim,23/03/2024,12:00,SCOTLAND - LEAGUE TWO,Dumbarton,Bonnyrigg Rose,1.62,3.6,5.0,1.78,2.1,1.8,1.91,A,H,A
6,BTTS Sim,23/03/2024,16:00,NETHERLANDS - EERSTE DIVISIE,MVV Maastricht,Den Bosch,1.95,3.8,3.5,1.6,2.3,1.57,2.25,H,A,A
7,BTTS Sim,23/03/2024,20:30,USA - MLS,FC Cincinnati,New York City,1.85,3.6,4.0,1.98,1.88,1.8,1.95,A,H,H
8,BTTS Sim,23/03/2024,20:30,USA - MLS,Toronto FC,Atlanta Utd,2.2,3.6,3.0,1.67,2.15,1.57,2.25,A,H,H
9,OVER2_5,23/03/2024,20:30,USA - MLS,Orlando City,Austin FC,1.57,4.0,6.0,1.67,2.15,1.75,2.0,A,H,H
10,OVER2_5,23/03/2024,20:30,USA - MLS,Vancouver Whitecaps,Real Salt Lake,1.83,3.6,4.33,1.7,2.1,1.67,2.1,A,H,H
