Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
9,10/08/2024,05:00,ROMANIA - LIGA 2,CSM Resita,CSC Dumbravita,1.6,3.55,5.9,2.0,1.98,1.75,1.07,1.4,1.33,5.7,1.11
32,10/08/2024,07:00,PORTUGAL - LIGA PORTUGAL 2,Maritimo,Tondela,1.65,3.7,5.25,2.1,2.1,1.67,1.06,1.44,1.33,8.0,1.08
31,10/08/2024,07:00,SOUTH KOREA - K LEAGUE 1,Ulsan HD,Daegu,1.67,3.9,4.75,1.8,1.73,2.0,1.04,1.33,1.22,5.5,1.14
30,10/08/2024,09:00,CHINA - SUPER LEAGUE,Shanghai Shenhua,Nantong Zhiyun,1.09,11.0,21.0,1.4,2.63,1.44,1.02,1.2,1.11,3.25,1.33
25,10/08/2024,11:00,SCOTLAND - PREMIERSHIP,Rangers,Motherwell,1.2,7.0,11.0,1.4,1.91,1.91,1.02,1.2,1.11,3.4,1.33
27,10/08/2024,11:00,SCOTLAND - LEAGUE TWO,Spartans,Bonnyrigg Rose,1.6,4.2,4.33,1.73,1.8,1.91,1.03,1.33,1.22,4.5,1.17
26,10/08/2024,11:00,SCOTLAND - LEAGUE TWO,Clyde,Stranraer,1.57,4.5,4.1,1.75,1.83,1.83,1.03,1.36,1.25,5.0,1.14
29,10/08/2024,11:00,ENGLAND - LEAGUE TWO,Doncaster,Accrington,1.5,4.1,5.75,1.67,1.8,1.91,1.03,1.33,1.2,5.0,1.17
28,10/08/2024,11:00,ENGLAND - LEAGUE TWO,Walsall,Morecambe,1.65,4.0,4.75,1.7,1.73,2.0,1.04,1.33,1.22,5.0,1.17
24,10/08/2024,11:30,RUSSIA - PREMIER LEAGUE,Zenit,Dynamo Moscow,1.55,4.76,6.29,1.5,1.66,2.16,1.02,1.28,1.13,3.8,1.22
23,10/08/2024,11:30,NETHERLANDS - EERSTE DIVISIE,Den Haag,Venlo,1.67,4.1,4.5,1.57,1.62,2.2,1.03,1.29,1.17,4.33,1.2
22,10/08/2024,13:00,SLOVAKIA - NIKE LIGA,Zilina,Michalovce,1.44,4.45,6.7,1.6,1.75,1.98,1.04,1.31,1.19,4.05,1.22
20,10/08/2024,13:30,ENGLAND - LEAGUE ONE,Stockport County,Cambridge Utd,1.62,3.75,5.5,1.95,1.95,1.8,1.06,1.4,1.29,6.5,1.11
21,10/08/2024,13:30,ENGLAND - LEAGUE ONE,Birmingham,Reading,1.53,4.2,5.25,1.75,1.91,1.91,1.04,1.33,1.22,5.5,1.14
33,10/08/2024,14:30,AUSTRIA - BUNDESLIGA,Salzburg,BW Linz,1.25,6.25,9.5,1.53,2.0,1.75,1.02,1.25,1.17,4.0,1.22
19,10/08/2024,14:30,ECUADOR - LIGA PRO,U. Catolica,Libertad,1.3,4.75,10.0,1.7,2.2,1.62,1.04,1.33,1.2,5.0,1.17
18,10/08/2024,15:00,SERBIA - SUPER LIGA,Crvena zvezda,Novi Pazar,1.12,7.7,18.0,1.36,2.3,1.55,1.02,1.22,1.11,2.85,1.37
8,10/08/2024,15:00,SERBIA - SUPER LIGA,Mladost,Tekstilac Odzaci,1.47,4.25,6.1,1.78,1.93,1.78,1.05,1.37,1.26,4.9,1.14
2,10/08/2024,15:15,POLAND - EKSTRAKLASA,Pogon Szczecin,Stal Mielec,1.38,6.0,5.75,1.53,1.8,1.95,1.02,1.29,1.17,4.0,1.22
4,10/08/2024,16:00,BRAZIL - SERIE A,Fortaleza,Criciuma,1.67,3.6,6.0,2.1,2.0,1.75,1.07,1.44,1.36,8.0,1.08
