,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,QATAR - QSL,24/04/2024,12:30,Al Arabi,Al Markhiya,1.7,4.1,4.1
2,POLAND - DIVISION 1,24/04/2024,13:00,Wisla Plock,Legnica,2.15,3.3,3.0
3,SOUTH AMERICA - COPA SUDAMERICANA,24/04/2024,19:00,Coquimbo (Chi),Racing Club (Arg),4.2,3.5,1.91
4,SOUTH AMERICA - COPA LIBERTADORES,24/04/2024,19:00,Botafogo RJ (Bra),U. de Deportes (Per),1.44,4.3,8.25
5,SOUTH AMERICA - COPA LIBERTADORES,24/04/2024,19:00,Huachipato (Chi),The Strongest (Bol),1.65,3.9,5.2
6,SOUTH AMERICA - COPA LIBERTADORES,24/04/2024,19:00,Nacional (Uru),Dep. Tachira (Ven),1.34,5.1,9.25
7,SOUTH AMERICA - COPA SUDAMERICANA,24/04/2024,21:00,Bragantino (Bra),Sp. Luqueno (Par),1.33,5.0,10.0
8,SOUTH AMERICA - COPA LIBERTADORES,24/04/2024,21:30,Libertad Asuncion (Par),River Plate (Arg),3.5,3.5,2.1
9,SOUTH AMERICA - COPA SUDAMERICANA,24/04/2024,21:30,Tomayapo (Bol),Belgrano (Arg),5.75,3.6,1.67
10,SOUTH AMERICA - COPA SUDAMERICANA,24/04/2024,23:00,Rayo Zuliano (Ven),Ameliano (Par),3.4,3.25,2.25
