,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
1,INDONESIA - LIGA 1,12/08/2023,05:00,Persebaya,Persita,2.11,3.36,3.25,1.93,1.85,1.72,2.07,1.8,1.2489996,0.802,1.0,1.0954452,0.582,0.47393364,0.29761904,0.30769232,0.5181347,0.5405405,0.22472896,0.8,2.344,1,0.5028
2,ROMANIA - LIGA 2,12/08/2023,05:00,Selimbar,Unirea Dej,2.23,3.04,3.31,2.38,1.57,1.97,1.79,0.9,0.83066237,0.746,1.2,0.9797959,1.087,0.44843048,0.32894737,0.3021148,0.42016807,0.6369427,0.17674932,-0.3,1.81,1,0.5264
3,ROMANIA - LIGA 2,12/08/2023,05:00,Unirea Slobozia,Viitorul Tg. Jiu,1.54,3.86,5.84,1.89,1.89,1.91,1.85,1.1,1.0440307,0.861,1.1,1.3,0.739,0.64935064,0.25906736,0.17123288,0.52910054,0.52910054,0.5774126,0.0,2.344,1,0.6036
4,SINGAPORE - PREMIER LEAGUE,12/08/2023,07:00,Young Lions,DPMM,4.5,5.0,1.45,1.22,4.2,1.33,3.19,0.5,0.92195445,0.78,0.875,1.2686114,1.186,0.22222222,0.2,0.6896552,0.8196721,0.23809524,0.6091594,-0.375,2.191,1,0.5226
5,SINGAPORE - PREMIER LEAGUE,12/08/2023,07:00,Geylang,Balestier Khalsa,2.05,4.0,2.6,1.25,4.0,1.21,4.19,1.4,1.356466,0.362,2.1,1.3747727,0.662,0.4878049,0.25,0.3846154,0.8,0.25,0.26023835,-0.7,2.731,1,0.5139
6,SWEDEN - SUPERETTAN,12/08/2023,08:00,Brage,GAIS,3.3,3.6,2.0,1.75,2.05,1.67,2.1,1.7,1.3453624,0.859,1.3,1.1874342,0.906,0.3030303,0.2777778,0.5,0.5714286,0.4878049,0.27574053,0.4,2.533,1,0.7117
7,CHINA - SUPER LEAGUE,12/08/2023,08:35,Changchun Yatai,Chengdu Rongcheng,3.75,3.5,2.0,1.7,2.1,1.62,2.2,1.5,1.2845232,0.65,1.3,1.1874342,0.735,0.26666668,0.2857143,0.5,0.5882353,0.47619048,0.30157617,0.2,2.472,1,0.856
8,INDONESIA - LIGA 1,12/08/2023,09:00,Persik Kediri,Persis Solo,2.22,3.54,2.88,1.68,2.16,1.54,2.41,2.3,1.1,0.563,1.2,1.2489996,0.528,0.45045045,0.28248587,0.3472222,0.5952381,0.46296296,0.19210747,1.1,2.349,1,0.501
9,RUSSIA - PREMIER LEAGUE,12/08/2023,09:00,Lokomotiv Moscow,Krylya Sovetov,2.06,3.98,3.58,1.66,2.42,1.53,2.43,1.5,1.5,0.538,0.6,1.2,0.75,0.4854369,0.2512563,0.2793296,0.60240966,0.41322315,0.3082838,0.9,2.7,1,0.5909
10,POLAND - DIVISION 1,12/08/2023,10:00,Odra Opole,Podbeskidzie,2.4,3.2,2.6,1.95,1.9,1.73,2.0,1.5,1.2845232,0.538,0.9,0.83066237,0.644,0.41666666,0.3125,0.3846154,0.51282054,0.5263158,0.11733458,0.6,2.115,1,0.8343
11,PORTUGAL - LIGA PORTUGAL 2,12/08/2023,10:00,Nacional,Maritimo,2.6,3.25,2.38,2.05,1.75,1.8,1.91,1.6,1.4282857,1.05,0.9,1.1357816,0.651,0.3846154,0.30769232,0.42016807,0.4878049,0.5714286,0.12658788,0.7,2.564,1,0.8846
12,SWEDEN - SUPERETTAN,12/08/2023,10:00,Utsikten,Landskrona,1.83,3.8,3.75,1.83,2.03,1.75,2.0,2.2,1.2489996,0.558,0.6,0.9165151,1.149,0.5464481,0.2631579,0.26666668,0.5464481,0.49261084,0.36995733,1.6,2.166,1,0.5544
13,SWEDEN - SUPERETTAN,12/08/2023,10:00,Ostersund,AFC Eskilstuna,1.85,3.5,4.0,1.95,1.9,1.75,2.0,2.0,1.264911,0.501,0.9,1.1357816,1.377,0.5405405,0.2857143,0.25,0.51282054,0.5263158,0.36060727,1.1,2.401,1,0.6793
14,SWEDEN - ALLSVENSKAN,12/08/2023,10:00,AIK,Brommapojkarna,1.62,4.0,5.5,1.8,2.0,1.8,1.95,0.9,1.1357816,0.786,1.8,1.4696939,0.513,0.61728394,0.25,0.18181819,0.5555556,0.5,0.54688597,-0.9,2.605,1,0.7325
15,FINLAND - YKKONEN,12/08/2023,10:00,KPV Kokkola,SJK Akatemia,2.3,3.4,2.7,1.65,2.2,1.53,2.38,0.9,1.1357816,0.861,1.6,1.4282857,0.663,0.4347826,0.29411766,0.37037036,0.6060606,0.45454547,0.15690587,-0.7,2.564,1,0.6797
16,SCOTLAND - LEAGUE ONE,12/08/2023,11:00,Alloa,Stirling,2.1,3.5,3.0,1.7,2.1,1.62,2.2,1.4,1.356466,0.772,1.7,1.1,0.671,0.47619048,0.2857143,0.33333334,0.5882353,0.47619048,0.2216965,-0.3,2.456,1,1.0
17,NORTHERN IRELAND - NIFL CHAMPIONSHIP,12/08/2023,11:00,Dundela,Ballyclare,2.02,3.68,3.2,1.59,2.33,1.49,2.54,1.0,1.3416408,0.697,1.0,1.0954452,0.727,0.4950495,0.27173913,0.3125,0.6289308,0.42918456,0.26989618,0.0,2.437,1,0.5038
