Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,NIGERIA - NPFL,20/01/2024,11:00,Doma United,Rivers United,1.72,3.2,5.0
2,NORTHERN IRELAND - NIFL PREMIERSHIP,20/01/2024,12:00,Cliftonville,Ballymena,1.17,6.4,14.0
3,SPAIN - PRIMERA RFEF,20/01/2024,12:00,Cultural Leonesa,Fuenlabrada,1.6,3.1,6.0
4,ENGLAND - LEAGUE TWO,20/01/2024,12:00,Bradford City,Doncaster,1.73,3.75,5.0
5,ITALY - SERIE C,20/01/2024,14:30,Padova,Alessandria,1.26,5.0,11.75
6,SPAIN - PRIMERA RFEF,20/01/2024,16:00,Teruel,Cornella,2.0,2.88,3.75
7,ITALY - SERIE C,20/01/2024,16:45,Crotone,Virtus Francavilla,1.6,3.6,5.5
8,SPAIN - LALIGA2,20/01/2024,17:00,Ferrol,R. Oviedo,2.45,3.0,3.2
9,COSTA RICA - PRIMERA DIVISION,20/01/2024,18:00,Guanacasteca,AD Santos,1.62,3.5,4.75
10,COLOMBIA - PRIMERA A,20/01/2024,18:00,Once Caldas,Chico,2.05,3.3,3.75
11,MEXICO - LIGA MX,20/01/2024,22:05,Club America,Queretaro,1.4,4.75,7.5
12,PANAMA - LPF,20/01/2024,22:30,Miguelito,Arabe Unido,2.22,2.9,3.35
