,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SOUTH KOREA - K LEAGUE 1,12/05/2024,04:30,Pohang,Jeju Utd,1.75,3.6,4.5
2,PHILIPPINES - PFL,12/05/2024,05:00,Mendiola FC 1991,Philippine Army,1.11,9.0,13.0
3,MONGOLIA - PREMIER LEAGUE,12/05/2024,05:15,Tuv Azarganuud,Khaan Khuns-Erchim,1.97,5.25,2.49
4,HONG KONG - PREMIER LEAGUE,12/05/2024,05:30,Hong Kong FC,North District,3.1,3.9,1.95
5,ANDORRA - PRIMERA DIVISIÓ,12/05/2024,06:00,Atletic America,Pas de la Casa,3.9,3.65,1.72
6,ANDORRA - PRIMERA DIVISIÓ,12/05/2024,06:00,Esperanca,Ordino,,,
7,SPAIN - SEGUNDA RFEF,12/05/2024,06:30,Getafe B,Marbella,2.22,2.95,3.35
8,PHILIPPINES - PFL,12/05/2024,06:30,Cebu FC,One Taguig,1.5,5.0,4.0
9,SPAIN - SEGUNDA RFEF,12/05/2024,07:00,Formentera,Izarra,,,
10,SPAIN - SEGUNDA RFEF,12/05/2024,07:00,Atl. Paso,Barakaldo,2.5,3.05,2.75
11,SPAIN - PRIMERA RFEF,12/05/2024,07:00,Baleares,Linares,4.2,3.3,1.73
12,FINLAND - YKKONEN,12/05/2024,07:00,Vaajakoski,OLS Oulu,4.0,4.33,1.57
13,SPAIN - SEGUNDA RFEF,12/05/2024,07:00,Ciudad Real,Real Aviles,2.27,3.05,3.15
14,PHILIPPINES - PFL,12/05/2024,08:00,Davao Aguilas,Stallion,5.0,5.5,1.36
15,MONGOLIA - PREMIER LEAGUE,12/05/2024,08:15,FC Ulaanbaatar,Falcons,2.52,3.85,2.2
16,ESTONIA - MEISTRILIIGA,12/05/2024,08:30,Levadia,Kalju,1.45,4.2,5.5
17,CHINA - SUPER LEAGUE,12/05/2024,09:00,Shenzhen Xinpengcheng,Qingdao West Coast,2.0,3.4,3.75
18,VIETNAM - V.LEAGUE 1,12/05/2024,09:15,Cong An,Khanh Hoa,1.34,4.65,7.7
19,ALBANIA - SUPERLIGA,12/05/2024,10:00,Flamurtari,Korabi Peshkopi,,,
20,ALBANIA - SUPERLIGA,12/05/2024,10:00,Vora,Apolonia Fier,,,
21,NIGERIA - NPFL,12/05/2024,12:00,Remo Stars,Kano Pillars,,,
22,NORTH MACEDONIA - 1. MFL,12/05/2024,12:00,Shkendija,Struga,1.78,3.3,4.1
23,NORTH MACEDONIA - 1. MFL,12/05/2024,12:00,Shkupi,Brera Strumica,1.55,3.65,5.2
24,SPAIN - SEGUNDA RFEF,12/05/2024,12:00,Betis B,CE Europa,2.27,2.95,3.25
25,FINLAND - YKKONEN,12/05/2024,12:00,Keski-Uusimaa,KuPS Akatemia,1.83,4.5,2.9
26,FINLAND - YKKONEN,12/05/2024,12:30,Jazz Pori,Rovaniemi,1.44,5.0,4.5
27,FINLAND - YKKONEN,12/05/2024,12:30,Atlantis,VIFK,1.4,5.0,5.0
28,FINLAND - YKKONEN,12/05/2024,12:30,Klubi 04,EPS,1.25,5.5,7.5
29,FINLAND - VEIKKAUSLIIGA,12/05/2024,12:30,Lahti,Mariehamn,2.5,3.4,2.7
30,SLOVAKIA - NIKE LIGA,12/05/2024,12:30,Dun. Streda,Trnava,2.27,3.3,3.05
31,SENEGAL - LIGUE 1,12/05/2024,14:00,Linguere,Diambars,,,
32,URUGUAY - PRIMERA DIVISION,12/05/2024,15:00,Progreso,Defensor Sp.,3.1,3.3,2.25
33,ARGENTINA - PRIMERA NACIONAL,12/05/2024,16:00,Patronato,Chacarita Juniors,3.1,2.9,2.5
34,ARGENTINA - PRIMERA NACIONAL,12/05/2024,16:00,Gimnasia Jujuy,San Miguel,2.2,2.9,3.75
35,DOMINICAN REPUBLIC - LDF,12/05/2024,17:00,Delfines Del Este,Vega Real,2.07,3.25,3.15
36,ARGENTINA - PRIMERA NACIONAL,12/05/2024,18:00,Racing Cordoba,CA Estudiantes,2.25,3.0,3.5
