Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,BULGARIA - PARVA LIGA,27/10/2023,08:00,Slavia Sofia,Krumovgrad,1.91,3.4,4.5
2,THAILAND - THAI LEAGUE 1,27/10/2023,09:00,Police Tero,Khonkaen Utd.,1.72,3.9,4.1
3,VIETNAM - V.LEAGUE 1,27/10/2023,09:15,Viettel,Thanh Hoa,2.02,3.35,3.35
4,UZBEKISTAN - SUPER LEAGUE,27/10/2023,10:30,Nasaf Qarshi,Metallurg Bekabad,1.4,4.1,7.7
5,GHANA - PREMIER LEAGUE,27/10/2023,12:00,Bofoakwa Tano,Accra Lions,1.42,3.8,7.0
6,SLOVAKIA - NIKE LIGA,27/10/2023,12:30,Podbrezova,Banska Bystrica,1.57,4.5,4.65
7,POLAND - EKSTRAKLASA,27/10/2023,13:00,Korona Kielce,Puszcza,1.85,3.6,4.0
8,POLAND - DIVISION 1,27/10/2023,13:00,Wisla Plock,Chrobry Glogow,1.5,4.0,5.25
9,RUSSIA - PREMIER LEAGUE,27/10/2023,13:00,Rubin Kazan,Baltika,2.25,3.33,3.7
10,AUSTRIA - 2. LIGA,27/10/2023,13:10,Leoben,Admira,2.27,3.4,2.87
11,SWITZERLAND - CHALLENGE LEAGUE,27/10/2023,14:30,Wil,Baden,1.45,4.45,6.0
12,SWITZERLAND - CHALLENGE LEAGUE,27/10/2023,14:30,Stade Nyonnais,Bellinzona,1.95,3.75,3.3
13,NETHERLANDS - EERSTE DIVISIE,27/10/2023,15:00,NAC Breda,Helmond,1.57,4.33,5.25
14,POLAND - EKSTRAKLASA,27/10/2023,15:30,LKS Lodz,Gornik Zabrze,2.55,3.25,2.75
15,SPAIN - LALIGA2,27/10/2023,16:00,Eibar,Valladolid,2.1,3.2,4.0
16,ARGENTINA - PRIMERA NACIONAL,27/10/2023,21:30,San Martin T.,Dep. Riestra,1.91,3.1,4.0
17,COSTA RICA - PRIMERA DIVISION,27/10/2023,23:00,Liberia,Sporting San Jose,1.95,3.6,3.5
18,USA - USL CHAMPIONSHIP,27/10/2023,23:30,Sacramento Republic,San Antonio,2.12,3.3,3.3
