Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,QZZHWvNm,19/08/2023,08:35,CHINA - SUPER LEAGUE,Shenzhen,Nantong Zhiyun,ROUND 23,4.5,3.6,1.8,1.36,3.0,1.05,11.0,1.25,3.75,1.88,1.98,3.25,1.33,6.0,1.13,1.8,1.95,4.4,1.2,2.08,1.73,11.0,7.5,8.5,15.0,13.0,7.0,8.5,13.0,23.0,15.0,15.0,23.0,51.0,41.0,41.0,51.0,201.0
2,f3gEPeit,19/08/2023,13:00,ESTONIA - MEISTRILIIGA,Parnu JK Vaprus,Kalju,ROUND 24,3.21,3.15,2.22,1.47,2.5,1.04,7.4,1.38,2.71,2.25,1.63,4.0,1.19,7.9,1.03,1.9,1.86,,,,,7.0,6.0,8.5,19.0,7.5,5.5,8.0,17.0,15.0,10.0,15.0,29.0,41.0,29.0,41.0,51.0,
3,2HtAQNW9,19/08/2023,15:30,URUGUAY - PRIMERA DIVISION,CA Cerro,Penarol,CLAUSURA ,5.0,3.8,1.65,1.44,2.63,1.06,10.0,1.36,3.0,2.15,1.67,4.0,1.22,9.0,1.07,2.1,1.67,4.5,1.19,2.2,1.65,9.0,6.0,7.0,12.0,11.0,7.5,9.0,15.0,26.0,17.0,21.0,34.0,51.0,41.0,51.0,67.0,201.0
4,WM9Ag7Lo,19/08/2023,17:00,CANADA - CANADIAN PREMIER LEAGUE,Vancouver FC,Pacific FC,-,7.47,4.75,1.36,1.28,3.34,1.02,13.0,1.16,4.3,1.63,2.25,2.45,1.46,4.3,1.16,1.83,1.93,,,,,,,,,,,,,,,,,,,,,
