Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,25/05/2024,12:00,CROATIA - HNL,Varazdin,Osijek,3.7,3.4,1.91,1.9,1.73,2.0,1.05,1.36,1.25,6.0,1.13
2,25/05/2024,14:00,SPAIN - PRIMERA RFEF,Lugo,Sabadell,3.5,3.4,1.9,2.08,1.93,1.78,1.07,1.47,1.36,6.2,1.09
3,25/05/2024,14:00,MONTENEGRO - PRVA CRNOGORSKA LIGA,Petrovac,Buducnost,5.5,3.7,1.57,1.95,1.93,1.7,1.03,1.42,1.31,6.7,1.07
4,25/05/2024,14:00,MONTENEGRO - PRVA CRNOGORSKA LIGA,Rudar,Sutjeska,3.75,3.35,1.9,1.91,1.78,1.82,1.04,1.42,1.31,7.2,1.06
5,25/05/2024,14:10,CROATIA - HNL,Lok. Zagreb,Hajduk Split,3.4,3.5,1.95,1.7,1.62,2.2,1.04,1.33,1.22,5.0,1.17
6,25/05/2024,15:00,ARGENTINA - LIGA PROFESIONAL,Argentinos Jrs,River Plate,4.1,3.5,1.91,2.05,1.91,1.91,1.06,1.44,1.33,8.0,1.08
7,25/05/2024,17:00,PERU - LIGA 1,Comerciantes Unidos,Sporting Cristal,5.5,4.5,1.53,1.53,1.67,2.1,1.03,1.29,1.17,4.0,1.22
8,25/05/2024,17:00,PERU - LIGA 1,Deportivo Garcilaso,FBC Melgar,4.75,3.3,1.75,2.05,1.91,1.8,1.07,1.44,1.33,8.0,1.08
9,25/05/2024,22:00,ECUADOR - LIGA PRO,Macara,Ind. del Valle,3.5,3.4,1.95,2.08,1.91,1.8,1.06,1.44,1.33,8.0,1.08
10,25/05/2024,22:00,ECUADOR - LIGA PRO,Delfin,Aucas,3.5,3.4,1.91,2.03,1.83,1.83,1.06,1.4,1.33,7.0,1.1
