,Entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,N1,N2,N3
1,OVER2_5,12/11/2023,01:00,AUSTRALIA - A-LEAGUE,Melbourne City,Macarthur FC,1.53,4.33,6.0,1.53,2.4,1.62,2.2,D,H,H
2,BTTS Sim,12/11/2023,03:00,AUSTRALIA - A-LEAGUE,Central Coast Mariners,Brisbane Roar,2.15,3.8,3.0,1.53,2.4,1.5,2.5,D,H,H
3,BTTS Sim,12/11/2023,04:30,SOUTH KOREA - K LEAGUE 1,Ulsan Hyundai Horang-i,Pohang Steelers,2.1,3.4,3.4,1.95,1.9,1.73,2.0,D,H,D
4,OVER2_5,12/11/2023,10:15,SWITZERLAND - SUPER LEAGUE,Grasshoppers,Lausanne Ouchy,2.0,3.75,3.5,1.57,2.35,1.5,2.5,D,H,D
5,BTTS Sim,12/11/2023,10:30,NORWAY - OBOS-LIGAEN,Kongsvinger,Moss,1.55,4.25,5.75,1.62,2.25,1.67,2.1,A,H,A
6,BTTS Sim,12/11/2023,10:30,NORWAY - OBOS-LIGAEN,Fredrikstad,Jerv,1.67,4.2,4.5,1.68,2.25,1.67,2.1,A,H,A
7,BTTS Sim,12/11/2023,10:30,NORWAY - OBOS-LIGAEN,Start,KFUM Oslo,1.85,4.0,3.8,1.73,2.08,1.67,2.1,A,H,A
8,OVER2_5,12/11/2023,10:30,NETHERLANDS - EERSTE DIVISIE,ADO Den Haag,Cambuur Leeuwarden,2.1,3.6,3.1,1.57,2.35,1.5,2.5,A,H,A
9,BTTS Sim,12/11/2023,11:00,POLAND - DIVISION 1,R. Rzeszow,Chrobry Glogow,1.85,3.4,3.8,2.0,1.85,1.8,1.91,D,D,H
10,BTTS Sim,12/11/2023,11:00,SWEDEN - ALLSVENSKAN,Sirius,Norrkoping,1.83,4.0,3.8,1.53,2.4,1.53,2.38,D,A,H
11,OVER2_5,12/11/2023,11:00,SWEDEN - ALLSVENSKAN,Malmo FF,Elfsborg,1.73,4.0,4.5,1.57,2.35,1.57,2.25,D,A,H
12,BTTS Sim,12/11/2023,11:00,SWEDEN - ALLSVENSKAN,AIK,Varnamo,2.05,3.6,3.5,1.75,2.05,1.67,2.1,D,A,H
13,BTTS Sim,12/11/2023,12:00,BELGIUM - CHALLENGER PRO LEAGUE,Beveren,Lommel SK,1.85,3.8,3.4,1.73,2.08,1.62,2.2,H,A,H
14,OVER2_5,12/11/2023,12:30,SWITZERLAND - SUPER LEAGUE,Servette,Basel,1.7,4.2,4.33,1.6,2.3,1.62,2.2,D,H,D
15,OVER2_5,12/11/2023,12:30,PORTUGAL - LIGA PORTUGAL,Boavista,Farense,2.05,3.6,3.4,1.93,1.93,1.75,2.0,H,H,H
16,OVER2_5,12/11/2023,12:45,NETHERLANDS - EERSTE DIVISIE,Roda JC,FC Groningen,2.2,3.4,3.0,1.65,2.2,1.53,2.38,A,H,A
17,BTTS Sim,12/11/2023,12:45,NETHERLANDS - EREDIVISIE,Feyenoord,AZ Alkmaar,1.55,4.5,5.25,1.57,2.35,1.67,2.1,H,D,D
18,BTTS Sim,12/11/2023,17:30,PORTUGAL - LIGA PORTUGAL,Benfica,Sporting Lisbon,2.15,3.4,3.2,1.85,2.0,1.67,2.1,H,H,H
19,BTTS Sim,12/11/2023,20:30,BOLIVIA - DIVISION PROFESIONAL,Oriente Petrolero,Aurora,1.85,3.3,3.75,1.9,1.9,1.73,2.0,D,H,D
