,Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_D,Odd_Under25,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_CS_0x0_Lay,Odd_CS_0x1_Lay,Odd_CS_1x0_Lay,IDMercado_Correct_Score,VAR62,VAR63,VAR64,VAR65,VAR43,VAR44,VAR45,prediction_label,prediction_score
3,2024-04-27,21:00:00,BRAZIL - SERIE A,Bahia,Gremio,1.84,4.9,3.9,1.9,2.08,1.92,2.0,13.5,16.5,8.2,1.2279234,1.6463894,1.0930141,1.5062836,0.6638856,1.8345164,1.1557232,1.587332,1,1.0
5,2024-04-27,21:00:00,COLOMBIA - PRIMERA A,Atl. Nacional,Deportes Tolima,2.48,3.55,3.0,1.48,2.96,2.22,1.72,8.0,9.8,65.0,1.2280648,1.2952037,1.1829083,1.0949316,0.913299,1.4913676,1.2482963,1.1947225,1,1.0
6,2024-04-27,21:30:00,USA - MLS,FC Dallas,Houston Dynamo,1.59,7.8,3.9,1.62,2.54,2.5,1.54,10.0,360.0,7.6,1.2279208,1.3093075,0.7783162,1.6822308,0.59444875,2.0149975,1.0135462,1.9880668,1,1.0
7,2024-04-27,21:30:00,USA - MLS,Nashville SC,San Jose Earthquakes,1.89,4.5,3.8,1.94,1.98,1.76,2.08,14.0,17.0,9.0,1.2279432,1.7373737,1.1717172,1.4827586,0.6744186,1.8095238,1.1957672,1.5132743,1,1.0
8,2024-04-27,21:30:00,USA - MLS,Chicago Fire,Atlanta Utd,2.48,2.88,3.85,2.42,1.68,1.58,2.52,22.0,18.5,15.5,1.2279437,2.1329365,1.6369047,1.3030303,0.76744187,1.5568997,1.4448925,1.0775194,1,1.0
13,2024-04-27,22:00:00,MEXICO - LIGA MX,U.A.N.L.- Tigres,Club Tijuana,1.52,7.2,4.8,2.46,1.66,1.84,2.12,21.0,28.0,10.5,1.2276211,1.9461178,1.0190763,1.909688,0.52364576,2.1125731,1.0745614,1.9659864,1,1.0
17,2024-04-27,23:30:00,USA - MLS,Los Angeles FC,Portland Timbers,1.47,7.6,5.0,3.0,1.48,1.66,2.44,30.0,40.0,13.5,1.2279209,2.158606,1.0704125,2.0166113,0.49588138,2.1723952,1.075009,2.020816,1,1.0
