,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
1,ENGLAND - PREMIER LEAGUE,13/01/2024,09:30,Chelsea,Fulham,1.6,4.2,5.5,1.62,2.25,1.67,2.1,2.0,1.264911,1.261,0.8,1.1661904,1.105,0.625,0.23809524,0.18181819,0.61728394,0.44444445,0.56559026,1.2,2.431,1,0.9054
2,ENGLAND - LEAGUE TWO,13/01/2024,12:00,Crawley,Salford,1.91,3.75,3.75,1.6,2.3,1.53,2.38,1.5,1.5,0.691,0.9,1.1357816,0.791,0.5235602,0.26666668,0.26666668,0.625,0.4347826,0.34374544,0.6,2.636,1,0.7519
3,ENGLAND - LEAGUE TWO,13/01/2024,12:00,Wrexham,AFC Wimbledon,1.8,3.8,4.2,1.67,2.15,1.62,2.2,2.8,0.6,0.383,1.3,1.1874342,1.026,0.5555556,0.2631579,0.23809524,0.5988024,0.4651163,0.40908614,1.5,1.787,1,0.8358
4,ENGLAND - LEAGUE TWO,13/01/2024,12:00,Stockport County,Walsall,1.57,4.5,5.25,1.73,2.08,1.8,1.91,2.5,1.024695,0.968,1.4,1.356466,0.974,0.6369427,0.22222222,0.1904762,0.5780347,0.48076922,0.5813331,1.1,2.381,1,0.8133
5,SPAIN - PRIMERA RFEF,13/01/2024,12:00,Sestao,Teruel,2.0,2.9,3.75,2.75,1.4,2.5,1.5,0.7,0.9,0.994,0.5,0.5,1.369,0.5,0.3448276,0.26666668,0.36363637,0.71428573,0.26173404,0.2,1.4,1,0.7267
6,SPAIN - PRIMERA RFEF,13/01/2024,12:00,Cordoba,CF Intercity,1.57,3.5,5.0,1.95,1.85,1.91,1.8,2.0,1.264911,0.794,1.4,1.356466,0.766,0.6369427,0.2857143,0.2,0.51282054,0.5405405,0.50516045,0.6,2.621,1,0.8538
7,SCOTLAND - LEAGUE ONE,13/01/2024,12:00,Queen of South,Alloa,2.15,3.4,2.75,1.73,2.08,1.62,2.2,1.0,1.3416408,0.693,1.0,1.3416408,0.84,0.4651163,0.29411766,0.36363637,0.5780347,0.48076922,0.18759564,0.0,2.683,1,0.6
8,SCOTLAND - LEAGUE ONE,13/01/2024,12:00,Montrose,Stirling,1.95,4.0,3.1,1.73,2.08,1.73,2.0,1.1,1.3,1.22,0.9,1.3747727,1.25,0.51282054,0.25,0.32258064,0.5780347,0.48076922,0.30630723,0.2,2.675,1,1.0
9,SCOTLAND - LEAGUE ONE,13/01/2024,12:00,Kelty Hearts,Annan,1.8,3.8,3.6,1.62,2.25,1.62,2.2,1.4,1.356466,1.07,0.7,0.9,0.777,0.5555556,0.2631579,0.2777778,0.61728394,0.44444445,0.36805797,0.7,2.256,1,1.0
10,SCOTLAND - LEAGUE ONE,13/01/2024,12:00,Hamilton,Cove Rangers,1.55,4.33,4.5,1.67,2.15,1.8,1.91,2.3,1.1,0.721,1.6,1.2,0.877,0.6451613,0.23094688,0.22222222,0.5988024,0.4651163,0.5390485,0.7,2.3,1,1.0
11,SCOTLAND - LEAGUE TWO,13/01/2024,12:00,East Fife,Clyde,1.65,3.6,4.75,1.75,2.05,1.73,2.0,1.6,1.4282857,1.235,0.6,0.9165151,0.66,0.6060606,0.2777778,0.21052632,0.5714286,0.4878049,0.47370052,1.0,2.345,1,0.5075
12,SCOTLAND - CHAMPIONSHIP,13/01/2024,12:00,Raith,Queen's Park,1.5,4.5,5.0,1.57,2.35,1.73,2.0,2.0,1.0,0.608,0.8,1.1661904,0.663,0.6666667,0.22222222,0.2,0.6369427,0.42553192,0.5921885,1.2,2.166,1,0.7911
13,ENGLAND - LEAGUE TWO,13/01/2024,12:00,Doncaster,Newport,2.05,3.75,3.4,1.75,2.05,1.67,2.1,1.7,1.3453624,0.772,0.9,1.3747727,1.182,0.4878049,0.26666668,0.29411766,0.5714286,0.4878049,0.2815653,0.8,2.72,1,0.7943
14,ENGLAND - LEAGUE TWO,13/01/2024,12:00,Crewe,Swindon,1.95,4.0,3.4,1.53,2.4,1.5,2.5,1.7,1.3453624,0.484,0.6,0.9165151,0.907,0.51282054,0.25,0.29411766,0.6535948,0.41666666,0.32617715,1.1,2.262,1,0.7801
15,ENGLAND - CHAMPIONSHIP,13/01/2024,12:00,West Brom,Blackburn,1.73,4.0,4.75,1.73,2.08,1.73,2.0,2.1,1.1357816,0.713,1.2,1.4696939,0.968,0.5780347,0.25,0.21052632,0.5780347,0.48076922,0.47584456,0.9,2.605,1,1.0
16,ENGLAND - LEAGUE TWO,13/01/2024,12:00,Forest Green,Harrogate,2.05,3.6,3.5,1.9,1.95,1.73,2.0,1.1,1.3,1.11,1.9,1.3747727,0.454,0.4878049,0.2777778,0.2857143,0.5263158,0.51282054,0.27734625,-0.8,2.675,1,0.5793
17,ENGLAND - LEAGUE ONE,13/01/2024,12:00,Cambridge Utd,Fleetwood,1.91,3.4,4.0,1.98,1.88,1.8,1.95,1.8,1.2489996,1.14,1.2,1.2489996,0.779,0.5235602,0.29411766,0.25,0.5050505,0.5319149,0.33695322,0.6,2.498,1,0.6837
18,ENGLAND - LEAGUE ONE,13/01/2024,12:00,Reading,Port Vale,2.15,3.4,3.4,1.9,1.95,1.7,2.05,1.5,1.2845232,0.607,1.3,1.1874342,0.735,0.4651163,0.29411766,0.29411766,0.5263158,0.51282054,0.22958012,0.2,2.472,1,0.7868
19,ENGLAND - LEAGUE ONE,13/01/2024,12:00,Portsmouth,Leyton Orient,1.57,4.0,6.0,1.93,1.93,1.95,1.8,2.0,1.264911,0.7,1.3,1.1874342,0.797,0.6369427,0.25,0.16666667,0.5181347,0.5181347,0.58340186,0.7,2.452,1,0.8837
20,ENGLAND - LEAGUE ONE,13/01/2024,12:00,Barnsley,Bristol Rovers,1.91,3.5,4.2,1.75,2.05,1.67,2.1,1.5,1.2845232,0.582,1.0,1.3416408,0.59,0.5235602,0.2857143,0.23809524,0.5714286,0.4878049,0.3576621,0.5,2.626,1,0.8754
