,Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_D,Odd_CS_0x1_Lay,IDMercado_Correct_Score
1,2026-02-23,08:00:00,PARAGUAY - PRIMERA DIVISION,Sp. Luqueno,Guarani,1.04,3.3,3.35,1000.0,1.254124
2,2026-02-23,09:00:00,SERBIA - PRVA LIGA,Graficar Beograd,FK FAP,1.69,6.0,3.5,1000.0,1.2543827
3,2026-02-23,10:30:00,UKRAINE - PREMIER LEAGUE,FK Kudrivka,FK Zorya Luhansk,3.8,2.08,3.5,18.0,1.254201
4,2026-02-23,12:00:00,SERBIA - SUPER LIGA,Javor,Mladost,2.0,4.6,3.2,13.5,1.2541661
5,2026-02-23,14:00:00,TURKEY - SUPER LIG,Fenerbahce,Kasimpasa,1.26,14.0,6.8,55.0,1.2541527
6,2026-02-23,14:00:00,POLAND - DIVISION 1,Stal Mielec,LKS Lodz,3.4,2.24,3.55,11.0,1.254161
7,2026-02-23,14:30:00,ITALY - SERIE A,Fiorentina,Pisa,1.71,5.8,4.0,20.0,1.253822
8,2026-02-23,15:00:00,DENMARK - SUPERLIGA,Brondby,Sonderjyske,2.06,4.2,3.5,18.5,1.2541573
9,2026-02-23,16:00:00,HUNGARY - OTP BANK LIGA,MTK Budapest,Ferencvaros,5.4,1.57,4.6,13.0,1.2541645
10,2026-02-23,16:30:00,EGYPT - PREMIER LEAGUE,Kahraba Ismailia,El Gaish,3.7,2.38,2.96,8.4,1.254168
11,2026-02-23,16:30:00,EGYPT - PREMIER LEAGUE,El Gouna,Arab Contractors,2.76,3.3,2.72,8.2,1.2542701
12,2026-02-23,16:45:00,ITALY - SERIE A,Bologna,Udinese,1.94,4.7,3.6,14.5,1.2538218
13,2026-02-23,17:00:00,PERU - LIGA 1,Cesar Vallejo Moquegua,Deportivo Garcilaso,3.15,2.56,3.05,10.5,1.2541993
14,2026-02-23,17:00:00,SPAIN - LALIGA,Alaves,Girona,2.56,3.45,3.05,10.5,1.253816
15,2026-02-23,17:15:00,PORTUGAL - LIGA PORTUGAL,Famalicao,Casa Pia,1.63,6.4,4.2,19.5,1.2541381
16,2026-02-23,18:30:00,VENEZUELA - LIGA FUTVE,Zamora,La Guaira,4.6,1.98,3.15,8.0,1.2541625
17,2026-02-23,19:30:00,VENEZUELA - LIGA FUTVE,Academia Anzoategui FC,Estudiantes Merida,2.48,2.94,3.05,500.0,1.2541627
