Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,UXuqvsSe,20/08/2023,05:00,HONG KONG - PREMIER LEAGUE,Eastern AA,HK U23,ROUND 1,1.04,11.7,33.0,1.14,5.0,46.0,41.0,1.05,8.5,1.24,3.48,1.7,2.13,2.42,1.47,2.42,1.53,,,,,41.0,91.0,201.0,201.0,9.5,23.0,101.0,201.0,5.5,11.0,51.0,201.0,5.0,9.5,36.0,201.0,201.0
2,hnRYSdMC,20/08/2023,08:35,CHINA - SUPER LEAGUE,Changchun Yatai,Cangzhou,ROUND 23,2.05,3.6,3.5,1.3,3.4,1.03,15.0,1.2,4.33,1.67,2.15,2.63,1.44,5.0,1.17,1.57,2.25,2.0,1.8,1.33,3.3,15.0,13.0,19.0,34.0,9.5,7.0,12.0,23.0,11.0,9.0,13.0,29.0,19.0,15.0,21.0,41.0,151.0
3,KxsOzZf5,20/08/2023,09:30,NETHERLANDS - EREDIVISIE,Twente,Zwolle,ROUND 2,1.36,5.0,8.5,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,2.25,1.57,4.0,1.22,1.8,1.95,1.35,3.1,1.1,7.0,15.0,21.0,41.0,81.0,8.5,9.5,23.0,51.0,7.0,8.5,19.0,51.0,9.0,11.0,23.0,51.0,251.0
4,ddsSnerd,20/08/2023,10:00,POLAND - DIVISION 1,Legnica,S. Rzeszow,ROUND 5,1.7,3.75,4.2,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,2.75,1.4,5.5,1.14,1.73,2.0,1.7,2.1,1.21,4.25,13.0,13.0,23.0,41.0,8.0,7.5,15.0,34.0,8.5,8.5,15.0,34.0,13.0,13.0,23.0,51.0,201.0
5,Uw57uwzI,20/08/2023,10:00,NORWAY - OBOS-LIGAEN,Moss,Mjondalen,ROUND 19,1.95,3.6,3.8,1.3,3.4,1.04,13.0,1.2,4.33,1.67,2.15,2.63,1.44,5.0,1.17,1.57,2.25,1.95,1.9,1.28,3.55,13.0,15.0,21.0,41.0,9.5,7.0,13.0,29.0,11.0,8.5,12.0,29.0,17.0,15.0,21.0,41.0,126.0
6,UomvzD5c,20/08/2023,10:00,SWEDEN - ALLSVENSKAN,Malmo FF,Djurgarden,ROUND 20,1.73,3.75,5.0,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,2.75,1.4,5.5,1.14,1.7,2.05,1.68,2.15,1.19,4.5,12.0,15.0,26.0,51.0,8.0,7.0,15.0,41.0,8.5,8.5,13.0,41.0,13.0,13.0,23.0,41.0,201.0
7,WWrk4Tnc,20/08/2023,11:00,AZERBAIJAN - PREMIER LEAGUE,Qarabag,Araz,ROUND 3,1.23,6.1,10.8,1.22,3.8,1.01,13.0,1.11,5.1,1.44,2.51,2.2,1.67,3.48,1.24,1.91,1.85,,,,,17.0,34.0,91.0,201.0,6.5,11.0,31.0,101.0,5.0,7.0,20.0,101.0,6.0,8.0,21.0,91.0,201.0
8,j1ymYjzA,20/08/2023,12:30,SWEDEN - ALLSVENSKAN,Elfsborg,Mjallby,ROUND 20,1.4,4.75,8.0,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,2.75,1.4,5.5,1.14,1.95,1.8,1.4,2.85,1.1,7.0,12.0,19.0,41.0,81.0,7.0,8.5,23.0,51.0,6.5,8.5,19.0,51.0,9.0,12.0,26.0,51.0,351.0
9,xfagoC7a,20/08/2023,13:00,SLOVAKIA - NIKE LIGA,Trnava,Podbrezova,ROUND 4,2.21,3.74,2.97,1.35,3.04,1.01,9.9,1.23,3.56,1.82,1.99,2.88,1.34,5.3,1.11,1.7,2.1,,,,,9.5,10.0,14.0,31.0,7.0,5.5,9.5,20.0,8.5,7.0,10.0,23.0,15.0,12.0,17.0,36.0,201.0
10,UFnYhQ9a,20/08/2023,13:15,ICELAND - BESTA DEILD KARLA,Vestmannaeyjar,Fylkir,ROUND 20,1.88,3.98,3.69,1.26,3.64,1.02,14.9,1.13,4.8,1.5,2.38,2.34,1.61,3.72,1.22,1.51,2.48,,,,,13.0,13.0,19.0,41.0,8.5,6.0,10.0,21.0,9.0,6.5,9.0,21.0,13.0,10.0,14.0,31.0,151.0
