,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_Under,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
1,SOUTH KOREA - K LEAGUE 2,12/08/2023,07:00,Anyang,Ansan Greeners,1.44,4.2,5.75,1.75,2.05,1.91,1.14,1.8,1.5,1.4,0.8,2.3,0.6944444,0.23809524,0.17391305,0.5714286,0.4878049,0.877,0.62832975,0.7,-0.9,0,0.537
2,SWEDEN - SUPERETTAN,12/08/2023,08:00,Brage,GAIS,3.3,3.6,2.0,1.75,2.05,1.67,1.14,2.1,1.4,1.0,1.0,0.8,0.3030303,0.2777778,0.5,0.5714286,0.4878049,0.877,0.27574053,0.4,0.2,0,0.6792
3,SCOTLAND - LEAGUE TWO,12/08/2023,11:00,Forfar Athletic,Elgin City,1.45,4.2,5.5,1.95,1.9,2.1,1.11,1.67,1.1,0.8,0.8,2.0,0.6896552,0.23809524,0.18181819,0.51282054,0.5263158,0.901,0.6145528,0.3,-1.2,0,0.7136
4,SCOTLAND - PREMIERSHIP,12/08/2023,11:00,St. Mirren,Dundee FC,2.0,3.4,3.8,2.1,1.73,1.91,1.08,1.91,1.3,1.3,1.1,0.6,0.5,0.29411766,0.2631579,0.47619048,0.5780347,0.926,0.29825854,0.2,0.7,0,0.5891
5,AUSTRIA - BUNDESLIGA,12/08/2023,12:00,Sturm Graz,A. Klagenfurt,1.36,5.5,7.5,1.5,2.5,1.75,1.25,2.0,2.0,1.0,1.4,2.5,0.7352941,0.18181819,0.13333334,0.6666667,0.4,0.8,0.7798331,0.6,-1.5,0,0.8223
6,BELGIUM - JUPILER PRO LEAGUE,12/08/2023,13:15,Royale Union SG,Leuven,1.45,4.2,6.0,1.5,2.5,1.62,1.25,2.2,1.8,1.7,1.1,1.1,0.6896552,0.23809524,0.16666667,0.6666667,0.4,0.8,0.63471276,0.7,0.6,0,0.5417
7,SPAIN - LALIGA2,12/08/2023,14:00,Racing Santander,Eibar,2.9,3.1,2.6,2.35,1.57,2.0,1.05,1.73,1.5,0.6,1.1,1.0,0.3448276,0.32258064,0.3846154,0.42553192,0.6369427,0.952,0.07317563,0.4,-0.4,0,0.529
8,AUSTRIA - BUNDESLIGA,12/08/2023,14:30,LASK,BW Linz,1.5,4.5,6.0,1.62,2.25,1.75,1.18,2.0,2.0,1.0,2.7,0.9,0.6666667,0.22222222,0.16666667,0.61728394,0.44444445,0.847,0.6359498,-0.7,0.1,0,0.636
9,SPAIN - LALIGA2,12/08/2023,16:00,Zaragoza,Villarreal B,1.73,3.5,5.5,2.4,1.53,2.25,1.05,1.57,1.3,0.7,0.7,1.1,0.5780347,0.2857143,0.18181819,0.41666666,0.6535948,0.952,0.48129165,0.6,-0.4,0,0.5394
10,SPAIN - LALIGA2,12/08/2023,17:00,Elche,Ferrol,1.75,3.5,5.0,2.1,1.7,1.91,1.08,1.8,1.2,1.4,1.0,0.6,0.5714286,0.2857143,0.2,0.47619048,0.5882353,0.926,0.4506306,0.2,0.8,0,0.5613
11,BOLIVIA - DIVISION PROFESIONAL,12/08/2023,21:00,Oriente Petrolero,Tomayapo,1.5,3.8,5.5,1.95,1.85,2.0,1.11,1.73,1.4,0.9,0.9,1.3,0.6666667,0.2631579,0.18181819,0.51282054,0.5405405,0.901,0.57213867,0.5,-0.4,0,0.6071
