Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,12/08/2023,07:00,VIETNAM - V.LEAGUE 1,Thanh Hoa,Hanoi FC,4.4,3.6,1.74,1.96,1.83,1.93,1.02,1.39,1.28,6.25,1.07
2,12/08/2023,07:30,SOUTH KOREA - K LEAGUE 1,Gangwon,Ulsan Hyundai,4.5,3.6,1.7,1.93,1.8,1.91,1.05,1.36,1.29,6.5,1.11
3,12/08/2023,08:35,CHINA - SUPER LEAGUE,Changchun Yatai,Chengdu Rongcheng,3.75,3.5,2.0,1.7,1.62,2.2,1.04,1.33,1.2,5.0,1.17
4,12/08/2023,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Knockbreda,Annagh,4.72,4.2,1.59,1.5,1.56,2.36,1.01,1.24,1.14,3.74,1.21
5,12/08/2023,11:00,SCOTLAND - LEAGUE ONE,Cove Rangers,Falkirk,3.4,3.5,1.91,1.85,1.8,1.91,1.02,1.36,1.25,5.5,1.13
6,12/08/2023,12:30,POLAND - DIVISION 1,Tychy,Wisla,4.0,3.3,1.75,1.85,1.73,2.0,1.05,1.36,1.25,6.0,1.13
7,12/08/2023,13:00,SWITZERLAND - SUPER LEAGUE,Lausanne Ouchy,Zurich,4.0,3.8,1.85,1.67,1.57,2.25,1.03,1.3,1.2,5.0,1.17
8,12/08/2023,13:00,SLOVAKIA - NIKE LIGA,Skalica,Slovan Bratislava,3.75,3.6,1.95,1.91,1.75,2.03,1.02,1.38,1.26,5.85,1.08
9,12/08/2023,14:00,CROATIA - HNL,Lok. Zagreb,D. Zagreb,5.25,3.6,1.55,1.75,1.8,1.91,1.04,1.33,1.22,5.5,1.14
10,12/08/2023,15:30,ROMANIA - LIGA 1,Poli Iasi,Univ. Craiova,3.8,3.25,1.91,2.2,2.0,1.73,1.07,1.44,1.36,9.0,1.07
