Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,23/03/2024,10:00,ITALY - SERIE C,Benevento,Monopoli,1.4,4.15,7.8,2.15,2.5,1.47,1.08,1.47,1.38,6.4,1.08
15,23/03/2024,12:00,SPAIN - PRIMERA RFEF,Cordoba,San Fernando,1.4,4.5,5.75,2.0,2.5,1.5,1.05,1.4,1.33,6.5,1.1
14,23/03/2024,12:00,ENGLAND - LEAGUE TWO,Barrow,Newport,1.73,3.6,5.0,2.05,1.91,1.8,1.06,1.4,1.3,7.0,1.1
13,23/03/2024,12:00,SCOTLAND - CHAMPIONSHIP,Dundee Utd,Inverness,1.4,4.33,5.25,1.93,2.2,1.62,1.04,1.4,1.29,6.0,1.11
12,23/03/2024,12:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Glentoran,Ballymena,1.26,5.7,9.25,1.47,1.93,1.78,1.03,1.26,1.15,3.4,1.27
11,23/03/2024,13:30,ITALY - SERIE C,Torres,Vis Pesaro,1.5,3.85,6.7,2.15,2.35,1.53,1.08,1.5,1.39,6.6,1.08
10,23/03/2024,13:30,ITALY - SERIE C,L.R. Vicenza,Legnago Salus,1.6,3.6,5.6,2.3,2.3,1.55,1.09,1.53,1.44,7.0,1.07
16,23/03/2024,16:00,COLOMBIA - PRIMERA A,Millonarios,Dep. Cali,1.57,4.0,6.0,2.03,2.0,1.73,1.05,1.4,1.3,7.0,1.1
9,23/03/2024,16:00,NETHERLANDS - EERSTE DIVISIE,Willem II,Venlo,1.53,4.2,6.0,1.62,1.73,2.0,1.03,1.3,1.18,4.5,1.18
7,23/03/2024,17:00,VENEZUELA - LIGA FUTVE,Metropolitanos,Rayo Zuliano,1.7,3.45,4.8,1.88,1.8,1.82,1.04,1.4,1.28,6.8,1.1
6,23/03/2024,17:40,ARGENTINA - PRIMERA NACIONAL,Quilmes,Guillermo Brown,1.7,3.5,5.5,2.5,2.5,1.5,1.11,1.57,1.5,13.0,1.04
5,23/03/2024,20:00,VENEZUELA - LIGA FUTVE,Carabobo,Estudiantes Merida,1.65,3.45,5.2,2.0,1.98,1.65,1.06,1.45,1.34,8.45,1.07
4,23/03/2024,20:00,MEXICO - LIGA DE EXPANSION MX,Zacatecas Mineros,Dorados de Sinaloa,1.36,5.1,6.6,1.39,1.62,2.15,1.02,1.23,1.12,3.05,1.33
3,23/03/2024,20:30,USA - MLS,Orlando City,Austin FC,1.57,4.0,6.0,1.67,1.75,2.0,1.03,1.3,1.2,5.0,1.17
2,23/03/2024,21:00,ARGENTINA - PRIMERA NACIONAL,Gimnasia Jujuy,Patronato,1.75,3.3,5.25,2.5,2.38,1.53,1.1,1.53,1.5,11.0,1.05
8,23/03/2024,22:30,COLOMBIA - PRIMERA A,America De Cali,Chico,1.53,4.0,7.0,2.0,2.0,1.73,1.05,1.4,1.3,7.0,1.1
17,23/03/2024,23:30,USA - MLS,Los Angeles FC,Nashville SC,1.5,4.2,7.5,1.85,1.95,1.8,1.05,1.36,1.25,6.0,1.13
