,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,ROMANIA - LIGA 2,20/04/2024,05:00,CSM Slatina,Viitorul Tg. Jiu,1.85,3.15,4.3
2,ROMANIA - LIGA 2,20/04/2024,05:00,Ceahlaul,Alexandria,1.55,3.75,5.5
3,BANGLADESH - PREMIER LEAGUE,20/04/2024,06:45,Chittagong Abahani,Rahmatgonj MFS,2.42,3.0,2.77
4,BANGLADESH - PREMIER LEAGUE,20/04/2024,06:45,Mohammedan,Brothers U.,1.02,12.9,25.0
5,HONG KONG - PREMIER LEAGUE,20/04/2024,07:00,Lee Man Warriors,Hong Kong FC,1.12,7.4,16.5
6,CHINA - SUPER LEAGUE,20/04/2024,08:00,Chengdu Rongcheng,Shenzhen Xinpengcheng,1.4,4.75,7.0
7,BELARUS - VYSSHAYA LIGA,20/04/2024,08:10,FC Minsk,Naftan,2.01,3.52,3.73
8,MALTA - PREMIER LEAGUE,20/04/2024,09:00,Gzira,Birkirkara,2.62,2.72,2.9
9,NIGERIA - NPFL,20/04/2024,10:00,Kwara,Akwa United,1.57,3.3,6.8
10,NORWAY - OBOS-LIGAEN,20/04/2024,11:00,Sogndal,Moss,1.75,3.8,4.0
11,SCOTLAND - LEAGUE TWO,20/04/2024,11:00,Forfar Athletic,East Fife,2.3,3.4,2.8
12,SERBIA - PRVA LIGA,20/04/2024,11:00,Smederevo,Radnicki S. Mitrovica,1.85,3.2,3.9
13,AUSTRIA - BUNDESLIGA,20/04/2024,12:00,Austria Vienna,Tirol,1.7,3.75,4.75
14,RUSSIA - PREMIER LEAGUE,20/04/2024,13:30,CSKA Moscow,Akhmat Grozny,1.53,4.68,6.73
15,SPAIN - PRIMERA RFEF,20/04/2024,14:00,Dep. La Coruna,Cultural Leonesa,1.5,3.25,7.0
16,MOROCCO - BOTOLA PRO,20/04/2024,15:00,Mouloudia Oujda,Chabab Mohammedia,2.5,2.8,2.8
17,BRAZIL - BRASILEIRO WOMEN,20/04/2024,15:00,Fluminense W,Botafogo RJ W,2.3,3.3,2.67
18,SPAIN - PRIMERA RFEF,20/04/2024,15:00,Real Madrid B,Alcoyano,1.8,3.25,4.0
19,USA - MLS,20/04/2024,20:30,Atlanta Utd,FC Cincinnati,1.95,3.75,3.5
20,USA - MLS,20/04/2024,22:30,Colorado Rapids,FC Dallas,1.7,3.6,5.25
21,USA - MLS,20/04/2024,23:30,Los Angeles FC,New York Red Bulls,1.7,3.75,5.0
