,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,HONG KONG - PREMIER LEAGUE,18/05/2024,04:00,Southern District,Kitchee,4.55,4.35,1.55
2,HONG KONG - PREMIER LEAGUE,18/05/2024,04:00,Resources Capital,Tai Po,32.0,11.0,1.04
3,PHILIPPINES - PFL,18/05/2024,04:00,Maharlika,Don Bosco Garelli,1.5,4.5,4.33
4,MONGOLIA - PREMIER LEAGUE,18/05/2024,05:15,FC Ulaanbaatar,Brera Ilch,,,
5,PHILIPPINES - PFL,18/05/2024,06:30,Stallion,Mendiola FC 1991,1.13,7.5,11.0
6,BANGLADESH - PREMIER LEAGUE,18/05/2024,07:00,Fortis,Sheikh Jamal,2.18,3.25,2.92
7,SOUTH KOREA - K LEAGUE 1,18/05/2024,07:00,Gimcheon Sangmu,Jeju Utd,2.05,3.3,3.75
8,PORTUGAL - LIGA PORTUGAL 2,18/05/2024,07:00,Feirense,Vilaverdense,1.83,3.6,3.5
9,BANGLADESH - PREMIER LEAGUE,18/05/2024,08:45,Bashundara Kings,Bangladesh Police,1.31,4.9,7.1
10,PHILIPPINES - PFL,18/05/2024,09:00,Davao Aguilas,One Taguig,2.38,3.6,2.38
11,FINLAND - YKKONEN,18/05/2024,09:00,Rovaniemi,Vaajakoski,1.62,3.95,4.1
12,REPUBLIC OF THE CONGO - LIGUE 1,18/05/2024,09:00,Juk,Otoho d'Oyo,,,
13,FINLAND - YKKONEN,18/05/2024,10:00,KPV Kokkola,KuPS Akatemia,1.17,6.5,12.0
14,FINLAND - YKKONEN,18/05/2024,10:00,EPS,Jazz Pori,2.4,3.6,2.38
15,REPUBLIC OF THE CONGO - LIGUE 1,18/05/2024,11:00,Nathalys,V. Club Mokanda,,,
16,FINLAND - YKKONEN,18/05/2024,11:00,VIFK,Klubi 04,4.75,4.33,1.48
17,BULGARIA - PARVA LIGA,18/05/2024,11:45,CSKA Sofia,Krumovgrad,1.33,5.0,8.0
18,SPAIN - SEGUNDA RFEF,18/05/2024,12:00,San Sebastian Reyes,Rayo Cantabria,1.78,3.3,4.5
19,SERBIA - PRVA LIGA,18/05/2024,12:00,Smederevo,Tekstilac Odzaci,2.35,2.95,2.9
20,ENGLAND - LEAGUE ONE,18/05/2024,12:15,Bolton,Oxford Utd,1.85,3.5,4.1
21,IVORY COAST - LIGUE 1,18/05/2024,12:30,SO Armee,Mouna,,,
22,SPAIN - SEGUNDA RFEF,18/05/2024,13:00,Barakaldo,Atl. Paso,1.52,3.6,6.5
23,SENEGAL - LIGUE 1,18/05/2024,14:00,Dakar SC,Generation F.,,,
24,SENEGAL - LIGUE 1,18/05/2024,14:00,Diambars,Guediawaye,,,
25,MOLDOVA - SUPER LIGA,18/05/2024,14:00,Sheriff Tiraspol,Balti,,,
26,SPAIN - PRIMERA RFEF,18/05/2024,14:00,Sestao,Tarazona,1.73,3.0,5.0
27,BRAZIL - BRASILEIRO WOMEN,18/05/2024,15:00,Atletico-MG W,Gremio W,,,
28,ARGENTINA - PRIMERA NACIONAL,18/05/2024,15:30,Talleres (R.E),Club A. Guemes,2.3,2.8,3.7
29,ITALY - SERIE C,18/05/2024,15:30,Catania,Atalanta U23,2.15,3.1,3.35
30,ITALY - SERIE C,18/05/2024,16:00,L.R. Vicenza,Taranto,1.98,3.15,3.75
31,PANAMA - LPF,18/05/2024,18:00,Tauro,San Francisco,2.12,3.0,3.45
32,BOLIVIA - DIVISION PROFESIONAL,18/05/2024,21:00,Oriente Petrolero,Universitario de Vinto,1.9,3.4,3.5
