Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,BELARUS - VYSSHAYA LIGA,02/12/2023,08:00,Shakhtyor Soligorsk,BATE,6.68,4.8,1.41
2,BULGARIA - PARVA LIGA,02/12/2023,10:00,Etar,Cherno More,10.0,4.2,1.4
3,MALTA - PREMIER LEAGUE,02/12/2023,10:00,Santa Lucia,Mosta,3.35,3.25,2.05
4,MONTENEGRO - PRVA CRNOGORSKA LIGA,02/12/2023,11:30,Petrovac,Buducnost,4.55,3.55,1.7
5,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,02/12/2023,12:00,Al Akhdoud,Al Ettifaq,4.0,3.6,1.75
6,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,02/12/2023,12:00,Sloga Doboj,Borac Banja Luka,14.5,5.6,1.19
7,SCOTLAND - LEAGUE TWO,02/12/2023,12:00,East Fife,Spartans,2.88,3.4,2.38
8,ENGLAND - CHAMPIONSHIP,02/12/2023,12:00,Millwall,Sunderland,3.0,3.3,2.38
9,ENGLAND - FA CUP,02/12/2023,12:00,Sutton,Barnsley,4.0,3.75,1.75
10,BAHRAIN - PREMIER LEAGUE,02/12/2023,13:00,Al-Hala,East Riffa,3.9,3.6,1.83
11,ITALY - SERIE C,02/12/2023,14:30,Pro Patria,Atalanta U23,3.05,2.95,2.42
12,ANDORRA - PRIMERA DIVISIÓ,02/12/2023,16:30,Atletic America,Inter Escaldes,41.0,21.0,1.03
