,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,AUSTRALIA - A-LEAGUE,11/11/2023,01:30,Western United,Newcastle Jets,1.95,4.2,3.4
2,SOUTH KOREA - K LEAGUE 1,11/11/2023,02:00,Daejeon,Gangwon,2.2,3.5,3.0
3,AUSTRALIA - A-LEAGUE,11/11/2023,03:30,WS Wanderers,Perth Glory,1.65,3.8,5.25
4,ROMANIA - LIGA 2,11/11/2023,06:00,Selimbar,Progresul Spartac,1.24,5.1,13.0
5,ROMANIA - LIGA 2,11/11/2023,06:00,Unirea Dej,CSM Resita,2.35,2.95,3.2
6,ROMANIA - LIGA 2,11/11/2023,06:00,Metaloglobus Bucharest,Viitorul Tg. Jiu,2.0,3.15,3.8
7,NORTH MACEDONIA - 1. MFL,11/11/2023,09:00,KF Gostivar,Bregalnica Stip,2.18,3.25,3.1
8,NIGERIA - NPFL,11/11/2023,11:00,Doma United,Akwa United,2.0,2.95,4.0
9,ARMENIA - PREMIER LEAGUE,11/11/2023,11:00,Ararat-Armenia,Shirak Gyumri,1.21,5.2,10.5
10,SWEDEN - SUPERETTAN,11/11/2023,11:00,Vasteras SK,Ostersund,1.5,4.2,5.75
11,CAMEROON - ELITE ONE,11/11/2023,11:00,Avion Academy,APEJES Academy,1.93,3.0,3.9
12,SWEDEN - SUPERETTAN,11/11/2023,11:00,Oster,Sundsvall,1.25,5.25,11.0
13,BELARUS - VYSSHAYA LIGA,11/11/2023,11:30,Din. Minsk,Smorgon,1.12,8.0,19.0
14,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,11/11/2023,12:00,Al Akhdoud,Al Hazem,1.95,3.6,3.3
15,MONTENEGRO - PRVA CRNOGORSKA LIGA,11/11/2023,12:00,Petrovac,Arsenal Tivat,2.1,3.15,3.4
16,SCOTLAND - LEAGUE TWO,11/11/2023,12:00,Forfar Athletic,Clyde,1.75,3.4,4.2
17,NORTHERN IRELAND - NIFL CHAMPIONSHIP,11/11/2023,12:00,Ballyclare,Institute,2.3,3.65,2.65
18,NORTHERN IRELAND - NIFL CHAMPIONSHIP,11/11/2023,12:00,Ards,Knockbreda,1.25,5.4,9.5
19,ITALY - SERIE C,11/11/2023,12:15,Lumezzane,Legnago Salus,2.32,3.0,3.15
20,SPAIN - PRIMERA RFEF,11/11/2023,14:00,Atl. Madrid B,Recreativo Huelva,1.83,3.1,4.0
21,NETHERLANDS - EREDIVISIE,11/11/2023,16:00,Twente,Nijmegen,1.3,5.5,10.0
22,NICARAGUA - LIGA PRIMERA,11/11/2023,18:00,Sport Sebaco,Ocotal,1.91,3.71,3.71
23,USA - MLS,11/11/2023,20:00,Houston Dynamo,Real Salt Lake,1.65,4.0,5.0
24,CHILE - PRIMERA DIVISION,11/11/2023,21:00,Nublense,Palestino,2.6,3.3,2.75
25,COSTA RICA - PRIMERA DIVISION,11/11/2023,23:00,Liberia,Puntarenas FC,2.05,3.4,3.1
