,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,PHILIPPINES - PFL,21/04/2024,04:00,Stallion,Manila Montet,,,
2,PHILIPPINES - PFL,21/04/2024,05:00,Davao Aguilas,Manila Digger,,,
3,MONGOLIA - PREMIER LEAGUE,21/04/2024,05:15,Falcons,Khoromkhon,1.25,5.7,7.4
4,PHILIPPINES - PFL,21/04/2024,06:30,Philippine Air Force,United City,,,
5,MONGOLIA - PREMIER LEAGUE,21/04/2024,08:15,FC Ulaanbaatar,Deren,2.02,3.85,2.82
6,ANDORRA - PRIMERA DIVISIÓ,21/04/2024,08:30,Pas de la Casa,Atletic Escaldes,8.25,5.2,1.25
7,PHILIPPINES - PFL,21/04/2024,09:00,Maharlika,Kaya,,,
8,BULGARIA - PARVA LIGA,21/04/2024,09:15,Lok. Plovdiv,CSKA 1948 Sofia,1.8,3.5,4.75
9,FINLAND - YKKONEN,21/04/2024,10:00,OLS Oulu,Atlantis,2.2,3.4,2.75
10,FINLAND - YKKONEN,21/04/2024,10:00,KuPS Akatemia,Klubi 04,3.75,3.6,1.75
11,BRAZIL - BRASILEIRO WOMEN,21/04/2024,10:30,Internacional W,Flamengo W,2.25,3.35,2.7
12,NORTH MACEDONIA - 1. MFL,21/04/2024,11:00,Makedonija GP,Struga,,,
13,ANDORRA - PRIMERA DIVISIÓ,21/04/2024,11:00,Inter Escaldes,Esperanca,1.06,8.75,19.5
14,NIGERIA - NPFL,21/04/2024,12:00,Katsina Utd,Sporting Lagos,1.5,3.6,6.8
15,NIGERIA - NPFL,21/04/2024,12:00,Niger Tornadoes,Doma United,1.5,3.6,6.8
16,NIGERIA - NPFL,21/04/2024,12:00,Kano Pillars,Gombe,,,
17,GHANA - PREMIER LEAGUE,21/04/2024,12:00,Heart of Lions,Nations FC,2.0,2.95,3.7
18,SLOVENIA - PRVA LIGA,21/04/2024,12:30,Celje,Domzale,1.29,5.1,9.0
19,FINLAND - YKKONEN,21/04/2024,14:00,Keski-Uusimaa,Jazz Pori,2.63,3.5,2.25
20,IVORY COAST - LIGUE 1,21/04/2024,15:00,ASEC Mimosas,Sporting Gagnoa,1.7,3.25,4.75
21,SERBIA - SUPER LIGA,21/04/2024,15:00,Novi Pazar,Vozdovac,1.98,3.5,3.45
22,CHILE - PRIMERA DIVISION,21/04/2024,16:00,Palestino,U. De Chile,2.8,3.4,2.5
